                                           ,f1-score           ,precision           ,recall             ,support
No activity                                ,0.556106638369205  ,0.9809293871904077  ,0.38804945054945056,186368.0
Walking                                    ,0.33217327897650056,0.20378202521350142 ,0.897867765633399  ,5581.0
Jogging                                    ,0.5752195851242758 ,0.49918910152448914 ,0.6785714285714286 ,4536.0
Running                                    ,0.7631755783814917 ,0.6452922077922078  ,0.9337561663143058 ,4257.0
Jump up                                    ,0.5010233319688907 ,0.39105431309904154 ,0.6970387243735763 ,878.0
Jump front and back                        ,0.700416914830256  ,0.6440306681270537  ,0.7676240208877284 ,1532.0
Jump sideways                              ,0.6573882143914718 ,0.6082191780821918  ,0.7152061855670103 ,1552.0
Jump leg/arms open/closed                  ,0.8207192699946322 ,0.7495098039215686  ,0.9068801897983393 ,1686.0
Jump rope                                  ,0.5510835913312694 ,0.5154440154440154  ,0.5920177383592018 ,902.0
Trunk twist (arms outstretched)            ,0.6421052631578947 ,0.5399455288243304  ,0.7919440745672437 ,3004.0
Trunk twist (elbows bent)                  ,0.4051937753989494 ,0.2697993664202746  ,0.8133704735376045 ,2513.0
Waist bends forward                        ,0.6827355887904748 ,0.5445911512624507  ,0.9147859922178988 ,2570.0
Waist rotation                             ,0.3843774168600154 ,0.24249817028543547 ,0.9263746505125815 ,2146.0
Waist bends (reach foot with opposite hand),0.8271239897496551 ,0.7816691505216096  ,0.8781917120133947 ,2389.0
Reach heels backwards                      ,0.2544975866608162 ,0.1621017328116266  ,0.5918367346938775 ,1960.0
Lateral bend                               ,0.3450595655220743 ,0.23074039362699156 ,0.6838888888888889 ,1800.0
Lateral bend with arm up                   ,0.33784073835587036,0.2748864827104436  ,0.438195991091314  ,1796.0
Repetitive forward stretching              ,0.40220207253886014,0.3171603677221655  ,0.5495575221238939 ,1130.0
Upper trunk and lower body opposite twist  ,0.4680664916885389 ,0.327217125382263   ,0.8218125960061444 ,1302.0
Lateral elevation of arms                  ,0.7224776191628356 ,0.6037201779215527  ,0.8993975903614457 ,1660.0
Frontal elevation of arms                  ,0.21329987452948557,0.12504903883876028 ,0.72484366117112   ,1759.0
Frontal hand claps                         ,0.3395465994962216 ,0.21356147021546262 ,0.828009828009828  ,1628.0
Frontal crossing of arms                   ,0.3685168334849864 ,0.2562750474583421  ,0.6556934700485699 ,1853.0
Shoulders high-amplitude rotation          ,0.4431903686982694 ,0.31514178705189944 ,0.7465145754119138 ,1578.0
Shoulders low-amplitude rotation           ,0.05338366136424913,0.029438001784121322,0.2861271676300578 ,1038.0
Arms inner rotation                        ,0.10392940644090806,0.05753653444676409 ,0.5366043613707165 ,1284.0
Knees (alternating) to the breast          ,0.6188881446751507 ,0.5486935866983373  ,0.7096774193548387 ,651.0
Heels (alternatively) to the backside      ,0.49688846337960746,0.3699215965787598  ,0.7565597667638484 ,686.0
Knees bending (crouching)                  ,0.3404846037354871 ,0.2375836562169778  ,0.6006233303650935 ,2246.0
Knees (alternating) bending forward        ,0.5537291128922701 ,0.4366830940647097  ,0.7564959168522642 ,2694.0
Rotation on the knees                      ,0.43904235727440144,0.3005547150781644  ,0.8142076502732241 ,1464.0
Rowing                                     ,0.6934225195094762 ,0.5354888081117276  ,0.983485593815882  ,2846.0
Elliptical bike                            ,0.3926231764382054 ,0.2529975168499468  ,0.8761670761670761 ,4070.0
Cycling                                    ,0.8264669163545567 ,0.7306843267108167  ,0.9511494252873564 ,4176.0
accuracy                                   ,0.4988292853398567 ,0.4988292853398567  ,0.4988292853398567 ,0.4988292853398567
macro avg                                  ,0.4944823102802133 ,0.4100408684702474  ,0.7386037393703093 ,257535.0
weighted avg                               ,0.5452608940254824 ,0.8234846016695135  ,0.4988292853398567 ,257535.0
