                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.8878848833432861 ,0.8670069923631323 ,0.9097930812377553 ,186305.0
Walking                                    ,0.5827650340979541 ,0.6883085184281181 ,0.505285791076868  ,5581.0
Jogging                                    ,0.739203707604803  ,0.7077450584913272 ,0.7735890652557319 ,4536.0
Running                                    ,0.6809593997052122 ,0.7925764192139738 ,0.5968992248062015 ,4257.0
Jump up                                    ,0.29646266142616506,0.292358803986711  ,0.30068337129840544,878.0
Jump front and back                        ,0.40239043824701193,0.40945945945945944,0.39556135770234985,1532.0
Jump sideways                              ,0.4990112063282795 ,0.5107962213225371 ,0.4877577319587629 ,1552.0
Jump leg/arms open/closed                  ,0.6067692307692308 ,0.6304347826086957 ,0.5848161328588375 ,1686.0
Jump rope                                  ,0.46942800788954636,0.4227353463587922 ,0.5277161862527716 ,902.0
Trunk twist (arms outstretched)            ,0.6557557925707981 ,0.7325390304026295 ,0.5935419440745673 ,3004.0
Trunk twist (elbows bent)                  ,0.6001780943900267 ,0.6811520970186963 ,0.5364106645443693 ,2513.0
Waist bends forward                        ,0.5882352941176471 ,0.6239092495636999 ,0.556420233463035  ,2570.0
Waist rotation                             ,0.4665718349928876 ,0.5989773557341125 ,0.3821062441752097 ,2146.0
Waist bends (reach foot with opposite hand),0.6799733865602129 ,0.7231132075471698 ,0.6416910841356216 ,2389.0
Reach heels backwards                      ,0.5361077111383109 ,0.6697247706422018 ,0.44693877551020406,1960.0
Lateral bend                               ,0.5461720599842147 ,0.5187406296851574 ,0.5766666666666667 ,1800.0
Lateral bend with arm up                   ,0.503866745984533  ,0.5408684546615581 ,0.47160356347438753,1796.0
Repetitive forward stretching              ,0.5060357315306615 ,0.5568544102019128 ,0.46371681415929206,1130.0
Upper trunk and lower body opposite twist  ,0.28133159268929503,0.2446083995459705 ,0.33102918586789554,1302.0
Lateral elevation of arms                  ,0.4028021015761821 ,0.4811715481171548 ,0.3463855421686747 ,1660.0
Frontal elevation of arms                  ,0.3826204109127653 ,0.46942148760330576,0.3229107447413303 ,1759.0
Frontal hand claps                         ,0.4801655743359779 ,0.5476003147128246 ,0.4275184275184275 ,1628.0
Frontal crossing of arms                   ,0.48754246885617214,0.5128052412150089 ,0.46465191581219645,1853.0
Shoulders high-amplitude rotation          ,0.40067911714770804,0.4316020482809071 ,0.37389100126742714,1578.0
Shoulders low-amplitude rotation           ,0.25847665847665846,0.2637913741223671 ,0.25337186897880537,1038.0
Arms inner rotation                        ,0.34977578475336324,0.3669803250641574 ,0.3341121495327103 ,1284.0
Knees (alternating) to the breast          ,0.3469945355191257 ,0.3124231242312423 ,0.3901689708141321 ,651.0
Heels (alternatively) to the backside      ,0.4012269938650307 ,0.3463983050847458 ,0.47667638483965014,686.0
Knees bending (crouching)                  ,0.48404255319148937,0.6010568031704095 ,0.40516473731077474,2246.0
Knees (alternating) bending forward        ,0.5940432476540188 ,0.6594202898550725 ,0.540460282108389  ,2694.0
Rotation on the knees                      ,0.4622803995866345 ,0.4662960389159138 ,0.4583333333333333 ,1464.0
Rowing                                     ,0.7912946428571429 ,0.8407114624505929 ,0.747364722417428  ,2846.0
Elliptical bike                            ,0.6125068268705625 ,0.6893054701905347 ,0.5511056511056511 ,4070.0
Cycling                                    ,0.8811943294442354 ,0.9254281949934123 ,0.8409961685823755 ,4176.0
accuracy                                   ,0.806184750186428  ,0.806184750186428  ,0.806184750186428  ,0.806184750186428
macro avg                                  ,0.5254337781887395 ,0.5625388598601031 ,0.5004511476191247 ,257472.0
weighted avg                               ,0.8007806957438609 ,0.7999851014923268 ,0.806184750186428  ,257472.0
