                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.8981512856155667 ,0.8942550354112541 ,0.9020816361531535 ,186584.0
Walking                                    ,0.4559220389805097 ,0.39193194999355585,0.544884429313743  ,5581.0
Jogging                                    ,0.6970392221129685 ,0.6909248429716266 ,0.70326278659612   ,4536.0
Running                                    ,0.7671982861223517 ,0.7775633293124246 ,0.7571059431524548 ,4257.0
Jump up                                    ,0.4627994955863808 ,0.518361581920904  ,0.417995444191344  ,878.0
Jump front and back                        ,0.6954921803127874 ,0.6558704453441295 ,0.7402088772845953 ,1532.0
Jump sideways                              ,0.6265822784810127 ,0.6156716417910447 ,0.6378865979381443 ,1552.0
Jump leg/arms open/closed                  ,0.8364076201995767 ,0.8531770512029612 ,0.8202846975088968 ,1686.0
Jump rope                                  ,0.5958944281524926 ,0.6326276463262764 ,0.5631929046563193 ,902.0
Trunk twist (arms outstretched)            ,0.7413793103448275 ,0.8481989708404802 ,0.6584553928095872 ,3004.0
Trunk twist (elbows bent)                  ,0.5401093892433911 ,0.632              ,0.4715479506565858 ,2513.0
Waist bends forward                        ,0.6691358024691358 ,0.7100436681222707 ,0.6326848249027237 ,2570.0
Waist rotation                             ,0.689873417721519  ,0.7222222222222222 ,0.6602982292637465 ,2146.0
Waist bends (reach foot with opposite hand),0.8521383075523205 ,0.9332336821126059 ,0.7840100460443701 ,2389.0
Reach heels backwards                      ,0.4295774647887324 ,0.3483502538071066 ,0.560204081632653  ,1960.0
Lateral bend                               ,0.4697554697554698 ,0.5581039755351682 ,0.40555555555555556,1800.0
Lateral bend with arm up                   ,0.5013192612137203 ,0.6148867313915858 ,0.42316258351893093,1796.0
Repetitive forward stretching              ,0.4623893805309734 ,0.616519174041298  ,0.36991150442477877,1130.0
Upper trunk and lower body opposite twist  ,0.5716845878136201 ,0.6860215053763441 ,0.49001536098310294,1302.0
Lateral elevation of arms                  ,0.5333844973138909 ,0.7346723044397463 ,0.4186746987951807 ,1660.0
Frontal elevation of arms                  ,0.5790829469345699 ,0.5294394724446538 ,0.6389994314951677 ,1759.0
Frontal hand claps                         ,0.7020232985898223 ,0.700734394124847  ,0.7033169533169533 ,1628.0
Frontal crossing of arms                   ,0.6503667481662593 ,0.6548140043763676 ,0.645979492714517  ,1853.0
Shoulders high-amplitude rotation          ,0.7070967741935483 ,0.7201051248357424 ,0.6945500633713562 ,1578.0
Shoulders low-amplitude rotation           ,0.291327264015333  ,0.2897998093422307 ,0.2928709055876686 ,1038.0
Arms inner rotation                        ,0.3739782016348774 ,0.33232445520581116,0.42757009345794394,1284.0
Knees (alternating) to the breast          ,0.5670567056705671 ,0.6847826086956522 ,0.4838709677419355 ,651.0
Heels (alternatively) to the backside      ,0.6825775656324583 ,0.7513134851138353 ,0.6253644314868805 ,686.0
Knees bending (crouching)                  ,0.34260131950989636,0.3638638638638639 ,0.323686553873553  ,2246.0
Knees (alternating) bending forward        ,0.694424841213832  ,0.6617350369872226 ,0.7305122494432071 ,2694.0
Rotation on the knees                      ,0.6267515923566879 ,0.5871121718377088 ,0.6721311475409836 ,1464.0
Rowing                                     ,0.7824299065420561 ,0.8358626198083067 ,0.7354181307097681 ,2846.0
Elliptical bike                            ,0.6825080865887037 ,0.6912802419354839 ,0.673955773955774  ,4070.0
Cycling                                    ,0.8571783716594158 ,0.8911863530628069 ,0.8256704980842912 ,4176.0
accuracy                                   ,0.8251762359796858 ,0.8251762359796858 ,0.8251762359796858 ,0.8251762359796858
macro avg                                  ,0.6186952160888022 ,0.6508526368763983 ,0.6010388305341762 ,257751.0
weighted avg                               ,0.8254080200232399 ,0.8292311440270814 ,0.8251762359796858 ,257751.0
