                                           ,f1-score           ,precision          ,recall            ,support
No activity                                ,0.8220178201331187 ,0.9900677983996863 ,0.7027380028370313,186815.0
Walking                                    ,0.3769404562349683 ,0.2365857005626458 ,0.9267156423580004,5581.0
Jogging                                    ,0.7245328511151297 ,0.6655592469545958 ,0.794973544973545 ,4536.0
Running                                    ,0.808466051969824  ,0.7297143937961037 ,0.9062720225510923,4257.0
Jump up                                    ,0.5156912637828668 ,0.41081081081081083,0.6924829157175398,878.0
Jump front and back                        ,0.6073333333333333 ,0.6205722070844687 ,0.5946475195822454,1532.0
Jump sideways                              ,0.5394846217788862 ,0.7599531615925058 ,0.4181701030927835,1552.0
Jump leg/arms open/closed                  ,0.9184962406015038 ,0.9316656497864552 ,0.905693950177936 ,1686.0
Jump rope                                  ,0.676663542642924  ,0.586038961038961  ,0.8004434589800443,902.0
Trunk twist (arms outstretched)            ,0.7755310110450298 ,0.792086081221798  ,0.7596537949400799,3004.0
Trunk twist (elbows bent)                  ,0.548982869379015  ,0.4135914498890905 ,0.8161559888579387,2513.0
Waist bends forward                        ,0.7997718197375927 ,0.7820751208627743 ,0.8182879377431906,2570.0
Waist rotation                             ,0.6262178919397697 ,0.45829732065687123,0.9883504193849021,2146.0
Waist bends (reach foot with opposite hand),0.9010799136069113 ,0.930834448906738  ,0.87316868982838  ,2389.0
Reach heels backwards                      ,0.3304084720121029 ,0.20590823381521056,0.8357142857142857,1960.0
Lateral bend                               ,0.24089209031721842,0.13760088621617345,0.9661111111111111,1800.0
Lateral bend with arm up                   ,0.6500574932924492 ,0.49561659848042083,0.9443207126948775,1796.0
Repetitive forward stretching              ,0.6780626780626782 ,0.5278462296697881 ,0.947787610619469 ,1130.0
Upper trunk and lower body opposite twist  ,0.5101116812556594 ,0.42018896071606165,0.6490015360983102,1302.0
Lateral elevation of arms                  ,0.7698042870456664 ,0.7947402180885182 ,0.7463855421686747,1660.0
Frontal elevation of arms                  ,0.6308133127617367 ,0.5151187904967602 ,0.8135304150085275,1759.0
Frontal hand claps                         ,0.763824570961591  ,0.6862457170827215 ,0.8611793611793612,1628.0
Frontal crossing of arms                   ,0.7748998664886515 ,0.7669133192389006 ,0.7830545062061521,1853.0
Shoulders high-amplitude rotation          ,0.7376637858935045 ,0.6585365853658537 ,0.8384030418250951,1578.0
Shoulders low-amplitude rotation           ,0.441539036234591  ,0.3605857230018304 ,0.569364161849711 ,1038.0
Arms inner rotation                        ,0.5215398716773602 ,0.36948051948051946,0.8862928348909658,1284.0
Knees (alternating) to the breast          ,0.7860048820179008 ,0.8356401384083045 ,0.7419354838709677,651.0
Heels (alternatively) to the backside      ,0.7972602739726028 ,0.751937984496124  ,0.8483965014577259,686.0
Knees bending (crouching)                  ,0.6692573402417962 ,0.6496227996647108 ,0.6901157613535174,2246.0
Knees (alternating) bending forward        ,0.46996838777660693,0.32813419658622717,0.8277654046028211,2694.0
Rotation on the knees                      ,0.7505876207887177 ,0.6076109936575053 ,0.9815573770491803,1464.0
Rowing                                     ,0.8525436598329535 ,0.7507354907729339 ,0.9862965565706254,2846.0
Elliptical bike                            ,0.7538256819693946 ,0.686944219886823  ,0.8351351351351352,4070.0
Cycling                                    ,0.9559231976814394 ,0.964190012180268  ,0.9477969348659003,4176.0
accuracy                                   ,0.740315215790249  ,0.740315215790249  ,0.740315215790249 ,0.740315215790249
macro avg                                  ,0.6684175846348676 ,0.6123955873196811 ,0.814644066626386 ,257982.0
weighted avg                               ,0.7810187739824352 ,0.884632707519499  ,0.740315215790249 ,257982.0
