                                           ,f1-score           ,precision          ,recall             ,support
No activity                                ,0.6684821434886863 ,0.9824729193088966 ,0.506582332761578  ,186560.0
Walking                                    ,0.3241826723338979 ,0.1972773239984442 ,0.9087977065042108 ,5581.0
Jogging                                    ,0.6539448035292911 ,0.6115908654768758 ,0.7026014109347443 ,4536.0
Running                                    ,0.8018035679278572 ,0.687973086627418  ,0.9607704956542166 ,4257.0
Jump up                                    ,0.5570156846121237 ,0.4436191762322755 ,0.7482915717539863 ,878.0
Jump front and back                        ,0.6961424332344214 ,0.6381936887921654 ,0.7656657963446475 ,1532.0
Jump sideways                              ,0.6795039164490861 ,0.6884920634920635 ,0.6707474226804123 ,1552.0
Jump leg/arms open/closed                  ,0.8687269634250071 ,0.8321564367191744 ,0.9086595492289442 ,1686.0
Jump rope                                  ,0.6693030153237766 ,0.6039250669045495 ,0.7505543237250555 ,902.0
Trunk twist (arms outstretched)            ,0.6549425613388171 ,0.5705460835186558 ,0.7686418109187749 ,3004.0
Trunk twist (elbows bent)                  ,0.40583029672045806,0.2748166948674563 ,0.775567051333068  ,2513.0
Waist bends forward                        ,0.7344527363184079 ,0.6116002071465562 ,0.9190661478599221 ,2570.0
Waist rotation                             ,0.4351624933404369 ,0.2820831606575494 ,0.9515377446411929 ,2146.0
Waist bends (reach foot with opposite hand),0.8473953013278855 ,0.8276137270550679 ,0.8681456676433654 ,2389.0
Reach heels backwards                      ,0.19813267813267813,0.1227023737066342 ,0.5142857142857142 ,1960.0
Lateral bend                               ,0.3678960096735187 ,0.25269933554817275,0.6761111111111111 ,1800.0
Lateral bend with arm up                   ,0.3788265306122449 ,0.3063961485557084 ,0.49610244988864144,1796.0
Repetitive forward stretching              ,0.46909858305697916,0.3557384545038866 ,0.6884955752212389 ,1130.0
Upper trunk and lower body opposite twist  ,0.5491759702286019 ,0.4199186991869919 ,0.793394777265745  ,1302.0
Lateral elevation of arms                  ,0.7652306907978587 ,0.6632788334069819 ,0.9042168674698795 ,1660.0
Frontal elevation of arms                  ,0.2536811106436685 ,0.15563298490127758,0.6856168277430358 ,1759.0
Frontal hand claps                         ,0.47948674658112445,0.33061699650756693,0.8722358722358723 ,1628.0
Frontal crossing of arms                   ,0.4476987447698745 ,0.34566813509544786,0.6351861845655693 ,1853.0
Shoulders high-amplitude rotation          ,0.646573930963421  ,0.5447048611111112 ,0.7953105196451205 ,1578.0
Shoulders low-amplitude rotation           ,0.11003646741715552,0.06585689884228506,0.33429672447013487,1038.0
Arms inner rotation                        ,0.14265129682997119,0.08065173116089613,0.616822429906542  ,1284.0
Knees (alternating) to the breast          ,0.7233082706766919 ,0.7083946980854198 ,0.738863287250384  ,651.0
Heels (alternatively) to the backside      ,0.6607256524506683 ,0.5864406779661017 ,0.7565597667638484 ,686.0
Knees bending (crouching)                  ,0.31933240611961056,0.23220064724919093,0.5111308993766697 ,2246.0
Knees (alternating) bending forward        ,0.5702329474124703 ,0.45675977653631283,0.7587230883444692 ,2694.0
Rotation on the knees                      ,0.46938775510204084,0.32221090168110034,0.8640710382513661 ,1464.0
Rowing                                     ,0.7681793329688356 ,0.6286353467561522 ,0.9873506676036542 ,2846.0
Elliptical bike                            ,0.4432008953553441 ,0.29667859818529924,0.8756756756756757 ,4070.0
Cycling                                    ,0.8500162672161371 ,0.776808721506442  ,0.9384578544061303 ,4176.0
accuracy                                   ,0.5860775161314103 ,0.5860775161314103 ,0.5860775161314103 ,0.5860775161314103
macro avg                                  ,0.5473459081287955 ,0.46777515650853313,0.7543687165724977 ,257727.0
weighted avg                               ,0.6380293967273106 ,0.8386530673098979 ,0.5860775161314103 ,257727.0
