Unnamed: 0                         ,f1-score            ,precision          ,recall             ,support
Noise                              ,0.8185688574442996  ,0.823464775366481  ,0.8137308128917625 ,40522.0
Band Pull-Down Row                 ,0.4693877551020408  ,0.4524590163934426 ,0.4876325088339223 ,283.0
Bicep Curl                         ,0.4150675195451316  ,0.4135977337110481 ,0.4165477888730385 ,701.0
Box Jump (on bench)                ,0.11111111111111112 ,0.10416666666666667,0.11904761904761905,42.0
Burpee                             ,0.10477941176470587 ,0.10575139146567718,0.10382513661202186,549.0
Butterfly sit-up                   ,0.4828438948995363  ,0.4829931972789116 ,0.4826946847960445 ,1618.0
Chest Press                        ,0.5956112852664577  ,0.5882352941176471 ,0.6031746031746031 ,315.0
Crunch                             ,0.5105042016806723  ,0.4979508196721312 ,0.5237068965517241 ,464.0
Dip                                ,0.38772663877266383 ,0.3871866295264624 ,0.38826815642458096,358.0
Dumbbell Deadlift Row              ,0.3192488262910798  ,0.3177570093457944 ,0.3207547169811321 ,424.0
Dumbbell Row (both)                ,0.29170829170829177 ,0.2846003898635477 ,0.2991803278688525 ,488.0
Dumbbell Row (right)               ,0.045662100456620995,0.04166666666666666,0.0505050505050505 ,99.0
Dumbbell Squat (hands at side)     ,0.4085106382978723  ,0.4093816631130064 ,0.4076433121019109 ,471.0
Elliptical machine                 ,0.7105093488072209  ,0.7073170731707317 ,0.7137305699481865 ,1544.0
Punches                            ,0.3971830985915493  ,0.3994334277620397 ,0.3949579831932773 ,357.0
Jump Rope                          ,0.7147887323943661  ,0.7302158273381295 ,0.7                ,870.0
Jumping Jacks                      ,0.5015290519877675  ,0.5256410256410257 ,0.47953216374269   ,171.0
Kettlebell Swing                   ,0.4260869565217391  ,0.4094707520891365 ,0.4441087613293052 ,331.0
Lateral Raise                      ,0.23410404624277456 ,0.2231404958677686 ,0.2462006079027356 ,329.0
Lawnmower (both)                   ,0.14457831325301204 ,0.12244897959183673,0.17647058823529413,34.0
Lawnmower (right)                  ,0.0996309963099631  ,0.09278350515463918,0.10756972111553784,251.0
Lunge (both legs)                  ,0.3098134630981346  ,0.3126022913256956 ,0.3070739549839228 ,622.0
Ball Slam                          ,0.14523449319213316 ,0.14814814814814814,0.142433234421365  ,337.0
Triceps Extension (standing - both),0.607021517553794   ,0.5968819599109132 ,0.6175115207373272 ,434.0
Plank                              ,0.7582205029013539  ,0.7480916030534351 ,0.7686274509803922 ,1275.0
Power Boat pose                    ,0.5794392523364486  ,0.5783582089552238 ,0.5805243445692884 ,267.0
Pushups                            ,0.24863685932388224 ,0.24675324675324675,0.2505494505494505 ,455.0
Rowing machine                     ,0.7180338757887746  ,0.7014925373134329 ,0.7353741496598639 ,1470.0
Running                            ,0.7525103366804491  ,0.7538461538461538 ,0.7511792452830188 ,1696.0
Russian Twist                      ,0.2957600827300931  ,0.2900608519269777 ,0.3016877637130801 ,474.0
Seated Back Fly                    ,0.24225352112676055 ,0.2388888888888889 ,0.2457142857142857 ,350.0
Shoulder Press                     ,0.5375494071146246  ,0.5368421052631579 ,0.5382585751978892 ,379.0
Squat                              ,0.4584763212079616  ,0.4590013742556116 ,0.4579524680073126 ,2188.0
Triceps Kickback                   ,0.3886178861788618  ,0.3848631239935588 ,0.3924466338259442 ,609.0
Triceps extension (lying)          ,0.5462068965517242  ,0.5409836065573771 ,0.5515320334261838 ,359.0
Dumbbell Curl                      ,0.4855491329479769  ,0.4790874524714829 ,0.4921875          ,512.0
V-up                               ,0.552577319587629   ,0.5436105476673428 ,0.5618448637316562 ,477.0
Walk                               ,0.7676419965576592  ,0.7585034013605442 ,0.7770034843205574 ,2870.0
Walking lunge                      ,0.38900634249471455 ,0.37938144329896906,0.3991323210412148 ,461.0
Wall Ball                          ,0.25806451612903225 ,0.270042194092827  ,0.2471042471042471 ,259.0
Wall Squat                         ,0.4312757201646091  ,0.4125984251968504 ,0.4517241379310345 ,580.0
accuracy                           ,0.7049702089146994  ,0.7049702089146994 ,0.7049702089146994 ,0.7049702089146994
macro avg                          ,0.4307568419540364  ,0.42682194888006414,0.4353449676909103 ,66295.0
weighted avg                       ,0.7061968042342622  ,0.7075774889340084 ,0.7049702089146994 ,66295.0
