Unnamed: 0                         ,f1-score             ,precision           ,recall               ,support
Noise                              ,0.7778943401607203   ,0.6913356747166806  ,0.8892304109908021   ,42945.0
Band Pull-Down Row                 ,0.1048689138576779   ,0.12017167381974247 ,0.09302325581395347  ,301.0
Bicep Curl                         ,0.08156606851549755  ,0.10438413361169102 ,0.06693440428380187  ,747.0
Box Jump (on bench)                ,0.0                  ,0.0                 ,0.0                  ,44.0
Burpee                             ,0.04726100966702471  ,0.061624649859943974,0.03832752613240418  ,574.0
Butterfly sit-up                   ,0.12820512820512822  ,0.1717369970559372  ,0.10227936879018118  ,1711.0
Chest Press                        ,0.362555720653789    ,0.3609467455621302  ,0.3641791044776119   ,335.0
Crunch                             ,0.19920318725099606  ,0.2862595419847328  ,0.15274949083503056  ,491.0
Dip                                ,0.12519561815336466  ,0.15384615384615385 ,0.10554089709762532  ,379.0
Dumbbell Deadlift Row              ,0.10038610038610038  ,0.12074303405572755 ,0.08590308370044053  ,454.0
Dumbbell Row (both)                ,0.14492753623188406  ,0.1935483870967742  ,0.11583011583011585  ,518.0
Dumbbell Row (right)               ,0.0                  ,0.0                 ,0.0                  ,107.0
Dumbbell Squat (hands at side)     ,0.14210526315789473  ,0.20300751879699247 ,0.10931174089068826  ,494.0
Elliptical machine                 ,0.3651704353695579   ,0.4083018867924528  ,0.3302808302808303   ,1638.0
Punches                            ,0.008565310492505356 ,0.02325581395348837 ,0.005249343832020997 ,381.0
Jump Rope                          ,0.38726790450928383  ,0.4965986394557823  ,0.3173913043478261   ,920.0
Jumping Jacks                      ,0.0                  ,0.0                 ,0.0                  ,181.0
Kettlebell Swing                   ,0.030701754385964914 ,0.06666666666666668 ,0.019943019943019943 ,351.0
Lateral Raise                      ,0.014563106796116509 ,0.05084745762711865 ,0.0084985835694051   ,353.0
Lawnmower (both)                   ,0.17777777777777776  ,0.4444444444444444  ,0.1111111111111111   ,36.0
Lawnmower (right)                  ,0.006600660066006601 ,0.02564102564102564 ,0.0037878787878787884,264.0
Lunge (both legs)                  ,0.0933609958506224   ,0.14705882352941174 ,0.06838905775075987  ,658.0
Ball Slam                          ,0.0049382716049382715,0.02083333333333333 ,0.0028011204481792717,357.0
Triceps Extension (standing - both),0.2253521126760564   ,0.4161849710982659  ,0.15450643776824036  ,466.0
Plank                              ,0.7783783783783784   ,0.8076923076923077  ,0.7511177347242921   ,1342.0
Power Boat pose                    ,0.5031185031185031   ,0.599009900990099   ,0.4336917562724014   ,279.0
Pushups                            ,0.03896103896103896  ,0.096               ,0.024439918533604887 ,491.0
Rowing machine                     ,0.3171806167400882   ,0.4203821656050956  ,0.2546623794212219   ,1555.0
Running                            ,0.17054263565891475  ,0.378585086042065   ,0.11006114508060033  ,1799.0
Russian Twist                      ,0.030981067125645436 ,0.1139240506329114  ,0.017928286852589643 ,502.0
Seated Back Fly                    ,0.009708737864077669 ,0.047619047619047616,0.005405405405405407 ,370.0
Shoulder Press                     ,0.33060556464811786  ,0.4879227053140097  ,0.25                 ,404.0
Squat                              ,0.2311435523114355   ,0.3925619834710744  ,0.16379310344827586  ,2320.0
Triceps Kickback                   ,0.13597033374536466  ,0.3416149068322981  ,0.08487654320987655  ,648.0
Triceps extension (lying)          ,0.1696969696969697   ,0.3888888888888889  ,0.10852713178294572  ,387.0
Dumbbell Curl                      ,0.02795031055900621  ,0.08333333333333333 ,0.016791044776119403 ,536.0
V-up                               ,0.05970149253731344  ,0.18947368421052632 ,0.03543307086614173  ,508.0
Walk                               ,0.6283512064343163   ,0.6403688524590164  ,0.6167763157894737   ,3040.0
Walking lunge                      ,0.13008130081300812  ,0.1959183673469388  ,0.0973630831643002   ,493.0
Wall Ball                          ,0.007017543859649123 ,0.09090909090909093 ,0.0036496350364963507,274.0
Wall Squat                         ,0.4274193548387097   ,0.5698924731182796  ,0.3419354838709677   ,620.0
accuracy                           ,0.6305124300940618   ,0.6305124300940618  ,0.6305124300940618   ,0.6305124300940618
macro avg                          ,0.18354331275754746  ,0.25393986383935313 ,0.15760292987601562  ,70273.0
weighted avg                       ,0.5761328491675501   ,0.5543333291222536  ,0.6305124300940618   ,70273.0
