Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.7816941375354706  ,0.6951591426485116  ,0.8928364549140759  ,36253.0
Band Pull-Down Row                 ,0.08294930875576036 ,0.0989010989010989  ,0.07142857142857142 ,252.0
Bicep Curl                         ,0.10079051383399212 ,0.13315926892950392 ,0.08108108108108109 ,629.0
Box Jump (on bench)                ,0.0                 ,0.0                 ,0.0                 ,36.0
Burpee                             ,0.02365308804204994 ,0.03260869565217391 ,0.01855670103092784 ,485.0
Butterfly sit-up                   ,0.10661928031985783 ,0.15                ,0.08270158511371467 ,1451.0
Chest Press                        ,0.36983842010772    ,0.37454545454545457 ,0.3652482269503545  ,282.0
Crunch                             ,0.24770642201834864 ,0.3347107438016529  ,0.1966019417475728  ,412.0
Dip                                ,0.0996168582375479  ,0.12745098039215685 ,0.08176100628930817 ,318.0
Dumbbell Deadlift Row              ,0.08787878787878788 ,0.10357142857142858 ,0.07631578947368421 ,380.0
Dumbbell Row (both)                ,0.1626016260162602  ,0.1986754966887417  ,0.13761467889908258 ,436.0
Dumbbell Row (right)               ,0.0                 ,0.0                 ,0.0                 ,89.0
Dumbbell Squat (hands at side)     ,0.19854014598540148 ,0.2575757575757576  ,0.16152019002375298 ,421.0
Elliptical machine                 ,0.3690851735015772  ,0.4058976582827407  ,0.3383947939262473  ,1383.0
Punches                            ,0.043902439024390234,0.10112359550561796 ,0.02803738317757009 ,321.0
Jump Rope                          ,0.4204724409448819  ,0.5448979591836735  ,0.3423076923076923  ,780.0
Jumping Jacks                      ,0.04678362573099415 ,0.17391304347826084 ,0.027027027027027032,148.0
Kettlebell Swing                   ,0.025575447570332484,0.054945054945054944,0.016666666666666666,300.0
Lateral Raise                      ,0.016901408450704224,0.04838709677419355 ,0.010238907849829351,293.0
Lawnmower (both)                   ,0.14634146341463414 ,0.3333333333333333  ,0.09375             ,32.0
Lawnmower (right)                  ,0.0                 ,0.0                 ,0.0                 ,226.0
Lunge (both legs)                  ,0.0910209102091021  ,0.1450980392156863  ,0.06630824372759858 ,558.0
Ball Slam                          ,0.011594202898550723,0.04                ,0.006779661016949152,295.0
Triceps Extension (standing - both),0.16206261510128914 ,0.2953020134228188  ,0.1116751269035533  ,394.0
Plank                              ,0.7690892364305428  ,0.8085106382978723  ,0.7333333333333333  ,1140.0
Power Boat pose                    ,0.5476772616136919  ,0.6511627906976745  ,0.4725738396624473  ,237.0
Pushups                            ,0.027722772277227727,0.07291666666666667 ,0.017114914425427872,409.0
Rowing machine                     ,0.3342776203966005  ,0.44029850746268656 ,0.2694063926940639  ,1314.0
Running                            ,0.21435692921236293 ,0.4405737704918033  ,0.14163372859025036 ,1518.0
Russian Twist                      ,0.028169014084507043,0.09859154929577464 ,0.01643192488262911 ,426.0
Seated Back Fly                    ,0.02941176470588235 ,0.17857142857142858 ,0.016025641025641024,312.0
Shoulder Press                     ,0.3444227005870841  ,0.5057471264367817  ,0.2611275964391692  ,337.0
Squat                              ,0.2624821683309557  ,0.4304093567251462  ,0.1888147768086198  ,1949.0
Triceps Kickback                   ,0.048338368580060416,0.13445378151260504 ,0.029465930018416207,543.0
Triceps extension (lying)          ,0.12664907651715038 ,0.4363636363636363  ,0.07407407407407407 ,324.0
Dumbbell Curl                      ,0.07540394973070016 ,0.2079207920792079  ,0.046052631578947366,456.0
V-up                               ,0.02745098039215686 ,0.08974358974358974 ,0.016203703703703703,432.0
Walk                               ,0.6836191602602011  ,0.6919393455706305  ,0.6754966887417219  ,2567.0
Walking lunge                      ,0.10135135135135133 ,0.1694915254237288  ,0.07228915662650602 ,415.0
Wall Ball                          ,0.0                 ,0.0                 ,0.0                 ,231.0
Wall Squat                         ,0.3927272727272727  ,0.5276872964169381  ,0.3127413127413127  ,518.0
accuracy                           ,0.6367576135712117  ,0.6367576135712117  ,0.6367576135712117  ,0.6367576135712117
macro avg                          ,0.18557994982379025 ,0.2569179917952203  ,0.15974725304637866 ,59302.0
weighted avg                       ,0.5826981217631612  ,0.5612848191693293  ,0.6367576135712117  ,59302.0
