Unnamed: 0                         ,f1-score            ,precision           ,recall               ,support
Noise                              ,0.7840355883834144  ,0.6963274028426598  ,0.89702304737516     ,31240.0
Band Pull-Down Row                 ,0.09302325581395347 ,0.10588235294117647 ,0.08294930875576037  ,217.0
Bicep Curl                         ,0.03294117647058824 ,0.045901639344262286,0.02568807339449541  ,545.0
Box Jump (on bench)                ,0.0                 ,0.0                 ,0.0                  ,32.0
Burpee                             ,0.04870624048706241 ,0.06694560669456066 ,0.03827751196172249  ,418.0
Butterfly sit-up                   ,0.10181451612903224 ,0.13741496598639455 ,0.08086469175340273  ,1249.0
Chest Press                        ,0.3983572895277207  ,0.3943089430894309  ,0.4024896265560166   ,241.0
Crunch                             ,0.2454212454212454  ,0.3507853403141361  ,0.1887323943661972   ,355.0
Dip                                ,0.1714285714285714  ,0.21787709497206706 ,0.14130434782608695  ,276.0
Dumbbell Deadlift Row              ,0.08503401360544217 ,0.09578544061302682 ,0.0764525993883792   ,327.0
Dumbbell Row (both)                ,0.14                ,0.18502202643171808 ,0.1126005361930295   ,373.0
Dumbbell Row (right)               ,0.0                 ,0.0                 ,0.0                  ,78.0
Dumbbell Squat (hands at side)     ,0.15439856373429084 ,0.2182741116751269  ,0.11944444444444445  ,360.0
Elliptical machine                 ,0.4074410163339383  ,0.4441147378832839  ,0.3763621123218776   ,1193.0
Punches                            ,0.04129793510324484 ,0.1044776119402985  ,0.025735294117647058 ,272.0
Jump Rope                          ,0.4232515894641235  ,0.5393518518518519  ,0.3482810164424514   ,669.0
Jumping Jacks                      ,0.0                 ,0.0                 ,0.0                  ,131.0
Kettlebell Swing                   ,0.012738853503184712,0.03508771929824561 ,0.007782101167315175 ,257.0
Lateral Raise                      ,0.0                 ,0.0                 ,0.0                  ,255.0
Lawnmower (both)                   ,0.1935483870967742  ,0.5                 ,0.12                 ,25.0
Lawnmower (right)                  ,0.0                 ,0.0                 ,0.0                  ,193.0
Lunge (both legs)                  ,0.13753581661891118 ,0.2222222222222222  ,0.0995850622406639   ,482.0
Ball Slam                          ,0.006779661016949152,0.027027027027027032,0.0038759689922480615,258.0
Triceps Extension (standing - both),0.2568421052631579  ,0.4388489208633093  ,0.18154761904761904  ,336.0
Plank                              ,0.7622641509433962  ,0.8070776255707762  ,0.7221654749744637   ,979.0
Power Boat pose                    ,0.5014409221902018  ,0.6083916083916084  ,0.4264705882352941   ,204.0
Pushups                            ,0.02386634844868735 ,0.07462686567164177 ,0.014204545454545452 ,352.0
Rowing machine                     ,0.3349540788762831  ,0.4335664335664336  ,0.272887323943662    ,1136.0
Running                            ,0.2325581395348837  ,0.4819277108433735  ,0.1532567049808429   ,1305.0
Russian Twist                      ,0.0518867924528302  ,0.1864406779661017  ,0.030136986301369864 ,365.0
Seated Back Fly                    ,0.033444816053511704,0.16129032258064516 ,0.018656716417910446 ,268.0
Shoulder Press                     ,0.3412526997840173  ,0.4730538922155689  ,0.2668918918918919   ,296.0
Squat                              ,0.2397636133389616  ,0.4188790560471977  ,0.16794795978710822  ,1691.0
Triceps Kickback                   ,0.056338028169014086,0.1720430107526882  ,0.03368421052631579  ,475.0
Triceps extension (lying)          ,0.13372093023255816 ,0.3484848484848485  ,0.08273381294964029  ,278.0
Dumbbell Curl                      ,0.039647577092511016,0.14285714285714285 ,0.023017902813299237 ,391.0
V-up                               ,0.00963855421686747 ,0.04444444444444445 ,0.005405405405405407 ,370.0
Walk                               ,0.673380636301213   ,0.6813339509031959  ,0.6656108597285068   ,2210.0
Walking lunge                      ,0.1676190476190476  ,0.2634730538922156  ,0.12290502793296088  ,358.0
Wall Ball                          ,0.009523809523809523,0.1                 ,0.005                ,200.0
Wall Squat                         ,0.4319775596072931  ,0.5789473684210527  ,0.34451901565995524  ,447.0
accuracy                           ,0.639775373236543   ,0.639775373236543   ,0.639775373236543    ,0.639775373236543
macro avg                          ,0.18970423243382173 ,0.2634754397219448  ,0.1630363459353095   ,51107.0
weighted avg                       ,0.5848394342888336  ,0.5637770172652201  ,0.639775373236543    ,51107.0
