Unnamed: 0                         ,f1-score             ,precision           ,recall                ,support
Noise                              ,0.4814747888042027   ,0.569763689927276   ,0.4168767907108642    ,715847.0
Band Pull-Down Row                 ,0.0                  ,0.0                 ,0.0                   ,4985.0
Bicep Curl                         ,0.2471541668618541   ,0.2965044396987749  ,0.2118875502008032    ,12450.0
Box Jump (on bench)                ,0.002628120893561104 ,0.03125             ,0.0013717421124828533 ,729.0
Burpee                             ,0.018567228841095462 ,0.036923076923076927,0.012401818933443573  ,9676.0
Butterfly sit-up                   ,0.15437413450538867  ,0.18106492161386    ,0.13454138389421394   ,28586.0
Chest Press                        ,0.3606853020739405   ,0.2308194089016007  ,0.8246683399067766    ,5578.0
Crunch                             ,0.04707702508564482  ,0.2409502262443439  ,0.026086956521739132  ,8165.0
Dip                                ,0.24372205971631986  ,0.18722971254133808 ,0.3490357255769839    ,6326.0
Dumbbell Deadlift Row              ,0.0                  ,0.0                 ,0.0                   ,7498.0
Dumbbell Row (both)                ,0.0                  ,0.0                 ,0.0                   ,8615.0
Dumbbell Row (right)               ,0.0                  ,0.0                 ,0.0                   ,1765.0
Dumbbell Squat (hands at side)     ,0.08692550206804793  ,0.04724178403755869 ,0.5433289140653248    ,8297.0
Elliptical machine                 ,0.011673151750972765 ,0.3461538461538461  ,0.005936675461741424  ,27288.0
Punches                            ,0.3349124613800206   ,0.4797875479492476  ,0.25723777883246324   ,6321.0
Jump Rope                          ,0.15801956715090426  ,0.14493147705025014 ,0.17370616608004172   ,15342.0
Jumping Jacks                      ,0.3576510930132876   ,0.24104460365149066 ,0.6927930919960146    ,3011.0
Kettlebell Swing                   ,0.2193419740777667   ,0.4045977011494253  ,0.1504530689006668    ,5849.0
Lateral Raise                      ,0.0006652253450856477,0.011695906432748536,0.00034234851078397807,5842.0
Lawnmower (both)                   ,0.0                  ,0.0                 ,0.0                   ,600.0
Lawnmower (right)                  ,0.0                  ,0.0                 ,0.0                   ,4432.0
Lunge (both legs)                  ,0.14940739853944693  ,0.11130434782608696 ,0.2271775734959497    ,10987.0
Ball Slam                          ,0.016111871105031157 ,0.07771260997067449 ,0.00898762082414787   ,5897.0
Triceps Extension (standing - both),0.4212084164468181   ,0.4189708141321045  ,0.4234700478716522    ,7729.0
Plank                              ,0.15240495106102495  ,0.08349560067321417 ,0.8724067313685335    ,22462.0
Power Boat pose                    ,0.15199624604074607  ,0.08361657273157509 ,0.8341201716738197    ,4660.0
Pushups                            ,0.049972958355868034 ,0.20352422907488987 ,0.02848335388409371   ,8110.0
Rowing machine                     ,7.678132678132678e-05,0.019230769230769232,3.846745653177412e-05 ,25996.0
Running                            ,0.3366465575026333   ,0.3948692604906101  ,0.2933871883032346    ,29957.0
Russian Twist                      ,0.11955705705705705  ,0.2788966725043783  ,0.07608695652173914   ,8372.0
Seated Back Fly                    ,0.0                  ,0.0                 ,0.0                   ,6155.0
Shoulder Press                     ,0.26255133130215924  ,0.2366849773107237  ,0.2947650208209399    ,6724.0
Squat                              ,0.02472283385483061  ,0.04860267314702309 ,0.01657773403097964   ,38606.0
Triceps Kickback                   ,0.20345032718619868  ,0.5247410817031071  ,0.12618762106816714   ,10841.0
Triceps extension (lying)          ,0.028968713789107762 ,0.1996007984031936  ,0.01561767921286897   ,6403.0
Dumbbell Curl                      ,0.014064697609001406 ,0.2272727272727273  ,0.00725689404934688   ,8957.0
V-up                               ,0.09112933283637717  ,0.2178173719376392  ,0.0576175326970661    ,8487.0
Walk                               ,0.37349307235127577  ,0.3558020325421065  ,0.39303541481700704   ,50685.0
Walking lunge                      ,0.09316628122696892  ,0.058827305112487564,0.22380952380952385   ,8190.0
Wall Ball                          ,0.06449091264412743  ,0.2731788079470199  ,0.0365610458674939    ,4513.0
Wall Squat                         ,0.0                  ,0.0                 ,0.0                   ,10286.0
accuracy                           ,0.33256034951618785  ,0.33256034951618785 ,0.33256034951618785   ,0.33256034951618785
macro avg                          ,0.12873881809276946  ,0.17717334132402848 ,0.18868914462140096   ,1171219.0
weighted avg                       ,0.3507699616254688   ,0.4246613761945943  ,0.33256034951618785   ,1171219.0
