Unnamed: 0                         ,f1-score             ,precision            ,recall              ,support
Noise                              ,0.009819967266775776 ,0.7411764705882353   ,0.004942727130080025,25492.0
Band Pull-Down Row                 ,0.021352313167259787 ,0.028571428571428567 ,0.017045454545454544,176.0
Bicep Curl                         ,0.01473684210526316  ,0.013888888888888888 ,0.01569506726457399 ,446.0
Box Jump (on bench)                ,0.0027952480782669465,0.0014234875444839859,0.07692307692307693 ,26.0
Burpee                             ,0.01912858660998937  ,0.015202702702702704 ,0.025787965616045846,349.0
Butterfly sit-up                   ,0.015267175572519085 ,0.01717791411042945  ,0.013738959764474977,1019.0
Chest Press                        ,0.018604651162790697 ,0.1176470588235294   ,0.010101010101010102,198.0
Crunch                             ,0.011627906976744186 ,0.008097165991902834 ,0.020618556701030927,291.0
Dip                                ,0.027548209366391185 ,0.03496503496503497  ,0.022727272727272728,220.0
Dumbbell Deadlift Row              ,0.06035458317615994  ,0.03359932801343973  ,0.2962962962962963  ,270.0
Dumbbell Row (both)                ,0.0                  ,0.0                  ,0.0                 ,305.0
Dumbbell Row (right)               ,0.03821656050955414  ,0.030927835051546393 ,0.05                ,60.0
Dumbbell Squat (hands at side)     ,0.1111111111111111   ,0.17142857142857146  ,0.0821917808219178  ,292.0
Elliptical machine                 ,0.018136850783182192 ,0.045267489711934165 ,0.01134020618556701 ,970.0
Punches                            ,0.04293381037567084  ,0.02482758620689655  ,0.15859030837004404 ,227.0
Jump Rope                          ,0.2471008028545941   ,0.16303708063566805  ,0.5101289134438306  ,543.0
Jumping Jacks                      ,0.04201270151441133  ,0.02219927723283428  ,0.3909090909090909  ,110.0
Kettlebell Swing                   ,0.014347202295552369 ,0.010245901639344263 ,0.023923444976076555,209.0
Lateral Raise                      ,0.011730205278592377 ,0.008385744234800839 ,0.01951219512195122 ,205.0
Lawnmower (both)                   ,0.009248554913294798 ,0.004662004662004662 ,0.5714285714285714  ,21.0
Lawnmower (right)                  ,0.0055710306406685246,0.003577817531305903 ,0.012578616352201259,159.0
Lunge (both legs)                  ,0.024390243902439025 ,0.06451612903225806  ,0.015037593984962403,399.0
Ball Slam                          ,0.013579576317218905 ,0.007204610951008645 ,0.1179245283018868  ,212.0
Triceps Extension (standing - both),0.041176470588235294 ,0.1044776119402985   ,0.02564102564102564 ,273.0
Plank                              ,0.1543257989088075   ,0.20454545454545456  ,0.12390488110137672 ,799.0
Power Boat pose                    ,0.17397769516728626  ,0.09923664122137403  ,0.7048192771084337  ,166.0
Pushups                            ,0.042723631508678236 ,0.034934497816593885 ,0.054982817869415807,291.0
Rowing machine                     ,0.09044193216855087  ,0.08652900688298919  ,0.09472551130247578 ,929.0
Running                            ,0.08406113537117904  ,0.05925355906117737  ,0.14460093896713616 ,1065.0
Russian Twist                      ,0.0                  ,0.0                  ,0.0                 ,296.0
Seated Back Fly                    ,0.028346456692913382 ,0.021739130434782608 ,0.04072398190045249 ,221.0
Shoulder Press                     ,0.036101083032490974 ,0.025295109612141653 ,0.06302521008403361 ,238.0
Squat                              ,0.04515805318615153  ,0.07246376811594203  ,0.03279883381924198 ,1372.0
Triceps Kickback                   ,0.0                  ,0.0                  ,0.0                 ,383.0
Triceps extension (lying)          ,0.0137221269296741   ,0.0113314447592068   ,0.017391304347826087,230.0
Dumbbell Curl                      ,0.02259215219976219  ,0.01395007342143906  ,0.059375            ,320.0
V-up                               ,0.04654377880184332  ,0.02501857815209314  ,0.3333333333333333  ,303.0
Walk                               ,0.42859412231930105  ,0.30037853484747273  ,0.7477827050997783  ,1804.0
Walking lunge                      ,0.06318504190844616  ,0.03891977760127085  ,0.1678082191780822  ,292.0
Wall Ball                          ,0.01952807160292921  ,0.011204481792717087 ,0.0759493670886076  ,158.0
Wall Squat                         ,0.07520325203252033  ,0.05987055016181229  ,0.1010928961748634  ,366.0
accuracy                           ,0.06768972545258363  ,0.06768972545258363  ,0.06768972545258363 ,0.06768972545258363
macro avg                          ,0.0523242667413956   ,0.06676043289963451  ,0.12818041317028048 ,41705.0
weighted avg                       ,0.043287602772585615 ,0.4857616828110226   ,0.06768972545258363 ,41705.0
