Unnamed: 0                         ,f1-score             ,precision            ,recall               ,support
Noise                              ,0.012845370819195349 ,0.7535545023696683   ,0.0064778977388470155,24545.0
Band Pull-Down Row                 ,0.032786885245901634 ,0.21428571428571427  ,0.017751479289940832 ,169.0
Bicep Curl                         ,0.014018691588785048 ,0.014018691588785048 ,0.014018691588785048 ,428.0
Box Jump (on bench)                ,0.0                  ,0.0                  ,0.0                  ,24.0
Burpee                             ,0.018633540372670808 ,0.014173228346456691 ,0.027190332326283987 ,331.0
Butterfly sit-up                   ,0.025733401955738547 ,0.025933609958506226 ,0.025536261491317668 ,979.0
Chest Press                        ,0.009523809523809523 ,0.045454545454545456 ,0.0053191489361702135,188.0
Crunch                             ,0.021934197407776662 ,0.015193370165745856 ,0.03942652329749104  ,279.0
Dip                                ,0.033734939759036145 ,0.03535353535353535  ,0.03225806451612903  ,217.0
Dumbbell Deadlift Row              ,0.05366015236833389  ,0.029326574945691526 ,0.3151750972762646   ,257.0
Dumbbell Row (both)                ,0.006006006006006006 ,0.024390243902439025 ,0.003424657534246575 ,292.0
Dumbbell Row (right)               ,0.022857142857142854 ,0.017391304347826087 ,0.03333333333333333  ,60.0
Dumbbell Squat (hands at side)     ,0.08                 ,0.0925925925925926   ,0.07042253521126761  ,284.0
Elliptical machine                 ,0.017873100983020553 ,0.054054054054054064 ,0.010706638115631693 ,934.0
Punches                            ,0.03914373088685015  ,0.02259887005649717  ,0.1461187214611872   ,219.0
Jump Rope                          ,0.2494161606725829   ,0.16522277227722773  ,0.5085714285714286   ,525.0
Jumping Jacks                      ,0.041575492341356685 ,0.022028985507246374 ,0.36893203883495146  ,103.0
Kettlebell Swing                   ,0.005235602094240838 ,0.003552397868561279 ,0.009950248756218905 ,201.0
Lateral Raise                      ,0.017825311942959002 ,0.013927576601671307 ,0.024752475247524757 ,202.0
Lawnmower (both)                   ,0.003656307129798903 ,0.0018450184501845016,0.2                  ,20.0
Lawnmower (right)                  ,0.016451233842538188 ,0.010043041606886656 ,0.045454545454545456 ,154.0
Lunge (both legs)                  ,0.04011461318051577  ,0.043343653250774    ,0.037333333333333336 ,375.0
Ball Slam                          ,0.015818613234906406 ,0.00835421888053467  ,0.1485148514851485   ,202.0
Triceps Extension (standing - both),0.048                ,0.05063291139240506  ,0.04562737642585552  ,263.0
Plank                              ,0.09369676320272573  ,0.13924050632911392  ,0.07060333761232349  ,779.0
Power Boat pose                    ,0.17177914110429449  ,0.0979020979020979   ,0.7                  ,160.0
Pushups                            ,0.02947368421052632  ,0.035                ,0.025454545454545452 ,275.0
Rowing machine                     ,0.07744874715261957  ,0.0787037037037037   ,0.07623318385650224  ,892.0
Running                            ,0.07202072538860102  ,0.049064595834804096 ,0.13534566699123662  ,1027.0
Russian Twist                      ,0.002290950744558992 ,0.0017152658662092624,0.003448275862068965 ,290.0
Seated Back Fly                    ,0.006482982171799027 ,0.004901960784313725 ,0.009569377990430622 ,209.0
Shoulder Press                     ,0.04628501827040195  ,0.03247863247863248  ,0.08050847457627118  ,236.0
Squat                              ,0.0579110651499483   ,0.0915032679738562   ,0.04236006051437216  ,1322.0
Triceps Kickback                   ,0.0071174377224199285,0.010309278350515464 ,0.005434782608695652 ,368.0
Triceps extension (lying)          ,0.029914529914529912 ,0.028112449799196783 ,0.0319634703196347   ,219.0
Dumbbell Curl                      ,0.006920415224913494 ,0.0053285968028419185,0.009868421052631578 ,304.0
V-up                               ,0.04809712818118141  ,0.025846925972396486 ,0.34563758389261745  ,298.0
Walk                               ,0.4315560755473842   ,0.3041941564561734   ,0.7423806785508913   ,1739.0
Walking lunge                      ,0.058348851644941024 ,0.03523238380809595  ,0.16967509025270758  ,277.0
Wall Ball                          ,0.0216998191681736   ,0.01263157894736842  ,0.07692307692307693  ,156.0
Wall Squat                         ,0.08613445378151259  ,0.06856187290969899  ,0.11581920903954802  ,354.0
accuracy                           ,0.06751170435302321  ,0.06751170435302321  ,0.06751170435302321  ,0.06751170435302321
macro avg                          ,0.0505859047022853   ,0.06580484602869678  ,0.11652490038349893  ,40156.0
weighted avg                       ,0.044300339682130124 ,0.492587213863443    ,0.06751170435302321  ,40156.0
