Unnamed: 0                         ,f1-score            ,precision            ,recall               ,support
Noise                              ,0.7173348807988532  ,0.7242086260261452   ,0.7105903915222107   ,715847.0
Band Pull-Down Row                 ,0.09700063816209316 ,0.08890374331550803  ,0.10672016048144434  ,4985.0
Bicep Curl                         ,0.200585262037776   ,0.19036283632691334  ,0.2119678714859438   ,12450.0
Box Jump (on bench)                ,0.01825442099258414 ,0.015625             ,0.02194787379972565  ,729.0
Burpee                             ,0.09127442376091276 ,0.08251900108577633  ,0.1021083092186854   ,9676.0
Butterfly sit-up                   ,0.3020306757992444  ,0.2979744680851064   ,0.3061988385923179   ,28586.0
Chest Press                        ,0.2597972047136202  ,0.2648537902775191   ,0.254930082466834    ,5578.0
Crunch                             ,0.1560711428395594  ,0.15685304304799605  ,0.15529699938763014  ,8165.0
Dip                                ,0.14340965346534654 ,0.14041199636473795  ,0.14653809674359786  ,6326.0
Dumbbell Deadlift Row              ,0.11023106630883027 ,0.10824013369327676  ,0.11229661242998132  ,7498.0
Dumbbell Row (both)                ,0.07925547883518462 ,0.08208955223880597  ,0.07661056297156123  ,8615.0
Dumbbell Row (right)               ,0.02544748759974121 ,0.02054317548746518  ,0.03342776203966006  ,1765.0
Dumbbell Squat (hands at side)     ,0.14579439252336449 ,0.15090932542241714  ,0.1410148246354104   ,8297.0
Elliptical machine                 ,0.3589607958822453  ,0.40347587468557056  ,0.3232922896511287   ,27288.0
Punches                            ,0.25350584953900984 ,0.2484057090798664   ,0.2588198069925645   ,6321.0
Jump Rope                          ,0.2855337125370056  ,0.291556280144012    ,0.27975492113153433  ,15342.0
Jumping Jacks                      ,0.4656879481051554  ,0.4791008078679311   ,0.4530056459647958   ,3011.0
Kettlebell Swing                   ,0.3979122434536447  ,0.4122823098075161   ,0.3845101726790904   ,5849.0
Lateral Raise                      ,0.12153605788997615 ,0.1169488843171388   ,0.1264977747346799   ,5842.0
Lawnmower (both)                   ,0.003436426116838488,0.0035460992907801413,0.0033333333333333327,600.0
Lawnmower (right)                  ,0.08854516924456401 ,0.08797327394209355  ,0.0891245487364621   ,4432.0
Lunge (both legs)                  ,0.1080265033967961  ,0.10016330974414807  ,0.11722945298989715  ,10987.0
Ball Slam                          ,0.15776699029126212 ,0.14271991217236174  ,0.17636086145497712  ,5897.0
Triceps Extension (standing - both),0.4267690619857378  ,0.4034339709610509   ,0.4529693362660111   ,7729.0
Plank                              ,0.3522931855047147  ,0.29376616427361096  ,0.4399430148695575   ,22462.0
Power Boat pose                    ,0.23699088496596285 ,0.2563014724232593   ,0.2203862660944206   ,4660.0
Pushups                            ,0.13813999505317834 ,0.13855122798313074  ,0.13773119605425402  ,8110.0
Rowing machine                     ,0.2388702530335031  ,0.25867790833258586  ,0.22188028927527312  ,25996.0
Running                            ,0.3562646644767714  ,0.4069817308517025   ,0.3167873952665487   ,29957.0
Russian Twist                      ,0.1971281017760423  ,0.20849986677324805  ,0.1869326325848065   ,8372.0
Seated Back Fly                    ,0.12502092050209204 ,0.12890422778257118  ,0.12136474411047928  ,6155.0
Shoulder Press                     ,0.3226719501839796  ,0.3077753779697624   ,0.3390838786436645   ,6724.0
Squat                              ,0.25071347338154193 ,0.21399267399267397  ,0.30264725690307204  ,38606.0
Triceps Kickback                   ,0.21673839391997068 ,0.2151622579765476   ,0.2183377917166313   ,10841.0
Triceps extension (lying)          ,0.2610284954722937  ,0.2788427405040824   ,0.2453537404341715   ,6403.0
Dumbbell Curl                      ,0.218834183527254   ,0.2248527679623086   ,0.21312939600312605  ,8957.0
V-up                               ,0.2124405166553365  ,0.204582651391162    ,0.2209261223047013   ,8487.0
Walk                               ,0.2925527988949927  ,0.3141815381828064   ,0.27371017066193154  ,50685.0
Walking lunge                      ,0.12145892351274787 ,0.1175462645647704   ,0.12564102564102564  ,8190.0
Wall Ball                          ,0.13998991427130608 ,0.12847093669011478  ,0.15377797473964105  ,4513.0
Wall Squat                         ,0.04452423698384201 ,0.04712780975133022  ,0.042193272409099744 ,10286.0
accuracy                           ,0.529866745672671   ,0.529866745672671    ,0.529866745672671    ,0.529866745672671
macro avg                          ,0.2131665458145091  ,0.21359314001926352  ,0.21522860237614344  ,1171219.0
weighted avg                       ,0.5331379818143018  ,0.5383985194637335   ,0.5298667456726709   ,1171219.0
