Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.6986513872294358  ,0.7076151634686101  ,0.6899118690029203  ,76704.0
Band Pull-Down Row                 ,0.1843191196698762  ,0.1458106637649619  ,0.2504672897196262  ,535.0
Bicep Curl                         ,0.24005945745076185 ,0.23837638376383766 ,0.2417664670658683  ,1336.0
Box Jump (on bench)                ,0.0                 ,0.0                 ,0.0                 ,78.0
Burpee                             ,0.08195211786372009 ,0.0780701754385965  ,0.08624031007751938 ,1032.0
Butterfly sit-up                   ,0.29569813536925565 ,0.2689636752136752  ,0.3283338767525269  ,3067.0
Chest Press                        ,0.3069936421435059  ,0.3359840954274354  ,0.2826086956521739  ,598.0
Crunch                             ,0.11847672778561355 ,0.1008              ,0.14367160775370585 ,877.0
Dip                                ,0.1926029309141661  ,0.18326693227091634 ,0.20294117647058826 ,680.0
Dumbbell Deadlift Row              ,0.17444717444717445 ,0.17191283292978207 ,0.1770573566084788  ,802.0
Dumbbell Row (both)                ,0.0860566448801743  ,0.08652792990142387 ,0.08559046587215602 ,923.0
Dumbbell Row (right)               ,0.015345268542199487,0.014778325123152709,0.015957446808510637,188.0
Dumbbell Squat (hands at side)     ,0.1474320241691843  ,0.15885416666666666 ,0.1375422773393461  ,887.0
Elliptical machine                 ,0.3163943257317292  ,0.3329554043839758  ,0.3014026684912761  ,2923.0
Punches                            ,0.15696533682145195 ,0.14084507042253522 ,0.17725258493353027 ,677.0
Jump Rope                          ,0.3717598908594816  ,0.4224806201550387  ,0.33191230207064554 ,1642.0
Jumping Jacks                      ,0.3275039745627981  ,0.33881578947368424 ,0.3169230769230769  ,325.0
Kettlebell Swing                   ,0.2861762328213419  ,0.29064039408866993 ,0.2818471337579618  ,628.0
Lateral Raise                      ,0.07533759772565743 ,0.06794871794871794 ,0.08452950558213716 ,627.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                 ,64.0
Lawnmower (right)                  ,0.0570264765784114  ,0.055226824457593686,0.05894736842105262 ,475.0
Lunge (both legs)                  ,0.1365461847389558  ,0.1293759512937595  ,0.1445578231292517  ,1176.0
Ball Slam                          ,0.08823529411764706 ,0.08636363636363636 ,0.09018987341772153 ,632.0
Triceps Extension (standing - both),0.4265734265734266  ,0.41123595505617977 ,0.4430992736077482  ,826.0
Plank                              ,0.3687281213535589  ,0.3084216397099833  ,0.4583506009117281  ,2413.0
Power Boat pose                    ,0.3253012048192771  ,0.324               ,0.32661290322580644 ,496.0
Pushups                            ,0.08346213292117466 ,0.07541899441340782 ,0.09342560553633218 ,867.0
Rowing machine                     ,0.3137254901960784  ,0.3863517060367454  ,0.2640832436311446  ,2787.0
Running                            ,0.4430512016718913  ,0.5017751479289941  ,0.3966323666978485  ,3207.0
Russian Twist                      ,0.06635562467599793 ,0.0622568093385214  ,0.07103218645948946 ,901.0
Seated Back Fly                    ,0.07696661007357103 ,0.061316501352569885,0.1033434650455927  ,658.0
Shoulder Press                     ,0.3735354927636113  ,0.36971350613915416 ,0.3774373259052925  ,718.0
Squat                              ,0.21886140218213246 ,0.19754290171606864 ,0.24533785420198595 ,4129.0
Triceps Kickback                   ,0.2381133510840624  ,0.21336059986366732 ,0.2693631669535284  ,1162.0
Triceps extension (lying)          ,0.17253521126760565 ,0.14454277286135694 ,0.21397379912663755 ,687.0
Dumbbell Curl                      ,0.31820608649225834 ,0.3256830601092896  ,0.3110647181628393  ,958.0
V-up                               ,0.35850956696878145 ,0.3314711359404097  ,0.3903508771929825  ,912.0
Walk                               ,0.4169014084507043  ,0.5067158282854886  ,0.3541321553469538  ,5433.0
Walking lunge                      ,0.15245623941276112 ,0.15016685205784205 ,0.15481651376146788 ,872.0
Wall Ball                          ,0.08298755186721993 ,0.06925207756232687 ,0.10351966873706003 ,483.0
Wall Squat                         ,0.08614426569797615 ,0.1006060606060606  ,0.07531760435571687 ,1102.0
accuracy                           ,0.5245961733087889  ,0.5245961733087889  ,0.5245961733087889  ,0.5245961733087889
macro avg                          ,0.21659498372913732 ,0.2169620561349936  ,0.22150108548073733 ,125487.0
weighted avg                       ,0.530758469605901   ,0.5406776097429695  ,0.5245961733087889  ,125487.0
