Unnamed: 0                         ,f1-score            ,precision           ,recall               ,support
Noise                              ,0.7251170165054861  ,0.6446746974419454  ,0.8284965754166156   ,138557.0
Band Pull-Down Row                 ,0.04697986577181208 ,0.05084745762711865 ,0.04365904365904366  ,962.0
Bicep Curl                         ,0.1345593182327876  ,0.14677103718199608 ,0.12422360248447205  ,2415.0
Box Jump (on bench)                ,0.0                 ,0.0                 ,0.0                  ,141.0
Burpee                             ,0.018899763752953092,0.02564102564102564 ,0.014965259219668629 ,1871.0
Butterfly sit-up                   ,0.15697482686599978 ,0.2002805049088359  ,0.12906724511930587  ,5532.0
Chest Press                        ,0.09874776386404294 ,0.08051341890315053 ,0.1276595744680851   ,1081.0
Crunch                             ,0.050118203309692674,0.09888059701492537 ,0.03356554781507283  ,1579.0
Dip                                ,0.03756260434056762 ,0.038560411311053984,0.03661513425549227  ,1229.0
Dumbbell Deadlift Row              ,0.02738475581926061 ,0.04037685060565276 ,0.02071823204419889  ,1448.0
Dumbbell Row (both)                ,0.04356761200164407 ,0.06919060052219321 ,0.03179364127174565  ,1667.0
Dumbbell Row (right)               ,0.0                 ,0.0                 ,0.0                  ,342.0
Dumbbell Squat (hands at side)     ,0.03856749311294767 ,0.07291666666666667 ,0.02621722846441948  ,1602.0
Elliptical machine                 ,0.17090472552657426 ,0.20154440154440156 ,0.14835164835164835  ,5278.0
Punches                            ,0.007838014369693011,0.01935483870967742 ,0.004914004914004914 ,1221.0
Jump Rope                          ,0.08072372999304106 ,0.1299477221807319  ,0.0585464333781965   ,2972.0
Jumping Jacks                      ,0.01288659793814433 ,0.02590673575129533 ,0.008576329331046312 ,583.0
Kettlebell Swing                   ,0.08996539792387542 ,0.12935323383084574 ,0.06896551724137931  ,1131.0
Lateral Raise                      ,0.03580562659846547 ,0.06451612903225806 ,0.024778761061946902 ,1130.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                  ,116.0
Lawnmower (right)                  ,0.01280878316559927 ,0.029535864978902957,0.008177570093457943 ,856.0
Lunge (both legs)                  ,0.04978709466098919 ,0.08207343412526998 ,0.035731076633756464 ,2127.0
Ball Slam                          ,0.03296703296703297 ,0.07570977917981073 ,0.021071115013169446 ,1139.0
Triceps Extension (standing - both),0.10169491525423728 ,0.19844357976653693 ,0.06836461126005362  ,1492.0
Plank                              ,0.4353283609241405  ,0.3602288122836068  ,0.5499885083888761   ,4351.0
Power Boat pose                    ,0.4079470198675497  ,0.5049180327868853  ,0.3422222222222222   ,900.0
Pushups                            ,0.017293997965412002,0.04336734693877551 ,0.0108005082592122   ,1574.0
Rowing machine                     ,0.1110800223838836  ,0.18744098205854576 ,0.07892644135188867  ,5030.0
Running                            ,0.06806212018906144 ,0.1568139390168015  ,0.0434632631942049   ,5798.0
Russian Twist                      ,0.132688927943761   ,0.22948328267477205 ,0.09332509270704574  ,1618.0
Seated Back Fly                    ,0.0182328190743338  ,0.05531914893617021 ,0.0109151973131822   ,1191.0
Shoulder Press                     ,0.0925136944613512  ,0.21965317919075145 ,0.05859676175790285  ,1297.0
Squat                              ,0.10205064022335612 ,0.18225584594222832 ,0.07086508891563043  ,7479.0
Triceps Kickback                   ,0.04249189773136478 ,0.08689248895434462 ,0.028122020972354625 ,2098.0
Triceps extension (lying)          ,0.027577150361129347,0.075               ,0.016894609814963796 ,1243.0
Dumbbell Curl                      ,0.10584250635055037 ,0.19968051118210864 ,0.07200460829493087  ,1736.0
V-up                               ,0.1162051747616886  ,0.22735346358792186 ,0.07804878048780488  ,1640.0
Walk                               ,0.3974107039648596  ,0.4588894821142552  ,0.3504587155963303   ,9810.0
Walking lunge                      ,0.05492888670917116 ,0.12307692307692307 ,0.03535353535353535  ,1584.0
Wall Ball                          ,0.004296455424274973,0.03389830508474576 ,0.0022935779816513767,872.0
Wall Squat                         ,0.14605978260869565 ,0.2265542676501581  ,0.10776942355889724  ,1995.0
accuracy                           ,0.5545223149099859  ,0.5545223149099859  ,0.5545223149099859   ,0.5545223149099859
macro avg                          ,0.10375295860779098 ,0.14136256093666558 ,0.0930367440894491   ,226687.0
weighted avg                       ,0.4980320754337638  ,0.467407454559962   ,0.5545223149099859   ,226687.0
