Unnamed: 0                         ,f1-score             ,precision           ,recall               ,support
Noise                              ,0.730121956550247    ,0.6551994665202212  ,0.8243916884655249   ,40522.0
Band Pull-Down Row                 ,0.039942938659058486 ,0.03349282296650718 ,0.04946996466431095  ,283.0
Bicep Curl                         ,0.027472527472527472 ,0.03836317135549872 ,0.021398002853067047 ,701.0
Box Jump (on bench)                ,0.0                  ,0.0                 ,0.0                  ,42.0
Burpee                             ,0.018202502844141072 ,0.02424242424242424 ,0.014571948998178506 ,549.0
Butterfly sit-up                   ,0.09190887666928517  ,0.12607758620689655 ,0.0723114956736712   ,1618.0
Chest Press                        ,0.2764456981664316   ,0.2487309644670051  ,0.3111111111111111   ,315.0
Crunch                             ,0.10468319559228648  ,0.1450381679389313  ,0.08189655172413793  ,464.0
Dip                                ,0.09884678747940692  ,0.12048192771084335 ,0.08379888268156424  ,358.0
Dumbbell Deadlift Row              ,0.04993429697766097  ,0.05637982195845698 ,0.04481132075471698  ,424.0
Dumbbell Row (both)                ,0.10539845758354753  ,0.1413793103448276  ,0.08401639344262295  ,488.0
Dumbbell Row (right)               ,0.0                  ,0.0                 ,0.0                  ,99.0
Dumbbell Squat (hands at side)     ,0.08779149519890261  ,0.12403100775193797 ,0.06794055201698514  ,471.0
Elliptical machine                 ,0.2740447957839262   ,0.27882037533512066 ,0.2694300518134715   ,1544.0
Punches                            ,0.00468384074941452  ,0.014285714285714284,0.0028011204481792717,357.0
Jump Rope                          ,0.24684014869888474  ,0.3494736842105263  ,0.19080459770114944  ,870.0
Jumping Jacks                      ,0.0                  ,0.0                 ,0.0                  ,171.0
Kettlebell Swing                   ,0.004830917874396135 ,0.012048192771084338,0.0030211480362537764,331.0
Lateral Raise                      ,0.02948402948402948  ,0.07692307692307693 ,0.0182370820668693   ,329.0
Lawnmower (both)                   ,0.0                  ,0.0                 ,0.0                  ,34.0
Lawnmower (right)                  ,0.0                  ,0.0                 ,0.0                  ,251.0
Lunge (both legs)                  ,0.07311827956989247  ,0.11038961038961037 ,0.05466237942122187  ,622.0
Ball Slam                          ,0.01078167115902965  ,0.05882352941176471 ,0.005934718100890208 ,337.0
Triceps Extension (standing - both),0.1723625557206538   ,0.2426778242677824  ,0.1336405529953917   ,434.0
Plank                              ,0.4355411954765752   ,0.3703296703296704  ,0.5286274509803922   ,1275.0
Power Boat pose                    ,0.4585152838427948   ,0.5497382198952879  ,0.39325842696629215  ,267.0
Pushups                            ,0.01212121212121212  ,0.01951219512195122 ,0.008791208791208791 ,455.0
Rowing machine                     ,0.1855579868708972   ,0.26012269938650306 ,0.14421768707482993  ,1470.0
Running                            ,0.06172270842929525  ,0.14105263157894735 ,0.03950471698113208  ,1696.0
Russian Twist                      ,0.0037735849056603774,0.017857142857142856,0.002109704641350211 ,474.0
Seated Back Fly                    ,0.0                  ,0.0                 ,0.0                  ,350.0
Shoulder Press                     ,0.2842639593908629   ,0.3962264150943397  ,0.2216358839050132   ,379.0
Squat                              ,0.16901408450704225  ,0.2135380321004885  ,0.13985374771480805  ,2188.0
Triceps Kickback                   ,0.024725274725274724 ,0.07563025210084033 ,0.014778325123152709 ,609.0
Triceps extension (lying)          ,0.13452914798206278  ,0.3448275862068966  ,0.08356545961002786  ,359.0
Dumbbell Curl                      ,0.02593192868719611  ,0.0761904761904762  ,0.015625             ,512.0
V-up                               ,0.045774647887323945 ,0.14285714285714285 ,0.027253668763102725 ,477.0
Walk                               ,0.530635838150289    ,0.5935344827586206  ,0.4797909407665506   ,2870.0
Walking lunge                      ,0.10699588477366256  ,0.1455223880597015  ,0.08459869848156182  ,461.0
Wall Ball                          ,0.021739130434782608 ,0.17647058823529413 ,0.01158301158301158  ,259.0
Wall Squat                         ,0.21147356580427445  ,0.3042071197411003  ,0.16206896551724134  ,580.0
accuracy                           ,0.5660758729919301   ,0.5660758729919301  ,0.5660758729919301   ,0.5660758729919301
macro avg                          ,0.12583440015177874  ,0.16303599320908865 ,0.1144271331675364   ,66295.0
weighted avg                       ,0.5154847598015216   ,0.4864843154045149  ,0.5660758729919301   ,66295.0
