Unnamed: 0                         ,f1-score             ,precision           ,recall              ,support
Noise                              ,0.7334897016785165   ,0.6582830829952856  ,0.8280969850770971  ,36253.0
Band Pull-Down Row                 ,0.0794979079497908   ,0.08407079646017701 ,0.07539682539682539 ,252.0
Bicep Curl                         ,0.07471264367816091  ,0.09397590361445783 ,0.06200317965023847 ,629.0
Box Jump (on bench)                ,0.0                  ,0.0                 ,0.0                 ,36.0
Burpee                             ,0.02102496714848883  ,0.028985507246376805,0.016494845360824743,485.0
Butterfly sit-up                   ,0.07769532955041468  ,0.10595238095238096 ,0.061337008959338385,1451.0
Chest Press                        ,0.33756805807622503  ,0.34572490706319703 ,0.3297872340425532  ,282.0
Crunch                             ,0.07644882860665844  ,0.07769423558897243 ,0.07524271844660194 ,412.0
Dip                                ,0.09358752166377816  ,0.10424710424710423 ,0.08490566037735849 ,318.0
Dumbbell Deadlift Row              ,0.053973013493253376 ,0.0627177700348432  ,0.04736842105263158 ,380.0
Dumbbell Row (both)                ,0.10904255319148937  ,0.12974683544303794 ,0.09403669724770644 ,436.0
Dumbbell Row (right)               ,0.014814814814814815 ,0.021739130434782608,0.011235955056179777,89.0
Dumbbell Squat (hands at side)     ,0.1343065693430657   ,0.17424242424242425 ,0.10926365795724466 ,421.0
Elliptical machine                 ,0.2520385470719051   ,0.2585551330798479  ,0.2458423716558207  ,1383.0
Punches                            ,0.010025062656641605 ,0.02564102564102564 ,0.006230529595015576,321.0
Jump Rope                          ,0.3129139072847682   ,0.441588785046729   ,0.2423076923076923  ,780.0
Jumping Jacks                      ,0.011695906432748536 ,0.043478260869565216,0.006756756756756757,148.0
Kettlebell Swing                   ,0.01066666666666667  ,0.02666666666666667 ,0.006666666666666667,300.0
Lateral Raise                      ,0.011204481792717087 ,0.03125             ,0.006825938566552901,293.0
Lawnmower (both)                   ,0.0                  ,0.0                 ,0.0                 ,32.0
Lawnmower (right)                  ,0.0077821011673151735,0.03225806451612903 ,0.004424778761061947,226.0
Lunge (both legs)                  ,0.07142857142857142  ,0.1141732283464567  ,0.05197132616487455 ,558.0
Ball Slam                          ,0.011396011396011395 ,0.03571428571428571 ,0.006779661016949152,295.0
Triceps Extension (standing - both),0.13698630136986306  ,0.21052631578947367 ,0.10152284263959392 ,394.0
Plank                              ,0.4658787647731605   ,0.4120026972353338  ,0.5359649122807018  ,1140.0
Power Boat pose                    ,0.4819277108433736   ,0.5617977528089888  ,0.4219409282700422  ,237.0
Pushups                            ,0.0199203187250996   ,0.053763440860215055,0.012224938875305624,409.0
Rowing machine                     ,0.1661483784984451   ,0.19957310565635009 ,0.14231354642313546 ,1314.0
Running                            ,0.0781414994720169   ,0.19680851063829788 ,0.048748353096179184,1518.0
Russian Twist                      ,0.024242424242424246 ,0.08695652173913042 ,0.014084507042253518,426.0
Seated Back Fly                    ,0.010638297872340424 ,0.03125             ,0.00641025641025641 ,312.0
Shoulder Press                     ,0.2907801418439716   ,0.3612334801762114  ,0.2433234421364985  ,337.0
Squat                              ,0.19479267116682736  ,0.2607573149741824  ,0.15546434068753207 ,1949.0
Triceps Kickback                   ,0.021341463414634148 ,0.06194690265486725 ,0.01289134438305709 ,543.0
Triceps extension (lying)          ,0.11488250652741515  ,0.3728813559322034  ,0.06790123456790123 ,324.0
Dumbbell Curl                      ,0.04133545310015898  ,0.07514450867052024 ,0.028508771929824563,456.0
V-up                               ,0.027290448343079917 ,0.08641975308641975 ,0.016203703703703703,432.0
Walk                               ,0.5512152777777777   ,0.6222439980401764  ,0.4947409427347098  ,2567.0
Walking lunge                      ,0.1001517450682853   ,0.13524590163934427 ,0.07951807228915662 ,415.0
Wall Ball                          ,0.008438818565400845 ,0.16666666666666666 ,0.004329004329004329,231.0
Wall Squat                         ,0.18251928020565555  ,0.27307692307692305 ,0.13706563706563707 ,518.0
accuracy                           ,0.5705541128461098   ,0.5705541128461098  ,0.5705541128461098  ,0.5705541128461098
macro avg                          ,0.1322425528512666   ,0.17231708970363538 ,0.11941784607269472 ,59302.0
weighted avg                       ,0.5207366191008174   ,0.4932631347050424  ,0.5705541128461098  ,59302.0
