Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.7441894037823011  ,0.6679407858507985  ,0.8400896312894683  ,24545.0
Band Pull-Down Row                 ,0.05934718100890207 ,0.05952380952380953 ,0.059171597633136085,169.0
Bicep Curl                         ,0.0332409972299169  ,0.040816326530612235,0.02803738317757009 ,428.0
Box Jump (on bench)                ,0.0                 ,0.0                 ,0.0                 ,24.0
Burpee                             ,0.022058823529411763,0.028169014084507043,0.01812688821752266 ,331.0
Butterfly sit-up                   ,0.11779293242405454 ,0.1498422712933754  ,0.09703779366700717 ,979.0
Chest Press                        ,0.38115631691648827 ,0.3189964157706093  ,0.4734042553191489  ,188.0
Crunch                             ,0.11738148984198644 ,0.15853658536585366 ,0.0931899641577061  ,279.0
Dip                                ,0.12903225806451613 ,0.15483870967741936 ,0.11059907834101383 ,217.0
Dumbbell Deadlift Row              ,0.10105263157894738 ,0.11009174311926606 ,0.0933852140077821  ,257.0
Dumbbell Row (both)                ,0.10766045548654243 ,0.13612565445026178 ,0.08904109589041095 ,292.0
Dumbbell Row (right)               ,0.0                 ,0.0                 ,0.0                 ,60.0
Dumbbell Squat (hands at side)     ,0.1425389755011136  ,0.19393939393939394 ,0.11267605633802814 ,284.0
Elliptical machine                 ,0.2762823768410361  ,0.26280193236714977 ,0.291220556745182   ,934.0
Punches                            ,0.029520295202952032,0.07692307692307693 ,0.0182648401826484  ,219.0
Jump Rope                          ,0.36194895591647336 ,0.4629080118694362  ,0.29714285714285715 ,525.0
Jumping Jacks                      ,0.01818181818181818 ,0.14285714285714285 ,0.009708737864077669,103.0
Kettlebell Swing                   ,0.015564202334630354,0.03571428571428571 ,0.009950248756218905,201.0
Lateral Raise                      ,0.015810276679841896,0.0392156862745098  ,0.0099009900990099  ,202.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                 ,20.0
Lawnmower (right)                  ,0.0                 ,0.0                 ,0.0                 ,154.0
Lunge (both legs)                  ,0.09057971014492752 ,0.14124293785310735 ,0.06666666666666668 ,375.0
Ball Slam                          ,0.025751072961373387,0.0967741935483871  ,0.01485148514851485 ,202.0
Triceps Extension (standing - both),0.2409638554216868  ,0.32894736842105265 ,0.19011406844106465 ,263.0
Plank                              ,0.4664688427299703  ,0.4337748344370861  ,0.5044929396662388  ,779.0
Power Boat pose                    ,0.503448275862069   ,0.5615384615384615  ,0.45625             ,160.0
Pushups                            ,0.034090909090909095,0.07792207792207792 ,0.02181818181818182 ,275.0
Rowing machine                     ,0.22296395193591456 ,0.2755775577557756  ,0.18721973094170405 ,892.0
Running                            ,0.08734939759036145 ,0.19269102990033224 ,0.05647517039922102 ,1027.0
Russian Twist                      ,0.0                 ,0.0                 ,0.0                 ,290.0
Seated Back Fly                    ,0.009009009009009007,0.07692307692307693 ,0.004784688995215311,209.0
Shoulder Press                     ,0.2870159453302961  ,0.3103448275862069  ,0.2669491525423729  ,236.0
Squat                              ,0.2103154732098147  ,0.3111111111111111  ,0.1588502269288956  ,1322.0
Triceps Kickback                   ,0.035398230088495575,0.09523809523809523 ,0.021739130434782608,368.0
Triceps extension (lying)          ,0.11067193675889328 ,0.4117647058823529  ,0.0639269406392694  ,219.0
Dumbbell Curl                      ,0.017142857142857144,0.06521739130434782 ,0.009868421052631578,304.0
V-up                               ,0.017543859649122806,0.06818181818181818 ,0.010067114093959731,298.0
Walk                               ,0.5506308637981235  ,0.6294378698224852  ,0.4893617021276596  ,1739.0
Walking lunge                      ,0.13733905579399144 ,0.1693121693121693  ,0.11552346570397112 ,277.0
Wall Ball                          ,0.0                 ,0.0                 ,0.0                 ,156.0
Wall Squat                         ,0.2023809523809524  ,0.34                ,0.1440677966101695  ,354.0
accuracy                           ,0.583026197828469   ,0.583026197828469   ,0.583026197828469   ,0.583026197828469
macro avg                          ,0.14443472169316346 ,0.1859814724963281  ,0.1325359529521782  ,40156.0
weighted avg                       ,0.533246947792545   ,0.5068725152423619  ,0.583026197828469   ,40156.0
