Unnamed: 0                         ,f1-score            ,precision          ,recall              ,support
Noise                              ,0.6138876282109468  ,0.6722328244274809 ,0.5648615240704239  ,29933.0
Band Pull-Down Row                 ,0.06008583690987124 ,0.28               ,0.03365384615384615 ,208.0
Bicep Curl                         ,0.0                 ,0.0                ,0.0                 ,520.0
Box Jump (on bench)                ,0.0                 ,0.0                ,0.0                 ,30.0
Burpee                             ,0.0378657487091222  ,0.06111111111111111,0.027431421446384042,401.0
Butterfly sit-up                   ,0.0759322033898305  ,0.20363636363636364,0.04666666666666667 ,1200.0
Chest Press                        ,0.5005988023952096  ,0.34775374376039936,0.8931623931623932  ,234.0
Crunch                             ,0.052704576976421634,0.04960835509138381,0.056213017751479286,338.0
Dip                                ,0.25517993456924754 ,0.18               ,0.4382022471910113  ,267.0
Dumbbell Deadlift Row              ,0.2992985190958691  ,0.19732785200411104,0.6193548387096774  ,310.0
Dumbbell Row (both)                ,0.07192254495159059 ,0.0718232044198895 ,0.07202216066481995 ,361.0
Dumbbell Row (right)               ,0.0                 ,0.0                ,0.0                 ,73.0
Dumbbell Squat (hands at side)     ,0.20180866254164684 ,0.12086659064994297,0.6109510086455331  ,347.0
Elliptical machine                 ,0.3450758549755721  ,0.2439113049800073 ,0.5896309314586995  ,1138.0
Punches                            ,0.3155216284987278  ,0.4881889763779528 ,0.2330827067669173  ,266.0
Jump Rope                          ,0.37467700258397935 ,0.3200883002207506 ,0.4517133956386293  ,642.0
Jumping Jacks                      ,0.4109589041095891  ,0.4945054945054945 ,0.3515625           ,128.0
Kettlebell Swing                   ,0.02013422818791947 ,0.05357142857142857,0.012396694214876032,242.0
Lateral Raise                      ,0.0                 ,0.0                ,0.0                 ,244.0
Lawnmower (both)                   ,0.0                 ,0.0                ,0.0                 ,25.0
Lawnmower (right)                  ,0.0                 ,0.0                ,0.0                 ,186.0
Lunge (both legs)                  ,0.1962616822429907  ,0.1291866028708134 ,0.40820734341252707 ,463.0
Ball Slam                          ,0.031999999999999994,0.046875           ,0.024291497975708502,247.0
Triceps Extension (standing - both),0.4502512562814071  ,0.33383010432190763,0.6913580246913579  ,324.0
Plank                              ,0.3055982436882546  ,0.19226519337016573,0.7443850267379679  ,935.0
Power Boat pose                    ,0.1985630306988896  ,0.1136873597606582 ,0.7835051546391752  ,194.0
Pushups                            ,0.08098159509202454 ,0.06903765690376569,0.09792284866468842 ,337.0
Rowing machine                     ,0.3611111111111111  ,0.37662337662337664,0.3468261269549218  ,1087.0
Running                            ,0.10149253731343284 ,0.7906976744186046 ,0.054226475279106866,1254.0
Russian Twist                      ,0.02948402948402948 ,0.10714285714285714,0.017094017094017096,351.0
Seated Back Fly                    ,0.0                 ,0.0                ,0.0                 ,256.0
Shoulder Press                     ,0.40677966101694907 ,0.3364485981308411 ,0.5142857142857142  ,280.0
Squat                              ,0.017182130584192438,0.1153846153846154 ,0.009282178217821782,1616.0
Triceps Kickback                   ,0.0955631399317406  ,0.2058823529411765 ,0.06222222222222223 ,450.0
Triceps extension (lying)          ,0.21693907875185736 ,0.1802469135802469 ,0.2723880597014925  ,268.0
Dumbbell Curl                      ,0.010178117048346057,0.13333333333333333,0.005291005291005291,378.0
V-up                               ,0.222707423580786   ,0.504950495049505  ,0.14285714285714285 ,357.0
Walk                               ,0.5935943060498221  ,0.4762992575671045 ,0.7875354107648725  ,2118.0
Walking lunge                      ,0.16190476190476188 ,0.10559006211180123,0.3469387755102041  ,343.0
Wall Ball                          ,0.0                 ,0.0                ,0.0                 ,188.0
Wall Squat                         ,0.0                 ,0.0                ,0.0                 ,431.0
accuracy                           ,0.4631202777210537  ,0.4631202777210537 ,0.4631202777210537  ,0.4631202777210537
macro avg                          ,0.17356693124112535 ,0.19517334154309973,0.25145176528881225 ,48970.0
weighted avg                       ,0.4579554910679439  ,0.5095765547071768 ,0.4631202777210537  ,48970.0
