Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.6166644508176483  ,0.6760504726606421  ,0.5668691947761715  ,28638.0
Band Pull-Down Row                 ,0.10389610389610388 ,0.3870967741935484  ,0.06                ,200.0
Bicep Curl                         ,0.0                 ,0.0                 ,0.0                 ,496.0
Box Jump (on bench)                ,0.0                 ,0.0                 ,0.0                 ,30.0
Burpee                             ,0.06015037593984963 ,0.1095890410958904  ,0.04145077720207254 ,386.0
Butterfly sit-up                   ,0.07202216066481995 ,0.17687074829931973 ,0.045217391304347834,1150.0
Chest Press                        ,0.4835965978128797  ,0.33222036727879806 ,0.8883928571428571  ,224.0
Crunch                             ,0.05730659025787965 ,0.053763440860215055,0.061349693251533735,326.0
Dip                                ,0.26450116009280744 ,0.1645813282001925  ,0.6732283464566929  ,254.0
Dumbbell Deadlift Row              ,0.2720664589823468  ,0.1975867269984917  ,0.43666666666666665 ,300.0
Dumbbell Row (both)                ,0.06839945280437756 ,0.06459948320413436 ,0.07267441860465118 ,344.0
Dumbbell Row (right)               ,0.0                 ,0.0                 ,0.0                 ,69.0
Dumbbell Squat (hands at side)     ,0.1808898614150255  ,0.11946050096339116 ,0.3723723723723724  ,333.0
Elliptical machine                 ,0.3447537473233405  ,0.24338624338624334 ,0.5908256880733945  ,1090.0
Punches                            ,0.3598971722365038  ,0.5185185185185185  ,0.2755905511811024  ,254.0
Jump Rope                          ,0.3896809232858112  ,0.3333333333333333  ,0.468954248366013   ,612.0
Jumping Jacks                      ,0.4114832535885167  ,0.4886363636363637  ,0.35537190082644626 ,121.0
Kettlebell Swing                   ,0.022058823529411763,0.08108108108108109 ,0.01276595744680851 ,235.0
Lateral Raise                      ,0.0                 ,0.0                 ,0.0                 ,234.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                 ,24.0
Lawnmower (right)                  ,0.0                 ,0.0                 ,0.0                 ,175.0
Lunge (both legs)                  ,0.19399538106235564 ,0.12152777777777778 ,0.4805491990846682  ,437.0
Ball Slam                          ,0.032786885245901634,0.04651162790697674 ,0.02531645569620253 ,237.0
Triceps Extension (standing - both),0.4646680942184154  ,0.3466453674121406  ,0.7045454545454546  ,308.0
Plank                              ,0.2991358298249501  ,0.18682535289233326 ,0.75                ,900.0
Power Boat pose                    ,0.19891008174386926 ,0.11379579111457523 ,0.7891891891891892  ,185.0
Pushups                            ,0.08275862068965517 ,0.06545454545454546 ,0.1125              ,320.0
Rowing machine                     ,0.3588941053729786  ,0.3931428571428571  ,0.33013435700575816 ,1042.0
Running                            ,0.09516380655226207 ,0.7176470588235294  ,0.050960735171261484,1197.0
Russian Twist                      ,0.05208333333333333 ,0.2                 ,0.02994011976047904 ,334.0
Seated Back Fly                    ,0.0                 ,0.0                 ,0.0                 ,244.0
Shoulder Press                     ,0.3964232488822652  ,0.3308457711442786  ,0.4944237918215613  ,269.0
Squat                              ,0.012507817385866166,0.18181818181818185 ,0.006476683937823835,1544.0
Triceps Kickback                   ,0.11678832116788322 ,0.2857142857142857  ,0.07339449541284404 ,436.0
Triceps extension (lying)          ,0.2297090352220521  ,0.1889168765743073  ,0.29296875          ,256.0
Dumbbell Curl                      ,0.015748031496062992,0.12                ,0.008426966292134831,356.0
V-up                               ,0.2420091324200913  ,0.5353535353535354  ,0.15634218289085547 ,339.0
Walk                               ,0.5951219512195123  ,0.4801695428398426  ,0.7824370991613222  ,2027.0
Walking lunge                      ,0.15764863059452236 ,0.10120068610634647 ,0.3564954682779456  ,331.0
Wall Ball                          ,0.0                 ,0.0                 ,0.0                 ,178.0
Wall Squat                         ,0.0                 ,0.0                 ,0.0                 ,413.0
accuracy                           ,0.4641820355191257  ,0.4641820355191257  ,0.4641820355191257  ,0.4641820355191257
macro avg                          ,0.17687120583120242 ,0.20395960199477264 ,0.25282514663216177 ,46848.0
weighted avg                       ,0.4602618671570662  ,0.5146054728874996  ,0.4641820355191257  ,46848.0
