Unnamed: 0                         ,f1-score             ,precision            ,recall              ,support
Noise                              ,0.012755396513909731 ,0.775438596491228    ,0.006430587482177671,34367.0
Band Pull-Down Row                 ,0.02230483271375465  ,0.0967741935483871   ,0.012605042016806723,238.0
Bicep Curl                         ,0.00473186119873817  ,0.004491017964071856 ,0.005               ,600.0
Box Jump (on bench)                ,0.001689189189189189 ,0.0008572653236176596,0.057142857142857134,35.0
Burpee                             ,0.013875123885034691 ,0.012844036697247707 ,0.015086206896551725,464.0
Butterfly sit-up                   ,0.0217741935483871   ,0.024390243902439025 ,0.019664967225054626,1373.0
Chest Press                        ,0.030769230769230767 ,0.08771929824561403  ,0.018656716417910446,268.0
Crunch                             ,0.012048192771084341 ,0.009079118028534372 ,0.017902813299232736,391.0
Dip                                ,0.02243589743589744  ,0.02147239263803681  ,0.02348993288590604 ,298.0
Dumbbell Deadlift Row              ,0.045832397214109186 ,0.024932779271571743 ,0.2833333333333333  ,360.0
Dumbbell Row (both)                ,0.0044742729306487695,0.03571428571428571  ,0.002386634844868735,419.0
Dumbbell Row (right)               ,0.0                  ,0.0                  ,0.0                 ,88.0
Dumbbell Squat (hands at side)     ,0.09565217391304348  ,0.11301369863013698  ,0.0829145728643216  ,398.0
Elliptical machine                 ,0.016713091922005572 ,0.0975609756097561   ,0.00913937547600914 ,1313.0
Punches                            ,0.02938475665748393  ,0.017084890549919914 ,0.10491803278688523 ,305.0
Jump Rope                          ,0.21135914100028255  ,0.13342846949696754  ,0.5081521739130435  ,736.0
Jumping Jacks                      ,0.036152356358941255 ,0.0189637656620386   ,0.3862068965517241  ,145.0
Kettlebell Swing                   ,0.012793176972281451 ,0.009104704097116844 ,0.021505376344086027,279.0
Lateral Raise                      ,0.012987012987012988 ,0.0081374321880651   ,0.03214285714285714 ,280.0
Lawnmower (both)                   ,0.009703504043126686 ,0.004928806133625411 ,0.3103448275862069  ,29.0
Lawnmower (right)                  ,0.009623095429029671 ,0.005819592628516004 ,0.027777777777777776,216.0
Lunge (both legs)                  ,0.020869565217391303 ,0.1153846153846154   ,0.011472275334608031,523.0
Ball Slam                          ,0.017753922378199834 ,0.009433962264150943 ,0.15034965034965034 ,286.0
Triceps Extension (standing - both),0.011747430249632892 ,0.01282051282051282  ,0.010840108401084009,369.0
Plank                              ,0.175303197353914    ,0.2163265306122449   ,0.14735866543095458 ,1079.0
Power Boat pose                    ,0.2092050209205021   ,0.12437810945273632  ,0.6578947368421053  ,228.0
Pushups                            ,0.03699673558215452  ,0.03171641791044776  ,0.044386422976501305,383.0
Rowing machine                     ,0.08258833546189867  ,0.08802177858439203  ,0.07778668805132317 ,1247.0
Running                            ,0.06326326326326326  ,0.04441945459657015  ,0.10987482614742697 ,1438.0
Russian Twist                      ,0.003084040092521202 ,0.0022222222222222227,0.005037783375314861,397.0
Seated Back Fly                    ,0.02031602708803612  ,0.01528013582342954  ,0.030303030303030307,297.0
Shoulder Press                     ,0.035357417371252885 ,0.02358974358974359  ,0.0705521472392638  ,326.0
Squat                              ,0.03614457831325301  ,0.05230769230769231  ,0.027612344342176503,1847.0
Triceps Kickback                   ,0.011267605633802816 ,0.010948905109489052 ,0.01160541586073501 ,517.0
Triceps extension (lying)          ,0.0                  ,0.0                  ,0.0                 ,304.0
Dumbbell Curl                      ,0.012658227848101269 ,0.0081799591002045   ,0.02797202797202797 ,429.0
V-up                               ,0.044073455759599325 ,0.023655913978494626 ,0.32195121951219513 ,410.0
Walk                               ,0.3996003996003996   ,0.2736810095788353   ,0.7401315789473685  ,2432.0
Walking lunge                      ,0.06691449814126392  ,0.04228187919463088  ,0.16030534351145034 ,393.0
Wall Ball                          ,0.014797951052931134 ,0.008436080467229072 ,0.060185185185185175,216.0
Wall Squat                         ,0.0440324449594438   ,0.051630434782608696 ,0.03838383838383838 ,495.0
accuracy                           ,0.06556618876516418  ,0.06556618876516418  ,0.06556618876516418 ,0.06556618876516418
macro avg                          ,0.04714714667660374  ,0.06479197367320554  ,0.11338547000375244 ,56218.0
weighted avg                       ,0.0420428113916269   ,0.5053732795846456   ,0.06556618876516418 ,56218.0
