Unnamed: 0                         ,f1-score           ,precision          ,recall            ,support
Noise                              ,0.891531526257245  ,0.8967949001074746 ,0.8863295743906875,68725.0
Band Pull-Down Row                 ,0.5813221406086043 ,0.586864406779661  ,0.5758835758835759,481.0
Bicep Curl                         ,0.7059304703476483 ,0.6909527622097679 ,0.7215719063545151,1196.0
Box Jump (on bench)                ,0.32               ,0.3                ,0.3428571428571429,70.0
Burpee                             ,0.4940321743642969 ,0.4788732394366197 ,0.5101822079314041,933.0
Butterfly sit-up                   ,0.7018813314037627 ,0.6963388370423547 ,0.7075127644055434,2742.0
Chest Press                        ,0.7301587301587301 ,0.7240740740740741 ,0.7363465160075329,531.0
Crunch                             ,0.7001909611712286 ,0.7015306122448979 ,0.6988564167725541,787.0
Dip                                ,0.6061093247588425 ,0.5937007874015748 ,0.6190476190476191,609.0
Dumbbell Deadlift Row              ,0.5714285714285714 ,0.5683060109289617 ,0.574585635359116 ,724.0
Dumbbell Row (both)                ,0.4570109636468552 ,0.4346871569703623 ,0.4817518248175183,822.0
Dumbbell Row (right)               ,0.5                ,0.5298013245033113 ,0.4733727810650887,169.0
Dumbbell Squat (hands at side)     ,0.7088764742396028 ,0.7014742014742015 ,0.7164366373902133,797.0
Elliptical machine                 ,0.8823306848278472 ,0.8734082397003745 ,0.8914373088685015,2616.0
Punches                            ,0.8542880932556203 ,0.8592964824120602 ,0.8493377483443708,604.0
Jump Rope                          ,0.8064516129032258 ,0.7989347536617842 ,0.8141112618724559,1474.0
Jumping Jacks                      ,0.8756388415672912 ,0.8653198653198653 ,0.8862068965517241,290.0
Kettlebell Swing                   ,0.7879858657243816 ,0.7824561403508772 ,0.7935943060498221,562.0
Lateral Raise                      ,0.5313059033989267 ,0.5313059033989267 ,0.5313059033989267,559.0
Lawnmower (both)                   ,0.30508474576271183,0.29508196721311475,0.3157894736842105,57.0
Lawnmower (right)                  ,0.4447058823529412 ,0.4457547169811321 ,0.4436619718309859,426.0
Lunge (both legs)                  ,0.5062240663900415 ,0.4941494149414942 ,0.5189035916824196,1058.0
Ball Slam                          ,0.5189094107299912 ,0.5166374781085814 ,0.5212014134275619,566.0
Triceps Extension (standing - both),0.7650562541363336 ,0.7565445026178008 ,0.7737617135207496,747.0
Plank                              ,0.8458516293043679 ,0.8409926470588235 ,0.8507670850767085,2151.0
Power Boat pose                    ,0.6452328159645233 ,0.6353711790393013 ,0.6554054054054054,444.0
Pushups                            ,0.6947765890497168 ,0.6831683168316832 ,0.706786171574904 ,781.0
Rowing machine                     ,0.8979755462016437 ,0.8977955911823647 ,0.8981555733761026,2494.0
Running                            ,0.8781585323641399 ,0.8745260255084454 ,0.8818213416753563,2877.0
Russian Twist                      ,0.6415552855407047 ,0.6308243727598566 ,0.6526576019777504,809.0
Seated Back Fly                    ,0.51138353765324   ,0.5280289330922242 ,0.4957555178268251,589.0
Shoulder Press                     ,0.7567152724481965 ,0.7503805175038052 ,0.7631578947368421,646.0
Squat                              ,0.7620587442737807 ,0.7606239913932221 ,0.7634989200863931,3704.0
Triceps Kickback                   ,0.5833724753405354 ,0.5702479338842975 ,0.5971153846153846,1040.0
Triceps extension (lying)          ,0.7159904534606205 ,0.6998444790046656 ,0.7328990228013029,614.0
Dumbbell Curl                      ,0.7274826789838337 ,0.7233065442020666 ,0.7317073170731707,861.0
V-up                               ,0.7297297297297297 ,0.7279411764705882 ,0.7315270935960592,812.0
Walk                               ,0.8000818916982291 ,0.7972256221950225 ,0.8029587014588042,4867.0
Walking lunge                      ,0.6114249843063403 ,0.6012345679012345 ,0.6219667943805874,783.0
Wall Ball                          ,0.7190751445086705 ,0.7182448036951501 ,0.7199074074074074,432.0
Wall Squat                         ,0.46288209606986896,0.4445479962721342 ,0.4827935222672065,988.0
accuracy                           ,0.8272810551686722 ,0.8272810551686722 ,0.8272810551686722,0.8272810551686722
macro avg                          ,0.6641512545447035 ,0.6586973774603454 ,0.6700713889475719,112437.0
weighted avg                       ,0.8281573820474754 ,0.8291752572845581 ,0.8272810551686722,112437.0
