Unnamed: 0                         ,f1-score          ,precision         ,recall            ,support
Noise                              ,0.8926823240915873,0.8999099323534484,0.8855698876065475,53028.0
Band Pull-Down Row                 ,0.6183310533515731,0.6208791208791209,0.6158038147138964,367.0
Bicep Curl                         ,0.6846846846846846,0.6736183524504692,0.6961206896551724,928.0
Box Jump (on bench)                ,0.3               ,0.2727272727272727,0.3333333333333333,54.0
Burpee                             ,0.5471956224350205,0.5376344086021505,0.5571030640668524,718.0
Butterfly sit-up                   ,0.7135160459123916,0.7080427708042771,0.7190745986779982,2118.0
Chest Press                        ,0.6942148760330579,0.6774193548387096,0.7118644067796609,413.0
Crunch                             ,0.7149837133550491,0.7069243156199678,0.7232289950576606,607.0
Dip                                ,0.6082474226804123,0.5888223552894212,0.6289978678038379,469.0
Dumbbell Deadlift Row              ,0.5856255545696539,0.5759162303664922,0.5956678700361011,554.0
Dumbbell Row (both)                ,0.472285497342445 ,0.4553440702781845,0.4905362776025237,634.0
Dumbbell Row (right)               ,0.4620938628158845,0.4475524475524476,0.4776119402985074,134.0
Dumbbell Squat (hands at side)     ,0.7468152866242039,0.7305295950155763,0.7638436482084691,614.0
Elliptical machine                 ,0.8899240009806325,0.8814958717824186,0.8985148514851485,2020.0
Punches                            ,0.8583690987124464,0.8602150537634409,0.8565310492505354,467.0
Jump Rope                          ,0.810928013876843 ,0.7991452991452992,0.8230633802816901,1136.0
Jumping Jacks                      ,0.8917748917748918,0.8728813559322034,0.9115044247787609,226.0
Kettlebell Swing                   ,0.7217194570135747,0.7120535714285714,0.731651376146789 ,436.0
Lateral Raise                      ,0.5758582502768549,0.5508474576271186,0.6032482598607889,431.0
Lawnmower (both)                   ,0.2553191489361702,0.2352941176470588,0.2790697674418605,43.0
Lawnmower (right)                  ,0.5118483412322274,0.5294117647058824,0.4954128440366973,327.0
Lunge (both legs)                  ,0.5641952983725136,0.5538461538461539,0.5749385749385749,814.0
Ball Slam                          ,0.5790645879732739,0.5652173913043478,0.593607305936073 ,438.0
Triceps Extension (standing - both),0.7839453458582408,0.7688442211055276,0.7996515679442509,574.0
Plank                              ,0.8214605067064082,0.8120212139068945,0.8311218335343787,1658.0
Power Boat pose                    ,0.6628075253256149,0.6599423631123921,0.6656976744186046,344.0
Pushups                            ,0.7047308319738989,0.6978998384491115,0.7116968698517299,607.0
Rowing machine                     ,0.8973305954825461,0.8886629384850026,0.9061689994815968,1929.0
Running                            ,0.8813786929274843,0.8751111111111111,0.887736699729486 ,2218.0
Russian Twist                      ,0.6591093117408906,0.6575121163166397,0.6607142857142857,616.0
Seated Back Fly                    ,0.5366379310344828,0.5275423728813561,0.5460526315789473,456.0
Shoulder Press                     ,0.7452547452547452,0.7415506958250497,0.748995983935743 ,498.0
Squat                              ,0.741373300801673 ,0.7385416666666667,0.7442267319804059,2858.0
Triceps Kickback                   ,0.6034271725826194,0.594692400482509 ,0.6124223602484472,805.0
Triceps extension (lying)          ,0.7596253902185225,0.7479508196721312,0.7716701902748414,473.0
Dumbbell Curl                      ,0.6928895612708018,0.6897590361445783,0.6960486322188449,658.0
V-up                               ,0.756078431372549 ,0.7519500780031201,0.7602523659305994,634.0
Walk                               ,0.8166316894018888,0.8046006720082709,0.8290279627163781,3755.0
Walking lunge                      ,0.5871857258718572,0.5736925515055468,0.6013289036544851,602.0
Wall Ball                          ,0.7454545454545455,0.7522935779816514,0.7387387387387387,333.0
Wall Squat                         ,0.4209844559585492,0.4161331626120359,0.4259501965923984,763.0
accuracy                           ,0.8302154293025347,0.8302154293025347,0.8302154293025347,0.8302154293025347
macro avg                          ,0.6711215315190905,0.6623031487860884,0.6805805086961376,86757.0
weighted avg                       ,0.8311660000005053,0.8323126554019022,0.8302154293025347,86757.0
