Unnamed: 0                         ,f1-score            ,precision          ,recall              ,support
Noise                              ,0.8059199277790696  ,0.737556285966688  ,0.8882514084871039  ,232164.0
Band Pull-Down Row                 ,0.06019261637239165 ,0.08581235697940504,0.046353522867737945,1618.0
Bicep Curl                         ,0.4608756404285049  ,0.4349450549450549 ,0.4900941059930658  ,4038.0
Box Jump (on bench)                ,0.21276595744680848 ,0.2857142857142857 ,0.1694915254237288  ,236.0
Burpee                             ,0.11713147410358568 ,0.15572033898305085,0.09386973180076627 ,3132.0
Butterfly sit-up                   ,0.3859313314989831  ,0.4330201342281879 ,0.3480794130340958  ,9268.0
Chest Press                        ,0.12253991830672112 ,0.1877133105802048 ,0.09095920617420064 ,1814.0
Crunch                             ,0.2926592124453086  ,0.4109215017064846 ,0.22725556813892034 ,2649.0
Dip                                ,0.09345200254291164 ,0.13387978142076504,0.07177734375       ,2048.0
Dumbbell Deadlift Row              ,0.10526315789473684 ,0.16505706760316066,0.07727085902178381 ,2433.0
Dumbbell Row (both)                ,0.12124127976906425 ,0.1844802342606149 ,0.09029021855965604 ,2791.0
Dumbbell Row (right)               ,0.07107843137254903 ,0.11885245901639345,0.050699300699300696,572.0
Dumbbell Squat (hands at side)     ,0.119278053884384   ,0.2024866785079929 ,0.08453837597330367 ,2697.0
Elliptical machine                 ,0.6657003274816127  ,0.6342062193126022 ,0.7004858208112078  ,8851.0
Punches                            ,0.6445521816789997  ,0.6754010695187166 ,0.6163982430453879  ,2049.0
Jump Rope                          ,0.7097372488408038  ,0.7284263959390863 ,0.6919831223628692  ,4977.0
Jumping Jacks                      ,0.8346456692913385  ,0.803030303030303  ,0.8688524590163934  ,976.0
Kettlebell Swing                   ,0.5229183618117711  ,0.5373467112597548 ,0.5092445853143159  ,1893.0
Lateral Raise                      ,0.2802030456852792  ,0.3920454545454545 ,0.21800947867298576 ,1899.0
Lawnmower (both)                   ,0.026086956521739132,0.08571428571428573,0.015384615384615384,195.0
Lawnmower (right)                  ,0.228009828009828   ,0.38860971524288107,0.16133518776077885 ,1438.0
Lunge (both legs)                  ,0.054640250260688215,0.1065907241659886 ,0.03673583847448121 ,3566.0
Ball Slam                          ,0.2592728608152773  ,0.4363411619283066 ,0.18443051201671887 ,1914.0
Triceps Extension (standing - both),0.3436081242532855  ,0.4272133095662508 ,0.2873701039168665  ,2502.0
Plank                              ,0.7577844740995839  ,0.7944937565819167 ,0.7243176518996023  ,7291.0
Power Boat pose                    ,0.4117396852403233  ,0.5761904761904761 ,0.3203176704169424  ,1511.0
Pushups                            ,0.2309631870902673  ,0.34077380952380953,0.17467581998474446 ,2622.0
Rowing machine                     ,0.3921926560415642  ,0.4806401652039236 ,0.3312381404174573  ,8432.0
Running                            ,0.7821766308703317  ,0.8132429730029996 ,0.7533964594483327  ,9716.0
Russian Twist                      ,0.4464651057058423  ,0.5834818775995246 ,0.3615611192930781  ,2716.0
Seated Back Fly                    ,0.2042019904165131  ,0.38633193863319387,0.13877755511022044 ,1996.0
Shoulder Press                     ,0.04726270185112249 ,0.16901408450704225,0.027472527472527472,2184.0
Squat                              ,0.25816056462284953 ,0.4173649491888037 ,0.18687634709028494 ,12527.0
Triceps Kickback                   ,0.2607003891050584  ,0.4123076923076923 ,0.1906116642958748  ,3515.0
Triceps extension (lying)          ,0.4053973013493253  ,0.5386454183266932 ,0.325               ,2080.0
Dumbbell Curl                      ,0.45408058907752097 ,0.5589123867069486 ,0.38236307268343095 ,2903.0
V-up                               ,0.3607108549471662  ,0.5311173974540311 ,0.2730909090909091  ,2750.0
Walk                               ,0.4153829809837459  ,0.4969075658730831 ,0.35683864687271843 ,16436.0
Walking lunge                      ,0.055605923239649434,0.1411042944785276 ,0.034625517500940915,2657.0
Wall Ball                          ,0.30532073595226256 ,0.5602189781021898 ,0.2098427887901572  ,1463.0
Wall Squat                         ,0.4047706422018349  ,0.5217596972563859 ,0.3306354916067146  ,3336.0
accuracy                           ,0.6807492332600598  ,0.6807492332600598 ,0.6807492332600598  ,0.6807492332600598
macro avg                          ,0.3348931773485513  ,0.4164290805139795 ,0.2961171202115664  ,379855.0
weighted avg                       ,0.6466352127326885  ,0.6349223820573887 ,0.6807492332600598  ,379855.0
