Unnamed: 0                         ,f1-score            ,precision           ,recall               ,support
Noise                              ,0.3862176108306053  ,0.813557737260402   ,0.25321207711895233  ,68725.0
Band Pull-Down Row                 ,0.4175365344467641  ,0.4192872117400419  ,0.4158004158004158   ,481.0
Bicep Curl                         ,0.5335129673290671  ,0.4467005076142132  ,0.6622073578595318   ,1196.0
Box Jump (on bench)                ,0.12500000000000006 ,0.09090909090909093 ,0.2                  ,70.0
Burpee                             ,0.3482671174978867  ,0.2875087229588276  ,0.4415862808145766   ,933.0
Butterfly sit-up                   ,0.3892427459306441  ,0.31806615776081426 ,0.5014587892049599   ,2742.0
Chest Press                        ,0.4344048653344917  ,0.282326369282891   ,0.9416195856873822   ,531.0
Crunch                             ,0.4733727810650887  ,0.4904632152588556  ,0.457433290978399    ,787.0
Dip                                ,0.44307347167694894 ,0.3364565587734242  ,0.6486042692939245   ,609.0
Dumbbell Deadlift Row              ,0.3568253968253968  ,0.3301997649823737  ,0.388121546961326    ,724.0
Dumbbell Row (both)                ,0.005736137667304015,0.013392857142857142,0.0036496350364963507,822.0
Dumbbell Row (right)               ,0.2453703703703704  ,0.20152091254752846 ,0.3136094674556213   ,169.0
Dumbbell Squat (hands at side)     ,0.20956354300385108 ,0.12014719411223553 ,0.8193224592220828   ,797.0
Elliptical machine                 ,0.7078986587183309  ,0.6904069767441859  ,0.7262996941896025   ,2616.0
Punches                            ,0.8099742046431643  ,0.8425760286225402  ,0.7798013245033113   ,604.0
Jump Rope                          ,0.4910086004691165  ,0.3986457892509522  ,0.6390773405698779   ,1474.0
Jumping Jacks                      ,0.6708860759493671  ,0.53                ,0.913793103448276    ,290.0
Kettlebell Swing                   ,0.599594868332208   ,0.4831338411316649  ,0.7900355871886121   ,562.0
Lateral Raise                      ,0.3355623100303952  ,0.2541436464088398  ,0.4937388193202147   ,559.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                  ,57.0
Lawnmower (right)                  ,0.2001563721657545  ,0.15005861664712775 ,0.3004694835680751   ,426.0
Lunge (both legs)                  ,0.13661027768911588 ,0.10313253012048193 ,0.20226843100189035  ,1058.0
Ball Slam                          ,0.3017705927636643  ,0.2673942701227831  ,0.3462897526501767   ,566.0
Triceps Extension (standing - both),0.6558704453441295  ,0.5773930753564155  ,0.7590361445783133   ,747.0
Plank                              ,0.1262804366078925  ,0.06805676223573702 ,0.8740120874012087   ,2151.0
Power Boat pose                    ,0.18346437931856088 ,0.10258459898747667 ,0.8671171171171171   ,444.0
Pushups                            ,0.41523118766999095 ,0.3214035087719298  ,0.586427656850192    ,781.0
Rowing machine                     ,0.7065913370998116  ,0.6661931818181818  ,0.7522052927024859   ,2494.0
Running                            ,0.7415032679738562  ,0.6996608078939254  ,0.7886687521724018   ,2877.0
Russian Twist                      ,0.3196881091617934  ,0.2638777152051489  ,0.4054388133498146   ,809.0
Seated Back Fly                    ,0.18876941457586616 ,0.3185483870967742  ,0.13412563667232594  ,589.0
Shoulder Press                     ,0.36615384615384616 ,0.36391437308868496 ,0.3684210526315789   ,646.0
Squat                              ,0.01815060093205788 ,0.09919571045576407 ,0.009989200863930884 ,3704.0
Triceps Kickback                   ,0.4137931034482759  ,0.5753424657534246  ,0.3230769230769231   ,1040.0
Triceps extension (lying)          ,0.5234685759745427  ,0.5116640746500778  ,0.5358306188925082   ,614.0
Dumbbell Curl                      ,0.339754816112084   ,0.3415492957746479  ,0.33797909407665505  ,861.0
V-up                               ,0.6686674669867947  ,0.6522248243559718  ,0.6859605911330049   ,812.0
Walk                               ,0.5314047949276798  ,0.3915709558107845  ,0.826587220053421    ,4867.0
Walking lunge                      ,0.3661652001135396  ,0.2354014598540146  ,0.8237547892720306   ,783.0
Wall Ball                          ,0.623474178403756   ,0.5244865718799369  ,0.7685185185185185   ,432.0
Wall Squat                         ,0.07975693125712115 ,0.06382978723404255 ,0.1062753036437247   ,988.0
accuracy                           ,0.37364034970694704 ,0.37364034970694704 ,0.37364034970694704  ,0.37364034970694704
macro avg                          ,0.3875554535317349  ,0.35724208672231883 ,0.5168737445092648   ,112437.0
weighted avg                       ,0.3989498282945888  ,0.643717396526551   ,0.37364034970694704  ,112437.0
