Unnamed: 0                         ,f1-score           ,precision          ,recall              ,support
Noise                              ,0.5013572343149808 ,0.8498871331828443 ,0.3555499055644341  ,27532.0
Band Pull-Down Row                 ,0.410958904109589  ,0.4335260115606937 ,0.390625            ,192.0
Bicep Curl                         ,0.5321100917431194 ,0.4746317512274959 ,0.605427974947808   ,479.0
Box Jump (on bench)                ,0.14583333333333334,0.10294117647058824,0.25                ,28.0
Burpee                             ,0.4501160092807425 ,0.3967280163599182 ,0.5201072386058981  ,373.0
Butterfly sit-up                   ,0.4701388888888889 ,0.3801235261089276 ,0.6160145586897179  ,1099.0
Chest Press                        ,0.49612403100775204,0.3428571428571429 ,0.8971962616822429  ,214.0
Crunch                             ,0.4874213836477987 ,0.4828660436137072 ,0.492063492063492   ,315.0
Dip                                ,0.4072289156626507 ,0.2883959044368601 ,0.6926229508196722  ,244.0
Dumbbell Deadlift Row              ,0.2918918918918919 ,0.3056603773584905 ,0.2793103448275862  ,290.0
Dumbbell Row (both)                ,0.11128284389489954,0.11356466876971608,0.10909090909090907 ,330.0
Dumbbell Row (right)               ,0.17486338797814205,0.1391304347826087 ,0.2352941176470588  ,68.0
Dumbbell Squat (hands at side)     ,0.230989136649514  ,0.14116002795248078,0.6352201257861635  ,318.0
Elliptical machine                 ,0.7038901601830664 ,0.6757469244288224 ,0.7344794651384909  ,1047.0
Punches                            ,0.8160676532769556 ,0.8354978354978355 ,0.7975206611570248  ,242.0
Jump Rope                          ,0.5377833753148615 ,0.4300100704934542 ,0.7176470588235294  ,595.0
Jumping Jacks                      ,0.6644518272425249 ,0.5319148936170213 ,0.8849557522123894  ,113.0
Kettlebell Swing                   ,0.4811443433029908 ,0.3406998158379374 ,0.8185840707964602  ,226.0
Lateral Raise                      ,0.37482117310443497,0.2769556025369979 ,0.5796460176991151  ,226.0
Lawnmower (both)                   ,0.0                ,0.0                ,0.0                 ,23.0
Lawnmower (right)                  ,0.13554216867469882,0.09146341463414634,0.2616279069767442  ,172.0
Lunge (both legs)                  ,0.1889460154241645 ,0.12951541850220266,0.3491686460807601  ,421.0
Ball Slam                          ,0.4218455743879473 ,0.3684210526315789 ,0.4933920704845815  ,227.0
Triceps Extension (standing - both),0.698507462686567  ,0.6256684491978609 ,0.7905405405405406  ,296.0
Plank                              ,0.1545253863134658 ,0.08541793776693106,0.8092485549132948  ,865.0
Power Boat pose                    ,0.19838056680161945,0.1129032258064516 ,0.8166666666666667  ,180.0
Pushups                            ,0.31023784901758017,0.2297090352220521 ,0.4777070063694268  ,314.0
Rowing machine                     ,0.6475445458496306 ,0.5726364335126826 ,0.745               ,1000.0
Running                            ,0.7673267326732673 ,0.7322834645669292 ,0.8058925476603119  ,1154.0
Russian Twist                      ,0.3692307692307693 ,0.33249370277078083,0.4150943396226415  ,318.0
Seated Back Fly                    ,0.14147909967845654,0.30985915492957744,0.09166666666666666 ,240.0
Shoulder Press                     ,0.5540069686411149 ,0.4937888198757764 ,0.6309523809523809  ,252.0
Squat                              ,0.02503128911138924,0.18018018018018014,0.013449899125756556,1487.0
Triceps Kickback                   ,0.43934426229508206,0.6907216494845361 ,0.32211538461538464 ,416.0
Triceps extension (lying)          ,0.6707070707070708 ,0.6666666666666666 ,0.6747967479674797  ,246.0
Dumbbell Curl                      ,0.4176394293125811 ,0.3788235294117647 ,0.4653179190751445  ,346.0
V-up                               ,0.684971098265896  ,0.6457765667574932 ,0.7292307692307692  ,325.0
Walk                               ,0.5893669115075201 ,0.446712619300106  ,0.8658787255909558  ,1946.0
Walking lunge                      ,0.3378995433789954 ,0.21264367816091956,0.8222222222222222  ,315.0
Wall Ball                          ,0.6430260047281324 ,0.5528455284552846 ,0.7683615819209041  ,177.0
Wall Squat                         ,0.19323671497584546,0.14167650531286896,0.3037974683544304  ,395.0
accuracy                           ,0.4468543266882742 ,0.4468543266882742 ,0.4468543266882742  ,0.4468543266882742
macro avg                          ,0.4116407328899984 ,0.37908547293269107,0.5430118036729039  ,45046.0
weighted avg                       ,0.4796508153061184 ,0.6770373954132958 ,0.4468543266882742  ,45046.0
