Unnamed: 0                         ,f1-score             ,precision            ,recall                ,support
Noise                              ,0.0004301009201087541,0.5833333333333334   ,0.00021512976935015443,715847.0
Band Pull-Down Row                 ,0.003551767004084532 ,0.015479876160990712 ,0.0020060180541624875 ,4985.0
Bicep Curl                         ,0.04914529914529915  ,0.0733652312599681   ,0.036947791164658635  ,12450.0
Box Jump (on bench)                ,0.0038526647597921905,0.002011949762224119 ,0.045267489711934165  ,729.0
Burpee                             ,0.059700134234295724 ,0.038276395250459484 ,0.13559322033898305   ,9676.0
Butterfly sit-up                   ,0.002190653212958045 ,0.02140077821011673  ,0.001154411250262366  ,28586.0
Chest Press                        ,0.030960411858689862 ,0.01930313897374596  ,0.07816421656507709   ,5578.0
Crunch                             ,0.004292736966004293 ,0.004937878305192736 ,0.003796693202694428  ,8165.0
Dip                                ,0.04541678205483246  ,0.032073011734028684 ,0.07777426493834967   ,6326.0
Dumbbell Deadlift Row              ,0.014788400020976457 ,0.012185636505055743 ,0.01880501467057882   ,7498.0
Dumbbell Row (both)                ,0.0046541934282788786,0.011748120300751879 ,0.002901915264074289  ,8615.0
Dumbbell Row (right)               ,0.007665772326561901 ,0.011848341232227487 ,0.0056657223796034    ,1765.0
Dumbbell Squat (hands at side)     ,0.07356289627631625  ,0.05185185185185185  ,0.12655176569844526   ,8297.0
Elliptical machine                 ,0.21813475032359156  ,0.28676338885903635  ,0.17601143359718555   ,27288.0
Punches                            ,0.2892148960180558   ,0.218994140625       ,0.4257237778832463    ,6321.0
Jump Rope                          ,0.22480643329048455  ,0.20763156441548405  ,0.24507886846564986   ,15342.0
Jumping Jacks                      ,0.13837181433250778  ,0.09110035766884073  ,0.28761208900697444   ,3011.0
Kettlebell Swing                   ,0.049177314091368704 ,0.03362876359293482  ,0.09146862711574627   ,5849.0
Lateral Raise                      ,0.027339998870247986 ,0.020403001433268696 ,0.04142416980486135   ,5842.0
Lawnmower (both)                   ,0.0017146853777948244,0.0008691077922374953,0.06333333333333334   ,600.0
Lawnmower (right)                  ,0.011624152405553765 ,0.00904977375565611  ,0.016245487364620937  ,4432.0
Lunge (both legs)                  ,0.042548611609385084 ,0.035115769526854974 ,0.05397287703649768   ,10987.0
Ball Slam                          ,0.0262320230105465   ,0.01694915254237288  ,0.05799559097846362   ,5897.0
Triceps Extension (standing - both),0.024732461355529128 ,0.019554753309265944 ,0.033639539397075945  ,7729.0
Plank                              ,0.10478668902240232  ,0.05605872789450407  ,0.8013088772148518    ,22462.0
Power Boat pose                    ,0.03650367397527075  ,0.01959945495452673  ,0.26545064377682404   ,4660.0
Pushups                            ,0.021833842455806496 ,0.01838266295640442  ,0.02688039457459926   ,8110.0
Rowing machine                     ,0.04581710756009131  ,0.07589643206690988  ,0.03281274042160332   ,25996.0
Running                            ,0.2573486154782433   ,0.3280070327851898   ,0.21173682277931705   ,29957.0
Russian Twist                      ,0.015781264336177634 ,0.012810963801579024 ,0.020544672718585764  ,8372.0
Seated Back Fly                    ,0.014759535655058043 ,0.015071972904318375 ,0.01445978878960195   ,6155.0
Shoulder Press                     ,0.03863166268894193  ,0.024573903890530747 ,0.0902736466389054    ,6724.0
Squat                              ,0.0019797456788243355,0.049180327868852465 ,0.0010102056675128216 ,38606.0
Triceps Kickback                   ,0.004887078859681599 ,0.012387387387387387 ,0.003043999631030348  ,10841.0
Triceps extension (lying)          ,0.028332911712623324 ,0.016019943194589183 ,0.1224426050288927    ,6403.0
Dumbbell Curl                      ,0.035216620217887004 ,0.040696823305518964 ,0.031037177626437425  ,8957.0
V-up                               ,0.02550827124636949  ,0.014478211009174312 ,0.1071049840933192    ,8487.0
Walk                               ,0.2194461591777944   ,0.1512288322175701   ,0.3997829732662523    ,50685.0
Walking lunge                      ,0.03418961374976899  ,0.022862086010874937 ,0.06776556776556776   ,8190.0
Wall Ball                          ,0.017169044084425225 ,0.012112932604735884 ,0.029470418790161757  ,4513.0
Wall Squat                         ,0.06504665794029474  ,0.03648485422636952  ,0.2995333462959362    ,10286.0
accuracy                           ,0.061459043953351174 ,0.061459043953351174 ,0.061459043953351174  ,0.061459043953351174
macro avg                          ,0.056618230408120127 ,0.06643238696292524  ,0.11102459297734704   ,1171219.0
weighted avg                       ,0.034908858623975636 ,0.3917097935312748   ,0.061459043953351174  ,1171219.0
