Unnamed: 0                         ,f1-score           ,precision           ,recall             ,support
Noise                              ,0.8379638355888969 ,0.8087268670110844  ,0.8693940342094284 ,76704.0
Band Pull-Down Row                 ,0.21822033898305088,0.25183374083129584 ,0.1925233644859813 ,535.0
Bicep Curl                         ,0.43647700701480896,0.4552845528455284  ,0.41916167664670656,1336.0
Box Jump (on bench)                ,0.02197802197802198,0.019230769230769232,0.02564102564102564,78.0
Burpee                             ,0.3362749651648862 ,0.32292595896520965 ,0.3507751937984496 ,1032.0
Butterfly sit-up                   ,0.45433789954337894,0.4544861337683523  ,0.4541897619823932 ,3067.0
Chest Press                        ,0.42652329749103945,0.4594594594594595  ,0.3979933110367893 ,598.0
Crunch                             ,0.32524590163934425,0.382716049382716   ,0.28278221208665905,877.0
Dip                                ,0.476115896632733  ,0.509212730318258   ,0.4470588235294118 ,680.0
Dumbbell Deadlift Row              ,0.31309904153354634,0.3211009174311927  ,0.3054862842892768 ,802.0
Dumbbell Row (both)                ,0.19488817891373802,0.19162303664921465 ,0.19826652221018415,923.0
Dumbbell Row (right)               ,0.08152173913043477,0.08333333333333333 ,0.0797872340425532 ,188.0
Dumbbell Squat (hands at side)     ,0.4132231404958678 ,0.4737609329446064  ,0.3664036076662909 ,887.0
Elliptical machine                 ,0.5795591182364729 ,0.6995645863570392  ,0.4946972288744441 ,2923.0
Punches                            ,0.7034482758620689 ,0.7308917197452229  ,0.6779911373707533 ,677.0
Jump Rope                          ,0.5076778439360702 ,0.5229180116204003  ,0.4933008526187576 ,1642.0
Jumping Jacks                      ,0.6233333333333333 ,0.68                ,0.5753846153846154 ,325.0
Kettlebell Swing                   ,0.5949055053410024 ,0.6146010186757216  ,0.5764331210191083 ,628.0
Lateral Raise                      ,0.2453333333333333 ,0.27710843373493976 ,0.22009569377990432,627.0
Lawnmower (both)                   ,0.0                ,0.0                 ,0.0                ,64.0
Lawnmower (right)                  ,0.20734341252699784,0.21286031042128606 ,0.20210526315789476,475.0
Lunge (both legs)                  ,0.2695688572624529 ,0.2654575432811212  ,0.27380952380952384,1176.0
Ball Slam                          ,0.2727272727272727 ,0.24146341463414636 ,0.31329113924050633,632.0
Triceps Extension (standing - both),0.6307311028500621 ,0.6459390862944162  ,0.6162227602905569 ,826.0
Plank                              ,0.6338310675284153 ,0.6856316297010607  ,0.5893079154579361 ,2413.0
Power Boat pose                    ,0.4695121951219512 ,0.4733606557377049  ,0.4657258064516129 ,496.0
Pushups                            ,0.5812463599301106 ,0.5870588235294117  ,0.5755478662053056 ,867.0
Rowing machine                     ,0.6367676767676766 ,0.7286176606564956  ,0.5654825977753857 ,2787.0
Running                            ,0.6881146857809635 ,0.7392550143266475  ,0.6435921421889617 ,3207.0
Russian Twist                      ,0.2796092796092796 ,0.310719131614654   ,0.2541620421753607 ,901.0
Seated Back Fly                    ,0.3357086302454473 ,0.3504132231404959  ,0.3221884498480243 ,658.0
Shoulder Press                     ,0.548268238761975  ,0.5821596244131455  ,0.5181058495821727 ,718.0
Squat                              ,0.5236633410079303 ,0.5548929249119002  ,0.49576168563816897,4129.0
Triceps Kickback                   ,0.4114182147711826 ,0.4344497607655503  ,0.3907056798623064 ,1162.0
Triceps extension (lying)          ,0.4786585365853658 ,0.5024              ,0.4570596797671033 ,687.0
Dumbbell Curl                      ,0.470770822555613  ,0.4666666666666667  ,0.4749478079331941 ,958.0
V-up                               ,0.48199445983379496,0.4871220604703248  ,0.4769736842105263 ,912.0
Walk                               ,0.5148857854281693 ,0.6251314405888538  ,0.4376955641450396 ,5433.0
Walking lunge                      ,0.32832230907997595,0.34513274336283184 ,0.3130733944954128 ,872.0
Wall Ball                          ,0.5497185741088181 ,0.5025728987993139  ,0.6066252587991718 ,483.0
Wall Squat                         ,0.2103321033210332 ,0.21388367729831145 ,0.20689655172413796,1102.0
accuracy                           ,0.7066309657574091 ,0.7066309657574091  ,0.7066309657574091 ,0.7066309657574091
macro avg                          ,0.4222760878038174 ,0.4442430864126508  ,0.4055279600836839 ,125487.0
weighted avg                       ,0.6996084541647694 ,0.6976497552978301  ,0.7066309657574091 ,125487.0
