Unnamed: 0                         ,f1-score            ,precision          ,recall             ,support
Noise                              ,0.8022129345541515  ,0.7442955126193571 ,0.8699046421460757 ,38172.0
Band Pull-Down Row                 ,0.017057569296375266,0.0198019801980198 ,0.0149812734082397 ,267.0
Bicep Curl                         ,0.3014804845222072  ,0.2741738066095471 ,0.33482810164424515,669.0
Box Jump (on bench)                ,0.0                 ,0.0                ,0.0                ,39.0
Burpee                             ,0.149568552253116   ,0.1491395793499044 ,0.15               ,520.0
Butterfly sit-up                   ,0.21415991546319127 ,0.22995461422087746,0.2003955174686882 ,1517.0
Chest Press                        ,0.184971098265896   ,0.2152466367713005 ,0.16216216216216214,296.0
Crunch                             ,0.18475073313782994 ,0.25609756097560976,0.1444954128440367 ,436.0
Dip                                ,0.09720176730486008 ,0.09763313609467457,0.0967741935483871 ,341.0
Dumbbell Deadlift Row              ,0.06068965517241379 ,0.06811145510835913,0.05472636815920398,402.0
Dumbbell Row (both)                ,0.10471204188481677 ,0.13114754098360654,0.08714596949891068,459.0
Dumbbell Row (right)               ,0.0                 ,0.0                ,0.0                ,94.0
Dumbbell Squat (hands at side)     ,0.2155059132720105  ,0.25625            ,0.18594104308390025,441.0
Elliptical machine                 ,0.4161585365853659  ,0.466268146883006  ,0.3757742601514109 ,1453.0
Punches                            ,0.3031203566121842  ,0.3026706231454006 ,0.3035714285714285 ,336.0
Jump Rope                          ,0.4745071380013596  ,0.5377503852080123 ,0.4245742092457421 ,822.0
Jumping Jacks                      ,0.451827242524917   ,0.4927536231884058 ,0.4171779141104294 ,163.0
Kettlebell Swing                   ,0.2725779967159277  ,0.2766666666666667 ,0.2686084142394822 ,309.0
Lateral Raise                      ,0.11560693641618495 ,0.14634146341463414,0.09554140127388536,314.0
Lawnmower (both)                   ,0.0                 ,0.0                ,0.0                ,33.0
Lawnmower (right)                  ,0.05830903790087464 ,0.09345794392523364,0.0423728813559322 ,236.0
Lunge (both legs)                  ,0.14211076280041798 ,0.18181818181818185,0.11663807890222985,583.0
Ball Slam                          ,0.19444444444444445 ,0.2578947368421053 ,0.15605095541401273,314.0
Triceps Extension (standing - both),0.18953323903818955 ,0.2255892255892256 ,0.16341463414634147,410.0
Plank                              ,0.5650224215246636  ,0.6098741529525653 ,0.5263157894736842 ,1197.0
Power Boat pose                    ,0.4872389791183295  ,0.5801104972375689 ,0.42               ,250.0
Pushups                            ,0.15675675675675674 ,0.19141914191419146,0.13272311212814644,437.0
Rowing machine                     ,0.2677935943060498  ,0.3491879350348028 ,0.2171717171717172 ,1386.0
Running                            ,0.5142055419151175  ,0.5845295055821371 ,0.4589855979962429 ,1597.0
Russian Twist                      ,0.20231213872832368 ,0.2834008097165992 ,0.15730337078651685,445.0
Seated Back Fly                    ,0.08842105263157894 ,0.14482758620689656,0.06363636363636363,330.0
Shoulder Press                     ,0.11940298507462688 ,0.2456140350877193 ,0.07887323943661972,355.0
Squat                              ,0.20560747663551399 ,0.27171314741035857,0.16537342386032974,2062.0
Triceps Kickback                   ,0.1437632135306554  ,0.185792349726776  ,0.11724137931034485,580.0
Triceps extension (lying)          ,0.32857142857142857 ,0.4259259259259259 ,0.26744186046511625,344.0
Dumbbell Curl                      ,0.32402234636871513 ,0.34688995215310997,0.3039832285115304 ,477.0
V-up                               ,0.25                ,0.3261648745519713 ,0.2026726057906459 ,449.0
Walk                               ,0.5090197783090632  ,0.6169652265542677 ,0.4332223455419904 ,2703.0
Walking lunge                      ,0.13559322033898305 ,0.1566265060240964 ,0.11954022988505747,435.0
Wall Ball                          ,0.10869565217391304 ,0.15625            ,0.08333333333333333,240.0
Wall Squat                         ,0.15916955017301038 ,0.21904761904761905,0.125              ,552.0
accuracy                           ,0.6318898583206596  ,0.6318898583206596 ,0.6318898583206596 ,0.6318898583206596
macro avg                          ,0.2321000607883772  ,0.2711561484082617 ,0.2082413770415216 ,62465.0
weighted avg                       ,0.6043324300881611  ,0.5895787358419794 ,0.6318898583206596 ,62465.0
