Unnamed: 0                         ,f1-score            ,precision          ,recall              ,support
Noise                              ,0.8029442567816736  ,0.7445900473285366 ,0.8712227912932138  ,31240.0
Band Pull-Down Row                 ,0.042105263157894736,0.049079754601227  ,0.036866359447004615,217.0
Bicep Curl                         ,0.31385642737896496 ,0.2879019908116386 ,0.344954128440367   ,545.0
Box Jump (on bench)                ,0.0                 ,0.0                ,0.0                 ,32.0
Burpee                             ,0.12545235223160436 ,0.12652068126520682,0.12440191387559807 ,418.0
Butterfly sit-up                   ,0.18026905829596407 ,0.20489296636085627,0.16092874299439552 ,1249.0
Chest Press                        ,0.15196078431372545 ,0.18562874251497005,0.12863070539419086 ,241.0
Crunch                             ,0.15555555555555553 ,0.22702702702702704,0.11830985915492954 ,355.0
Dip                                ,0.1213307240704501  ,0.13191489361702127,0.11231884057971014 ,276.0
Dumbbell Deadlift Row              ,0.08293460925039872 ,0.08666666666666667,0.07951070336391437 ,327.0
Dumbbell Row (both)                ,0.1342062193126023  ,0.1722689075630252 ,0.1099195710455764  ,373.0
Dumbbell Row (right)               ,0.0                 ,0.0                ,0.0                 ,78.0
Dumbbell Squat (hands at side)     ,0.2360248447204969  ,0.2676056338028169 ,0.2111111111111111  ,360.0
Elliptical machine                 ,0.3874827427519558  ,0.42959183673469387,0.3528918692372171  ,1193.0
Punches                            ,0.3346153846153846  ,0.35080645161290325,0.31985294117647056 ,272.0
Jump Rope                          ,0.4935511607910577  ,0.5809716599190283 ,0.4289985052316891  ,669.0
Jumping Jacks                      ,0.4596774193548388  ,0.4871794871794872 ,0.4351145038167939  ,131.0
Kettlebell Swing                   ,0.2535787321063395  ,0.2672413793103448 ,0.24124513618677046 ,257.0
Lateral Raise                      ,0.0871559633027523  ,0.10497237569060773,0.07450980392156863 ,255.0
Lawnmower (both)                   ,0.0                 ,0.0                ,0.0                 ,25.0
Lawnmower (right)                  ,0.04363636363636363 ,0.07317073170731707,0.031088082901554407,193.0
Lunge (both legs)                  ,0.1215323645970938  ,0.16727272727272727,0.0954356846473029  ,482.0
Ball Slam                          ,0.1793103448275862  ,0.22033898305084745,0.1511627906976744  ,258.0
Triceps Extension (standing - both),0.2431118314424635  ,0.2669039145907473 ,0.22321428571428573 ,336.0
Plank                              ,0.5693593314763231  ,0.6262254901960784 ,0.5219611848825332  ,979.0
Power Boat pose                    ,0.478021978021978   ,0.54375            ,0.4264705882352941  ,204.0
Pushups                            ,0.15894039735099338 ,0.19047619047619047,0.13636363636363635 ,352.0
Rowing machine                     ,0.2695697252462416  ,0.3278688524590164 ,0.2288732394366197  ,1136.0
Running                            ,0.5446772124839675  ,0.6160541586073501 ,0.4881226053639847  ,1305.0
Russian Twist                      ,0.18827708703374774 ,0.2676767676767677 ,0.14520547945205478 ,365.0
Seated Back Fly                    ,0.05945945945945945 ,0.10784313725490197,0.04104477611940298 ,268.0
Shoulder Press                     ,0.061281337047353765,0.1746031746031746 ,0.037162162162162164,296.0
Squat                              ,0.2161185399349476  ,0.2778810408921933 ,0.17681845062093435 ,1691.0
Triceps Kickback                   ,0.1368421052631579  ,0.1824561403508772 ,0.10947368421052632 ,475.0
Triceps extension (lying)          ,0.3675213675213675  ,0.4526315789473685 ,0.30935251798561153 ,278.0
Dumbbell Curl                      ,0.3151862464183381  ,0.3583061889250814 ,0.2813299232736573  ,391.0
V-up                               ,0.3003194888178913  ,0.3671875          ,0.2540540540540541  ,370.0
Walk                               ,0.5600830521671425  ,0.6567255021302495 ,0.4882352941176471  ,2210.0
Walking lunge                      ,0.13287904599659284 ,0.1703056768558952 ,0.10893854748603353 ,358.0
Wall Ball                          ,0.1451104100946372  ,0.19658119658119655,0.115               ,200.0
Wall Squat                         ,0.20086083213773315 ,0.28               ,0.15659955257270694 ,447.0
accuracy                           ,0.6355685131195336  ,0.6355685131195336 ,0.6355685131195336  ,0.6355685131195336
macro avg                          ,0.23548292729187897 ,0.2738809623069277 ,0.21162668357483408 ,51107.0
weighted avg                       ,0.6076880178312424  ,0.5922097213927701 ,0.6355685131195336  ,51107.0
