Unnamed: 0                         ,f1-score           ,precision           ,recall              ,support
Noise                              ,0.8                ,0.7404476320019785  ,0.8699694900479442  ,27532.0
Band Pull-Down Row                 ,0.02373887240356083,0.027586206896551724,0.02083333333333333 ,192.0
Bicep Curl                         ,0.30382106244175217,0.27441077441077444 ,0.34029227557411273 ,479.0
Box Jump (on bench)                ,0.0                ,0.0                 ,0.0                 ,28.0
Burpee                             ,0.14824797843665766,0.14905149051490515 ,0.14745308310991956 ,373.0
Butterfly sit-up                   ,0.1873417721518988 ,0.21118721461187212 ,0.16833484986351227 ,1099.0
Chest Press                        ,0.1897018970189702 ,0.2258064516129032  ,0.16355140186915887 ,214.0
Crunch                             ,0.17991631799163174,0.2638036809815951  ,0.1365079365079365  ,315.0
Dip                                ,0.0915032679738562 ,0.09767441860465116 ,0.0860655737704918  ,244.0
Dumbbell Deadlift Row              ,0.08778625954198474,0.09829059829059827 ,0.07931034482758621 ,290.0
Dumbbell Row (both)                ,0.1233644859813084 ,0.16097560975609754 ,0.1                 ,330.0
Dumbbell Row (right)               ,0.0                ,0.0                 ,0.0                 ,68.0
Dumbbell Squat (hands at side)     ,0.19816513761467888,0.2378854625550661  ,0.16981132075471694 ,318.0
Elliptical machine                 ,0.3831775700934579 ,0.4197952218430034  ,0.3524355300859599  ,1047.0
Punches                            ,0.33333333333333337,0.33613445378151263 ,0.3305785123966942  ,242.0
Jump Rope                          ,0.5033881897386253 ,0.593607305936073   ,0.4369747899159664  ,595.0
Jumping Jacks                      ,0.45662100456620996,0.4716981132075472  ,0.4424778761061947  ,113.0
Kettlebell Swing                   ,0.25118483412322273,0.2704081632653061  ,0.2345132743362832  ,226.0
Lateral Raise                      ,0.07142857142857142,0.09420289855072464 ,0.057522123893805316,226.0
Lawnmower (both)                   ,0.0                ,0.0                 ,0.0                 ,23.0
Lawnmower (right)                  ,0.07003891050583658,0.10588235294117647 ,0.05232558139534884 ,172.0
Lunge (both legs)                  ,0.170767004341534  ,0.21851851851851853 ,0.14014251781472686 ,421.0
Ball Slam                          ,0.2                ,0.25874125874125875 ,0.16299559471365638 ,227.0
Triceps Extension (standing - both),0.20194174757281555,0.2374429223744292  ,0.17567567567567569 ,296.0
Plank                              ,0.5389447236180904 ,0.5900962861072903  ,0.4959537572254335  ,865.0
Power Boat pose                    ,0.4727272727272728 ,0.52                ,0.43333333333333335 ,180.0
Pushups                            ,0.15879017013232516,0.19534883720930232 ,0.1337579617834395  ,314.0
Rowing machine                     ,0.18511569731081925,0.24707846410684475 ,0.14800000000000002 ,1000.0
Running                            ,0.5247148288973383 ,0.5810526315789474  ,0.4783362218370884  ,1154.0
Russian Twist                      ,0.2125984251968504 ,0.2842105263157895  ,0.16981132075471694 ,318.0
Seated Back Fly                    ,0.07430340557275543,0.14457831325301204 ,0.05                ,240.0
Shoulder Press                     ,0.0835820895522388 ,0.1686746987951807  ,0.05555555555555555 ,252.0
Squat                              ,0.2187891440501044 ,0.28854625550660795 ,0.1761936785474109  ,1487.0
Triceps Kickback                   ,0.1632047477744807 ,0.2131782945736434  ,0.13221153846153846 ,416.0
Triceps extension (lying)          ,0.37866666666666665,0.5503875968992248  ,0.2886178861788618  ,246.0
Dumbbell Curl                      ,0.3144246353322528 ,0.3579335793357933  ,0.2803468208092485  ,346.0
V-up                               ,0.266173752310536  ,0.3333333333333333  ,0.22153846153846155 ,325.0
Walk                               ,0.5336959806588093 ,0.6478356566397653  ,0.4537512846865365  ,1946.0
Walking lunge                      ,0.14209591474245115,0.16129032258064516 ,0.12698412698412698 ,315.0
Wall Ball                          ,0.125              ,0.17894736842105266 ,0.09604519774011301 ,177.0
Wall Squat                         ,0.19769357495881384,0.2830188679245283  ,0.1518987341772152  ,395.0
accuracy                           ,0.6312658171646761 ,0.6312658171646761  ,0.6312658171646761  ,0.6312658171646761
macro avg                          ,0.2333168108966271 ,0.27412345809701233 ,0.20878309672210008 ,45046.0
weighted avg                       ,0.6025874134629343 ,0.5874619764696585  ,0.6312658171646761  ,45046.0
