Unnamed: 0                         ,f1-score            ,precision           ,recall               ,support
Noise                              ,0.3552437753745553  ,0.7776860154160767  ,0.2301988265971317   ,85904.0
Band Pull-Down Row                 ,0.3830155979202773  ,0.39676840215439857 ,0.3701842546063652   ,597.0
Bicep Curl                         ,0.4794410104810535  ,0.3994626063591581  ,0.5994623655913979   ,1488.0
Box Jump (on bench)                ,0.03773584905660377 ,0.02808988764044944 ,0.057471264367816084 ,87.0
Burpee                             ,0.3082460732984293  ,0.24907456372289796 ,0.40429184549356223  ,1165.0
Butterfly sit-up                   ,0.34578788582037595 ,0.28747829442407874 ,0.4337700145560408   ,3435.0
Chest Press                        ,0.429254955570745   ,0.27849223946784923 ,0.9359165424739196   ,671.0
Crunch                             ,0.3783475783475783  ,0.4278350515463917  ,0.3391215526046987   ,979.0
Dip                                ,0.4423407917383821  ,0.3280153158902361  ,0.678996036988111    ,757.0
Dumbbell Deadlift Row              ,0.3937499999999999  ,0.3702252693437806  ,0.42046718576195774  ,899.0
Dumbbell Row (both)                ,0.004694835680751174,0.012195121951219513,0.0029069767441860465,1032.0
Dumbbell Row (right)               ,0.16479400749063672 ,0.13580246913580246 ,0.20952380952380956  ,210.0
Dumbbell Squat (hands at side)     ,0.1643281807372176  ,0.09322719913653536 ,0.6923847695390781   ,998.0
Elliptical machine                 ,0.6451612903225806  ,0.6483482556344551  ,0.6420055029043106   ,3271.0
Punches                            ,0.7937584803256444  ,0.8136300417246175  ,0.7748344370860927   ,755.0
Jump Rope                          ,0.4543325526932085  ,0.3738612473721093  ,0.5789473684210527   ,1843.0
Jumping Jacks                      ,0.6626016260162602  ,0.5224358974358975  ,0.9055555555555556   ,360.0
Kettlebell Swing                   ,0.5748031496062992  ,0.4762348555452004  ,0.7248226950354609   ,705.0
Lateral Raise                      ,0.2899702085402185  ,0.2220532319391635  ,0.4177396280400572   ,699.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                  ,73.0
Lawnmower (right)                  ,0.09713282621416032 ,0.07033898305084746 ,0.15689981096408318  ,529.0
Lunge (both legs)                  ,0.12981351416807946 ,0.09544159544159543 ,0.2028766086298259   ,1321.0
Ball Slam                          ,0.20106445890005914 ,0.17329255861365953 ,0.23943661971830985  ,710.0
Triceps Extension (standing - both),0.6095921111609144  ,0.5210727969348659  ,0.734341252699784    ,926.0
Plank                              ,0.12130208333333332 ,0.0652362678916557  ,0.8629121896998888   ,2699.0
Power Boat pose                    ,0.1586183769282361  ,0.08747919363787683 ,0.8491921005385996   ,557.0
Pushups                            ,0.4251846094053634  ,0.3420888055034397  ,0.5616016427104723   ,974.0
Rowing machine                     ,0.6245235069885642  ,0.6192125984251968  ,0.6299263056712592   ,3121.0
Running                            ,0.7292282871739715  ,0.7049649077203015  ,0.7552213868003341   ,3591.0
Russian Twist                      ,0.32049036777583184 ,0.2859375           ,0.3645418326693227   ,1004.0
Seated Back Fly                    ,0.11704312114989734 ,0.2446351931330472  ,0.07692307692307693  ,741.0
Shoulder Press                     ,0.3250883392226149  ,0.3090705487122061  ,0.3428571428571429   ,805.0
Squat                              ,0.031445349498010984,0.12808641975308646 ,0.01792269488231484  ,4631.0
Triceps Kickback                   ,0.4284304047384009  ,0.5977961432506887  ,0.33384615384615385  ,1300.0
Triceps extension (lying)          ,0.4135723431498079  ,0.4088607594936709  ,0.4183937823834197   ,772.0
Dumbbell Curl                      ,0.25956166738289643 ,0.2416              ,0.2804085422469824   ,1077.0
V-up                               ,0.5613365155131266  ,0.5459610027855153  ,0.5776031434184676   ,1018.0
Walk                               ,0.5056418990845221  ,0.3738391311191563  ,0.7809930943768497   ,6082.0
Walking lunge                      ,0.3222518806115021  ,0.21166719795983424 ,0.6747967479674797   ,984.0
Wall Ball                          ,0.5545851528384279  ,0.4562874251497006  ,0.7068645640074211   ,539.0
Wall Squat                         ,0.0877989706327581  ,0.0701839303000968  ,0.11721907841552145  ,1237.0
accuracy                           ,0.3409702161569877  ,0.3409702161569877  ,0.3409702161569877   ,0.3409702161569877
macro avg                          ,0.34954423499734866 ,0.3266821688955307  ,0.4659360586174954   ,140546.0
weighted avg                       ,0.3673102499899023  ,0.6130844166940346  ,0.3409702161569877   ,140546.0
