Unnamed: 0                         ,f1-score            ,precision           ,recall             ,support
Noise                              ,0.4200679721637806  ,0.8187496057031102  ,0.28250506105923073,45939.0
Band Pull-Down Row                 ,0.3556231003039514  ,0.3461538461538461  ,0.365625           ,320.0
Bicep Curl                         ,0.4913978494623656  ,0.4295112781954887  ,0.5741206030150754 ,796.0
Box Jump (on bench)                ,0.012738853503184714,0.009174311926605505,0.02083333333333333,48.0
Burpee                             ,0.4005358338914936  ,0.3424971363115693  ,0.48225806451612896,620.0
Butterfly sit-up                   ,0.4588108108108108  ,0.38055954088952654 ,0.577572128470332  ,1837.0
Chest Press                        ,0.4247901872175598  ,0.27600671140939603 ,0.9215686274509804 ,357.0
Crunch                             ,0.4523364485981308  ,0.4432234432234432  ,0.4618320610687023 ,524.0
Dip                                ,0.450903377847604   ,0.3310265282583621  ,0.7068965517241379 ,406.0
Dumbbell Deadlift Row              ,0.3723723723723724  ,0.3583815028901734  ,0.3875             ,480.0
Dumbbell Row (both)                ,0.02985074626865672 ,0.04100946372239748 ,0.02346570397111913,554.0
Dumbbell Row (right)               ,0.17921146953405015 ,0.1488095238095238  ,0.22522522522522526,111.0
Dumbbell Squat (hands at side)     ,0.15769343924683732 ,0.09351011863224007 ,0.5028142589118199 ,533.0
Elliptical machine                 ,0.6647855530474039  ,0.655902004454343   ,0.6739130434782609 ,1748.0
Punches                            ,0.8009950248756219  ,0.8172588832487309  ,0.7853658536585366 ,410.0
Jump Rope                          ,0.4665686994856723  ,0.3651523864289822  ,0.6459816887080366 ,983.0
Jumping Jacks                      ,0.6616541353383459  ,0.5207100591715976  ,0.9072164948453608 ,194.0
Kettlebell Swing                   ,0.4788732394366197  ,0.3564875491480996  ,0.7292225201072386 ,373.0
Lateral Raise                      ,0.3483333333333333  ,0.25394896719319565 ,0.5543766578249337 ,377.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                ,38.0
Lawnmower (right)                  ,0.11307420494699645 ,0.07538280329799764 ,0.2261484098939929 ,283.0
Lunge (both legs)                  ,0.15775862068965515 ,0.1133828996282528  ,0.25920679886685555,706.0
Ball Slam                          ,0.32222222222222224 ,0.27938342967244706 ,0.3805774278215223 ,381.0
Triceps Extension (standing - both),0.6684164479440071  ,0.5913312693498453  ,0.7686116700201208 ,497.0
Plank                              ,0.13680929441768205 ,0.07450617283950617 ,0.8352941176470589 ,1445.0
Power Boat pose                    ,0.17879858657243816 ,0.09996048992493084 ,0.8461538461538461 ,299.0
Pushups                            ,0.3787661406025825  ,0.3017142857142857  ,0.5086705202312138 ,519.0
Rowing machine                     ,0.6486951534270146  ,0.6200657894736842  ,0.6800962116656645 ,1663.0
Running                            ,0.735844350212023   ,0.7074340527577938  ,0.7666320166320166 ,1924.0
Russian Twist                      ,0.3182156133828996  ,0.26452410383189123 ,0.3992537313432836 ,536.0
Seated Back Fly                    ,0.13036020583190394 ,0.2065217391304348  ,0.09523809523809523,399.0
Shoulder Press                     ,0.3723270440251572  ,0.4065934065934066  ,0.3433874709976798 ,431.0
Squat                              ,0.030135979419331133,0.1626984126984127  ,0.01660591332523289,2469.0
Triceps Kickback                   ,0.4270734032411821  ,0.6363636363636364  ,0.321377331420373  ,697.0
Triceps extension (lying)          ,0.5107398568019095  ,0.5023474178403756  ,0.5194174757281553 ,412.0
Dumbbell Curl                      ,0.3708301008533747  ,0.3347338935574229  ,0.4156521739130435 ,575.0
V-up                               ,0.6453287197231834  ,0.6124794745484401  ,0.6819012797074955 ,547.0
Walk                               ,0.5294654630287047  ,0.39509536784741145 ,0.8023363049492775 ,3253.0
Walking lunge                      ,0.29896907216494845 ,0.18887775551102204 ,0.7167300380228137 ,526.0
Wall Ball                          ,0.593342981186686   ,0.5112219451371571  ,0.7068965517241379 ,290.0
Wall Squat                         ,0.17498081350729086 ,0.11704312114989733 ,0.3465045592705167 ,658.0
accuracy                           ,0.3867851725697864  ,0.3867851725697864  ,0.3867851725697864 ,0.3867851725697864
macro avg                          ,0.3748706517302192  ,0.346091081161924   ,0.49914597126685   ,75158.0
weighted avg                       ,0.4176773856739944  ,0.647313076124971   ,0.3867851725697864 ,75158.0
