Unnamed: 0                         ,f1-score           ,precision           ,recall              ,support
Noise                              ,0.48301336130238504,0.8394357267395783  ,0.3390524967989757  ,31240.0
Band Pull-Down Row                 ,0.359338061465721  ,0.36893203883495146 ,0.35023041474654376 ,217.0
Bicep Curl                         ,0.4895920066611158 ,0.4481707317073171  ,0.5394495412844037  ,545.0
Box Jump (on bench)                ,0.0                ,0.0                 ,0.0                 ,32.0
Burpee                             ,0.4232698094282849 ,0.3644214162348877  ,0.5047846889952153  ,418.0
Butterfly sit-up                   ,0.4470875266849649 ,0.3610837438423645  ,0.5868694955964772  ,1249.0
Chest Press                        ,0.4455445544554456 ,0.2925877763328999  ,0.933609958506224   ,241.0
Crunch                             ,0.4350205198358413 ,0.4228723404255319  ,0.44788732394366204 ,355.0
Dip                                ,0.4211822660098522 ,0.31902985074626866 ,0.6195652173913043  ,276.0
Dumbbell Deadlift Row              ,0.3401759530791789 ,0.3267605633802817  ,0.3547400611620795  ,327.0
Dumbbell Row (both)                ,0.12206572769953053,0.10855949895615867 ,0.13941018766756033 ,373.0
Dumbbell Row (right)               ,0.12371134020618554,0.10344827586206896 ,0.15384615384615385 ,78.0
Dumbbell Squat (hands at side)     ,0.2476953907815631 ,0.14473067915690865 ,0.8583333333333333  ,360.0
Elliptical machine                 ,0.6677471636952999 ,0.6462745098039215  ,0.6906957250628667  ,1193.0
Punches                            ,0.8044280442804428 ,0.8074074074074075  ,0.8014705882352942  ,272.0
Jump Rope                          ,0.4922566371681415 ,0.3906935908691835  ,0.6651718983557549  ,669.0
Jumping Jacks                      ,0.6444444444444444 ,0.5065502183406113  ,0.8854961832061069  ,131.0
Kettlebell Swing                   ,0.4635294117647058 ,0.3322091062394604  ,0.7665369649805448  ,257.0
Lateral Raise                      ,0.3268292682926829 ,0.23716814159292035 ,0.5254901960784314  ,255.0
Lawnmower (both)                   ,0.0                ,0.0                 ,0.0                 ,25.0
Lawnmower (right)                  ,0.15408320493066255,0.10964912280701754 ,0.2590673575129533  ,193.0
Lunge (both legs)                  ,0.11584977721196688,0.08356290174471992 ,0.1887966804979253  ,482.0
Ball Slam                          ,0.3636363636363637 ,0.3089430894308943  ,0.4418604651162791  ,258.0
Triceps Extension (standing - both),0.7050938337801609 ,0.6414634146341464  ,0.7827380952380952  ,336.0
Plank                              ,0.15154421638212162,0.08362443103630783 ,0.8069458631256384  ,979.0
Power Boat pose                    ,0.1797631862217438 ,0.10096735187424426 ,0.8186274509803921  ,204.0
Pushups                            ,0.3155893536121673 ,0.2371428571428572  ,0.4715909090909091  ,352.0
Rowing machine                     ,0.6370967741935485 ,0.5877976190476191  ,0.6954225352112676  ,1136.0
Running                            ,0.7411204686927865 ,0.7096774193548387  ,0.7754789272030651  ,1305.0
Russian Twist                      ,0.34310532030401736,0.2841726618705036  ,0.4328767123287671  ,365.0
Seated Back Fly                    ,0.14444444444444446,0.2826086956521739  ,0.09701492537313433 ,268.0
Shoulder Press                     ,0.4157706093189964 ,0.4427480916030535  ,0.3918918918918919  ,296.0
Squat                              ,0.0250272034820457 ,0.1564625850340136  ,0.013601419278533413,1691.0
Triceps Kickback                   ,0.4535211267605633 ,0.6851063829787234  ,0.3389473684210526  ,475.0
Triceps extension (lying)          ,0.5888689407540394 ,0.5878136200716846  ,0.5899280575539568  ,278.0
Dumbbell Curl                      ,0.3825887743413517 ,0.34647302904564314 ,0.4271099744245525  ,391.0
V-up                               ,0.6530089628681178 ,0.6204379562043796  ,0.6891891891891891  ,370.0
Walk                               ,0.5618320610687023 ,0.423963133640553   ,0.8325791855203621  ,2210.0
Walking lunge                      ,0.32971014492753625,0.2103235747303544  ,0.7625698324022346  ,358.0
Wall Ball                          ,0.5904365904365906 ,0.505338078291815   ,0.71                ,200.0
Wall Squat                         ,0.0768025078369906 ,0.059107358262967424,0.10961968680089486 ,447.0
accuracy                           ,0.4246189367405639 ,0.4246189367405639  ,0.4246189367405639  ,0.4246189367405639
macro avg                          ,0.3820933012795293 ,0.3533589997788105  ,0.5072804135695616  ,51107.0
weighted avg                       ,0.4588385797036013 ,0.6620855723383927  ,0.4246189367405639  ,51107.0
