Unnamed: 0                         ,f1-score             ,precision            ,recall               ,support
Noise                              ,0.00909059840743652  ,0.5530145530145529   ,0.004582967212832309 ,232164.0
Band Pull-Down Row                 ,0.01972872996300863  ,0.01379650160137965  ,0.03461063040791101  ,1618.0
Bicep Curl                         ,0.14918941104042682  ,0.12736510161177295  ,0.18003962357602776  ,4038.0
Box Jump (on bench)                ,0.004478726051256532 ,0.0023790642347343376,0.03813559322033898  ,236.0
Burpee                             ,0.0783118762855184   ,0.05142571285642821  ,0.1641123882503193   ,3132.0
Butterfly sit-up                   ,0.005598320503848846 ,0.014787430683918669 ,0.0034527406128614588,9268.0
Chest Press                        ,0.03784096284227677  ,0.020914425143786674 ,0.19845644983461966  ,1814.0
Crunch                             ,0.030333807299072382 ,0.018481848184818482 ,0.0845602114005285   ,2649.0
Dip                                ,0.06261638733705772  ,0.041106356968215164 ,0.13134765625        ,2048.0
Dumbbell Deadlift Row              ,0.029874213836477988 ,0.024191494779730077 ,0.03904644471845458  ,2433.0
Dumbbell Row (both)                ,0.018718274111675128 ,0.016794762311414746 ,0.021139376567538518 ,2791.0
Dumbbell Row (right)               ,0.023170089520800418 ,0.013639181649101054 ,0.07692307692307693  ,572.0
Dumbbell Squat (hands at side)     ,0.10650191232715504  ,0.06329556581340047  ,0.335558027437894    ,2697.0
Elliptical machine                 ,0.13097137100159514  ,0.2549019607843137   ,0.08812563552140999  ,8851.0
Punches                            ,0.3311707460925981   ,0.2372702302979083   ,0.5480722303562714   ,2049.0
Jump Rope                          ,0.3408365989246332   ,0.31187458305537025  ,0.3757283504118947   ,4977.0
Jumping Jacks                      ,0.4896115627822946   ,0.3466950959488273   ,0.8329918032786885   ,976.0
Kettlebell Swing                   ,0.11160714285714284  ,0.0683628581619308   ,0.3037506603275225   ,1893.0
Lateral Raise                      ,0.05213956550362081  ,0.03476123595505618  ,0.10426540284360188  ,1899.0
Lawnmower (both)                   ,0.0008353055826256441,0.0004293073840870063,0.015384615384615384 ,195.0
Lawnmower (right)                  ,0.016129032258064516 ,0.01189689358889623  ,0.02503477051460361  ,1438.0
Lunge (both legs)                  ,0.046935608999224214 ,0.035873109991105843 ,0.06786315199102635  ,3566.0
Ball Slam                          ,0.04190751445086705  ,0.02896524170994806  ,0.07575757575757576  ,1914.0
Triceps Extension (standing - both),0.05753273096072285  ,0.05340636768230058  ,0.06235011990407674  ,2502.0
Plank                              ,0.1070922606034106   ,0.05719276286907219  ,0.8398024962282266   ,7291.0
Power Boat pose                    ,0.04605903340901719  ,0.02507800082415965  ,0.2819324950363997   ,1511.0
Pushups                            ,0.05768164170826401  ,0.04066948224620679  ,0.09916094584286804  ,2622.0
Rowing machine                     ,0.05203364842598213  ,0.0968054211035818   ,0.03557874762808349  ,8432.0
Running                            ,0.4285946033634348   ,0.4515210208499487   ,0.4078839028406752   ,9716.0
Russian Twist                      ,0.05717574827321568  ,0.03866113129216399  ,0.109720176730486    ,2716.0
Seated Back Fly                    ,0.01319696469811943  ,0.01932367149758454  ,0.01002004008016032  ,1996.0
Shoulder Press                     ,0.026274557068820054 ,0.017830852282021917 ,0.04990842490842491  ,2184.0
Squat                              ,0.005375973533668758 ,0.019677093844601413 ,0.0031132753252973576,12527.0
Triceps Kickback                   ,0.011150113565971505 ,0.02033132530120482  ,0.007681365576102419 ,3515.0
Triceps extension (lying)          ,0.06969419892309256  ,0.04418394950405771  ,0.16490384615384615  ,2080.0
Dumbbell Curl                      ,0.0710185556000534   ,0.05797733217088056  ,0.09162934894936273  ,2903.0
V-up                               ,0.05476536042573778  ,0.037310481212920237 ,0.10290909090909092  ,2750.0
Walk                               ,0.24939738078079565  ,0.21079605124973744  ,0.3053054271112193   ,16436.0
Walking lunge                      ,0.05186631944444444  ,0.036438481475834734 ,0.0899510726383139   ,2657.0
Wall Ball                          ,0.04900995514713928  ,0.029174264131284187 ,0.15311004784688995  ,1463.0
Wall Squat                         ,0.028129395218002808 ,0.01667222407469156  ,0.08992805755395683  ,3336.0
accuracy                           ,0.07512603493438286  ,0.07512603493438286  ,0.07512603493438286  ,0.07512603493438286
macro avg                          ,0.08716210241776999  ,0.08695786413031585  ,0.1622884942454413   ,379855.0
weighted avg                       ,0.05090692249246743  ,0.3820694401152199   ,0.07512603493438286  ,379855.0
