Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.03612535129715149 ,0.6137236084452975  ,0.01861040378319389 ,68725.0
Band Pull-Down Row                 ,0.015479876160990712,0.00951022349025202 ,0.04158004158004158 ,481.0
Bicep Curl                         ,0.3067164179104478  ,0.2769541778975741  ,0.3436454849498328  ,1196.0
Box Jump (on bench)                ,0.008748906386701661,0.004659832246039142,0.07142857142857142 ,70.0
Burpee                             ,0.0754226267880364  ,0.04979395604395604 ,0.15541264737406216 ,933.0
Butterfly sit-up                   ,0.04495480087955045 ,0.06809770540340489 ,0.03355215171407731 ,2742.0
Chest Press                        ,0.05968876572159454 ,0.03365384615384615 ,0.26365348399246696 ,531.0
Crunch                             ,0.08062234794908063 ,0.04682686383240912 ,0.289707750952986   ,787.0
Dip                                ,0.09680258140217073 ,0.05892857142857143 ,0.270935960591133   ,609.0
Dumbbell Deadlift Row              ,0.04438280166435506 ,0.03335649756775538 ,0.06629834254143646 ,724.0
Dumbbell Row (both)                ,0.03158344003414427 ,0.02432610124917817 ,0.045012165450121655,822.0
Dumbbell Row (right)               ,0.017878911011783828,0.009598603839441536,0.1301775147928994  ,169.0
Dumbbell Squat (hands at side)     ,0.16265750286368846 ,0.09592434136455752 ,0.534504391468005   ,797.0
Elliptical machine                 ,0.14435237679895332 ,0.16802030456852793 ,0.1265290519877676  ,2616.0
Punches                            ,0.3512690355329949  ,0.25329428989751096 ,0.5728476821192053  ,604.0
Jump Rope                          ,0.3732094463801781  ,0.4346257889990983  ,0.32700135685210313 ,1474.0
Jumping Jacks                      ,0.5480043149946062  ,0.3987441130298273  ,0.8758620689655172  ,290.0
Kettlebell Swing                   ,0.29446195407474113 ,0.19710669077757687 ,0.5818505338078291  ,562.0
Lateral Raise                      ,0.09917355371900828 ,0.06448146157979581 ,0.2146690518783542  ,559.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                 ,57.0
Lawnmower (right)                  ,0.029486099410278008,0.017967145790554414,0.08215962441314555 ,426.0
Lunge (both legs)                  ,0.06760772659732542 ,0.05569155446756426 ,0.08601134215500945 ,1058.0
Ball Slam                          ,0.1494701617401004  ,0.10920945395273024 ,0.23674911660777384 ,566.0
Triceps Extension (standing - both),0.1375              ,0.1194471865745311  ,0.16198125836680052 ,747.0
Plank                              ,0.11692822227939285 ,0.06280877526343065 ,0.8451882845188284  ,2151.0
Power Boat pose                    ,0.06495726495726495 ,0.037181996086105666,0.25675675675675674 ,444.0
Pushups                            ,0.1100607697501688  ,0.07473635946813388 ,0.2087067861715749  ,781.0
Rowing machine                     ,0.16294088425235964 ,0.21409921671018275 ,0.13151563753007214 ,2494.0
Running                            ,0.4094835508178644  ,0.4344773790951638  ,0.3872088981578033  ,2877.0
Russian Twist                      ,0.1673036093418259  ,0.12742561448900389 ,0.2435105067985167  ,809.0
Seated Back Fly                    ,0.026398491514770583,0.020958083832335328,0.035653650254668934,589.0
Shoulder Press                     ,0.03599832565927166 ,0.024670109007458405,0.06656346749226008 ,646.0
Squat                              ,0.009734810339039944,0.012866015971606031,0.00782937365010799 ,3704.0
Triceps Kickback                   ,0.046354418155480435,0.04655674102812803 ,0.04615384615384616 ,1040.0
Triceps extension (lying)          ,0.1534526854219949  ,0.1263157894736842  ,0.1954397394136808  ,614.0
Dumbbell Curl                      ,0.10714285714285714 ,0.09350649350649352 ,0.1254355400696864  ,861.0
V-up                               ,0.15243472124206067 ,0.10682492581602374 ,0.2660098522167488  ,812.0
Walk                               ,0.3134098923953341  ,0.2798772609819121  ,0.3560715019519211  ,4867.0
Walking lunge                      ,0.09486552567237162 ,0.0768621236133122  ,0.12388250319284802 ,783.0
Wall Ball                          ,0.12678288431061807 ,0.07648183556405354 ,0.3703703703703704  ,432.0
Wall Squat                         ,0.030684931506849318,0.0187207488299532  ,0.08502024291497975 ,988.0
accuracy                           ,0.10363136689879666 ,0.10363136689879666 ,0.10363136689879666 ,0.10363136689879666
macro avg                          ,0.1293788498555465  ,0.1214222387155361  ,0.2263779745216342  ,112437.0
weighted avg                       ,0.08352600423810201 ,0.4323631261189034  ,0.10363136689879666 ,112437.0
