Unnamed: 0                         ,f1-score             ,precision           ,recall              ,support
Noise                              ,0.05518132324444034  ,0.7057435090479937  ,0.028713188220230473,31240.0
Band Pull-Down Row                 ,0.014502307185234013 ,0.008461538461538461,0.05069124423963134 ,217.0
Bicep Curl                         ,0.3392               ,0.300709219858156   ,0.3889908256880734  ,545.0
Box Jump (on bench)                ,0.03896103896103896  ,0.02093023255813953 ,0.28125             ,32.0
Burpee                             ,0.072480181200453    ,0.04747774480712166 ,0.15311004784688995 ,418.0
Butterfly sit-up                   ,0.07113821138211382  ,0.09735744089012516 ,0.056044835868694964,1249.0
Chest Press                        ,0.079484425349087    ,0.04565083281924738 ,0.3070539419087137  ,241.0
Crunch                             ,0.07158043940467752  ,0.040940413457640865,0.28450704225352114 ,355.0
Dip                                ,0.105                ,0.0634441087613293  ,0.3043478260869565  ,276.0
Dumbbell Deadlift Row              ,0.023630504833512356 ,0.018211920529801324,0.03363914373088685 ,327.0
Dumbbell Row (both)                ,0.02627257799671593  ,0.01893491124260355 ,0.04289544235924933 ,373.0
Dumbbell Row (right)               ,0.01577287066246057  ,0.008403361344537815,0.1282051282051282  ,78.0
Dumbbell Squat (hands at side)     ,0.1887169246130804   ,0.11503347534996955 ,0.525               ,360.0
Elliptical machine                 ,0.13747572815533982  ,0.12807525325615052 ,0.14836546521374686 ,1193.0
Punches                            ,0.36768149882903983  ,0.2697594501718213  ,0.5772058823529411  ,272.0
Jump Rope                          ,0.3894449499545041   ,0.4976744186046512  ,0.31988041853512705 ,669.0
Jumping Jacks                      ,0.5607940446650125   ,0.41544117647058826 ,0.8625954198473282  ,131.0
Kettlebell Swing                   ,0.2964426877470356   ,0.1986754966887417  ,0.5836575875486382  ,257.0
Lateral Raise                      ,0.08805031446540881  ,0.05710955710955711 ,0.19215686274509805 ,255.0
Lawnmower (both)                   ,0.0026385224274406327,0.001364256480218281,0.04                ,25.0
Lawnmower (right)                  ,0.026101141924959215 ,0.015488867376573087,0.08290155440414508 ,193.0
Lunge (both legs)                  ,0.03242320819112628  ,0.02753623188405797 ,0.03941908713692946 ,482.0
Ball Slam                          ,0.195244055068836    ,0.14417744916820702 ,0.3023255813953488  ,258.0
Triceps Extension (standing - both),0.15819209039548024  ,0.15053763440860216 ,0.16666666666666666 ,336.0
Plank                              ,0.1225082104941572   ,0.06620439161300974 ,0.8192032686414709  ,979.0
Power Boat pose                    ,0.059135708870356324 ,0.03497757847533632 ,0.19117647058823528 ,204.0
Pushups                            ,0.11869436201780414  ,0.08032128514056225 ,0.2272727272727273  ,352.0
Rowing machine                     ,0.16093068347067374  ,0.1790722761596548  ,0.14612676056338028 ,1136.0
Running                            ,0.4267190569744598   ,0.4379032258064516  ,0.4160919540229885  ,1305.0
Russian Twist                      ,0.18375241779497095  ,0.14200298953662185 ,0.2602739726027397  ,365.0
Seated Back Fly                    ,0.05                 ,0.03594771241830065 ,0.08208955223880597 ,268.0
Shoulder Press                     ,0.022222222222222227 ,0.016556291390728478,0.03378378378378378 ,296.0
Squat                              ,0.0132890365448505   ,0.015163002274450341,0.011827321111768185,1691.0
Triceps Kickback                   ,0.0577478344562079   ,0.05319148936170213 ,0.06315789473684211 ,475.0
Triceps extension (lying)          ,0.23703703703703705  ,0.20151133501259447 ,0.28776978417266186 ,278.0
Dumbbell Curl                      ,0.1122565864833906   ,0.1016597510373444  ,0.12531969309462915 ,391.0
V-up                               ,0.2023529411764706   ,0.1425414364640884  ,0.34864864864864864 ,370.0
Walk                               ,0.3254437869822485   ,0.28846153846153844 ,0.3733031674208145  ,2210.0
Walking lunge                      ,0.13681592039800994  ,0.1233183856502242  ,0.15363128491620112 ,358.0
Wall Ball                          ,0.1544117647058824   ,0.0945945945945946  ,0.42                ,200.0
Wall Squat                         ,0.028683181225554112 ,0.017799352750809058,0.0738255033557047  ,447.0
accuracy                           ,0.11427006085272075  ,0.11427006085272075 ,0.11427006085272075 ,0.11427006085272075
macro avg                          ,0.14069292189051932  ,0.13239914968037522 ,0.2422713409615939  ,51107.0
weighted avg                       ,0.0990161291345558   ,0.4908534301629863  ,0.11427006085272075 ,51107.0
