Unnamed: 0                         ,f1-score           ,precision          ,recall             ,support
Noise                              ,0.8943860281220074 ,0.8993916973360538 ,0.8894357697820021 ,53028.0
Band Pull-Down Row                 ,0.5404663923182443 ,0.5441988950276243 ,0.5367847411444142 ,367.0
Bicep Curl                         ,0.6917771883289124 ,0.6812957157784744 ,0.7025862068965517 ,928.0
Box Jump (on bench)                ,0.3157894736842105 ,0.36585365853658536,0.2777777777777778 ,54.0
Burpee                             ,0.5109890109890108 ,0.5040650406504065 ,0.5181058495821727 ,718.0
Butterfly sit-up                   ,0.7387555348403635 ,0.7294063506672802 ,0.7483474976392823 ,2118.0
Chest Press                        ,0.6730538922155689 ,0.6658767772511849 ,0.6803874092009685 ,413.0
Crunch                             ,0.7159090909090908 ,0.7056             ,0.7265238879736409 ,607.0
Dip                                ,0.6350515463917527 ,0.6147704590818364 ,0.6567164179104478 ,469.0
Dumbbell Deadlift Row              ,0.5662100456621003 ,0.5730129390018485 ,0.5595667870036101 ,554.0
Dumbbell Row (both)                ,0.3993808049535604 ,0.39209726443769   ,0.4069400630914827 ,634.0
Dumbbell Row (right)               ,0.34456928838951306,0.3458646616541353 ,0.34328358208955223,134.0
Dumbbell Squat (hands at side)     ,0.7082990961380443 ,0.714759535655058  ,0.7019543973941368 ,614.0
Elliptical machine                 ,0.8608588957055215 ,0.8535279805352798 ,0.8683168316831683 ,2020.0
Punches                            ,0.8516949152542372 ,0.8427672955974843 ,0.860813704496788  ,467.0
Jump Rope                          ,0.8064798598949212 ,0.8022648083623694 ,0.8107394366197183 ,1136.0
Jumping Jacks                      ,0.8849557522123894 ,0.8849557522123894 ,0.8849557522123894 ,226.0
Kettlebell Swing                   ,0.7554038680318542 ,0.7494356659142212 ,0.7614678899082569 ,436.0
Lateral Raise                      ,0.5802752293577982 ,0.5736961451247166 ,0.5870069605568445 ,431.0
Lawnmower (both)                   ,0.3111111111111111 ,0.2978723404255319 ,0.32558139534883723,43.0
Lawnmower (right)                  ,0.5303030303030303 ,0.5255255255255256 ,0.5351681957186545 ,327.0
Lunge (both legs)                  ,0.5380116959064327 ,0.5133928571428571 ,0.5651105651105651 ,814.0
Ball Slam                          ,0.5856481481481481 ,0.5938967136150235 ,0.5776255707762558 ,438.0
Triceps Extension (standing - both),0.7847222222222222 ,0.7820069204152249 ,0.7874564459930313 ,574.0
Plank                              ,0.8162769511084117 ,0.8220183486238533 ,0.8106151990349819 ,1658.0
Power Boat pose                    ,0.6331938633193864 ,0.6085790884718498 ,0.6598837209302325 ,344.0
Pushups                            ,0.7309562398703403 ,0.7192982456140351 ,0.742998352553542  ,607.0
Rowing machine                     ,0.8764736032803689 ,0.8667004561581348 ,0.8864696734059098 ,1929.0
Running                            ,0.8566943260820811 ,0.8522980812137438 ,0.8611361587015329 ,2218.0
Russian Twist                      ,0.6542207792207793 ,0.6542207792207793 ,0.6542207792207793 ,616.0
Seated Back Fly                    ,0.56353591160221   ,0.5679287305122495 ,0.5592105263157895 ,456.0
Shoulder Press                     ,0.7392156862745097 ,0.7222222222222222 ,0.7570281124497992 ,498.0
Squat                              ,0.7547832192381956 ,0.7573089115885875 ,0.7522743177046886 ,2858.0
Triceps Kickback                   ,0.5778588807785888 ,0.5661501787842671 ,0.5900621118012422 ,805.0
Triceps extension (lying)          ,0.7671232876712328 ,0.7647058823529411 ,0.7695560253699789 ,473.0
Dumbbell Curl                      ,0.7522388059701492 ,0.7390029325513197 ,0.7659574468085106 ,658.0
V-up                               ,0.7345340642129992 ,0.7293934681181959 ,0.7397476340694006 ,634.0
Walk                               ,0.8078895463510848 ,0.7979220779220779 ,0.8181091877496671 ,3755.0
Walking lunge                      ,0.5716639209225699 ,0.5669934640522876 ,0.5764119601328903 ,602.0
Wall Ball                          ,0.7744807121661721 ,0.7653958944281525 ,0.7837837837837838 ,333.0
Wall Squat                         ,0.4229017566688354 ,0.4198966408268734 ,0.4259501965923984 ,763.0
accuracy                           ,0.8289936258745692 ,0.8289936258745692 ,0.8289936258745692 ,0.8289936258745692
macro avg                          ,0.6648327725811698 ,0.6603797659173262 ,0.6699041054276994 ,86757.0
weighted avg                       ,0.8296368987068284 ,0.8304240080036345 ,0.8289936258745692 ,86757.0
