Unnamed: 0                         ,f1-score          ,precision          ,recall             ,support
Noise                              ,0.8927926448858972,0.8994190493911389 ,0.8862631654002078 ,49087.0
Band Pull-Down Row                 ,0.5746478873239437,0.5528455284552846 ,0.5982404692082112 ,341.0
Bicep Curl                         ,0.6930126002290949,0.6782511210762332 ,0.7084309133489461 ,854.0
Box Jump (on bench)                ,0.297872340425532 ,0.3181818181818182 ,0.28               ,50.0
Burpee                             ,0.534418948926721 ,0.5262390670553936 ,0.5428571428571428 ,665.0
Butterfly sit-up                   ,0.7670744138634046,0.7686414708886619 ,0.7655137334689726 ,1966.0
Chest Press                        ,0.6736842105263158,0.6772486772486772 ,0.6701570680628273 ,382.0
Crunch                             ,0.7299912049252419,0.7204861111111112 ,0.7397504456327986 ,561.0
Dip                                ,0.6290868094701241,0.6172566371681416 ,0.6413793103448275 ,435.0
Dumbbell Deadlift Row              ,0.577478344562079 ,0.5736137667304015 ,0.5813953488372093 ,516.0
Dumbbell Row (both)                ,0.4112303881090008,0.4009661835748792 ,0.4220338983050848 ,590.0
Dumbbell Row (right)               ,0.4               ,0.3787878787878788 ,0.42372881355932196,118.0
Dumbbell Squat (hands at side)     ,0.7085514834205934,0.7085514834205934 ,0.7085514834205934 ,573.0
Elliptical machine                 ,0.8693375229117569,0.8534704370179949 ,0.8858057630736392 ,1874.0
Punches                            ,0.8416184971098265,0.8406466512702079 ,0.8425925925925926 ,432.0
Jump Rope                          ,0.7964352720450282,0.7846580406654344 ,0.8085714285714286 ,1050.0
Jumping Jacks                      ,0.8878048780487805,0.8878048780487805 ,0.8878048780487805 ,205.0
Kettlebell Swing                   ,0.7595561035758323,0.7549019607843137 ,0.7642679900744417 ,403.0
Lateral Raise                      ,0.5707257072570726,0.5617433414043583 ,0.58               ,400.0
Lawnmower (both)                   ,0.2978723404255319,0.2641509433962264 ,0.3414634146341464 ,41.0
Lawnmower (right)                  ,0.4633333333333333,0.46801346801346794,0.4587458745874588 ,303.0
Lunge (both legs)                  ,0.5316293929712459,0.5129469790382244 ,0.5517241379310345 ,754.0
Ball Slam                          ,0.6235011990407674,0.6004618937644342 ,0.6483790523690773 ,401.0
Triceps Extension (standing - both),0.7746741154562383,0.7619047619047619 ,0.7878787878787878 ,528.0
Plank                              ,0.8066190785204412,0.8071428571428572 ,0.8060959792477302 ,1542.0
Power Boat pose                    ,0.6128550074738416,0.5873925501432665 ,0.640625           ,320.0
Pushups                            ,0.7013452914798207,0.696969696969697  ,0.7057761732851986 ,554.0
Rowing machine                     ,0.8694444444444445,0.8613098514034122 ,0.8777341559169939 ,1783.0
Running                            ,0.8670212765957447,0.8611911623439001 ,0.8729308666017527 ,2054.0
Russian Twist                      ,0.6748898678414098,0.676678445229682  ,0.6731107205623902 ,569.0
Seated Back Fly                    ,0.592074592074592 ,0.5825688073394495 ,0.6018957345971564 ,422.0
Shoulder Press                     ,0.7190527448869753,0.7167381974248928 ,0.7213822894168467 ,463.0
Squat                              ,0.7544550740949165,0.7486969471332837 ,0.7603024574669187 ,2645.0
Triceps Kickback                   ,0.5785016286644951,0.561314791403287  ,0.5967741935483871 ,744.0
Triceps extension (lying)          ,0.7392290249433107,0.7375565610859729 ,0.740909090909091  ,440.0
Dumbbell Curl                      ,0.7312000000000001,0.7231012658227848 ,0.7394822006472492 ,618.0
V-up                               ,0.7620689655172415,0.758147512864494  ,0.7660311958405546 ,577.0
Walk                               ,0.8070725794952232,0.8001130901894261 ,0.8141542002301496 ,3476.0
Walking lunge                      ,0.5706760316066725,0.5652173913043478 ,0.5762411347517731 ,564.0
Wall Ball                          ,0.7980769230769231,0.7904761904761904 ,0.8058252427184466 ,309.0
Wall Squat                         ,0.4005563282336578,0.3918367346938775 ,0.4096728307254623 ,703.0
accuracy                           ,0.828369359497958 ,0.828369359497958  ,0.828369359497958  ,0.828369359497958
macro avg                          ,0.6656455731169043,0.6579913219846156 ,0.6740116872847227 ,80312.0
weighted avg                       ,0.8293582960413622,0.8305301853614342 ,0.828369359497958  ,80312.0
