Unnamed: 0                         ,f1-score           ,precision          ,recall             ,support
Noise                              ,0.8681307661452066 ,0.8548772539648055 ,0.8818016990241816 ,49087.0
Band Pull-Down Row                 ,0.2590163934426229 ,0.2936802973977695 ,0.2316715542521994 ,341.0
Bicep Curl                         ,0.7965417867435158 ,0.7843359818388195 ,0.8091334894613583 ,854.0
Box Jump (on bench)                ,0.5918367346938774 ,0.6041666666666666 ,0.58               ,50.0
Burpee                             ,0.3925385239253853 ,0.426056338028169  ,0.36390977443609024,665.0
Butterfly sit-up                   ,0.7660642570281124 ,0.7561942517343905 ,0.7761953204476093 ,1966.0
Chest Press                        ,0.553191489361702  ,0.5621621621621622 ,0.5445026178010471 ,382.0
Crunch                             ,0.7588856868395775 ,0.8229166666666666 ,0.7040998217468806 ,561.0
Dip                                ,0.5534308211473565 ,0.5418502202643172 ,0.5655172413793104 ,435.0
Dumbbell Deadlift Row              ,0.4609137055837563 ,0.4840085287846482 ,0.43992248062015504,516.0
Dumbbell Row (both)                ,0.3361986628462273 ,0.3851203501094092 ,0.2983050847457627 ,590.0
Dumbbell Row (right)               ,0.5118483412322274 ,0.5806451612903226 ,0.4576271186440678 ,118.0
Dumbbell Squat (hands at side)     ,0.4920486435921422 ,0.530241935483871  ,0.4589877835951134 ,573.0
Elliptical machine                 ,0.7961393596986818 ,0.7122999157540016 ,0.9023479188900748 ,1874.0
Punches                            ,0.7748571428571428 ,0.7652370203160271 ,0.7847222222222222 ,432.0
Jump Rope                          ,0.821062441752097  ,0.8038321167883211 ,0.8390476190476189 ,1050.0
Jumping Jacks                      ,0.9242053789731052 ,0.9264705882352942 ,0.9219512195121952 ,205.0
Kettlebell Swing                   ,0.8781664656212304 ,0.8544600938967136 ,0.9032258064516128 ,403.0
Lateral Raise                      ,0.7344173441734416 ,0.8017751479289941 ,0.6775             ,400.0
Lawnmower (both)                   ,0.4776119402985076 ,0.6153846153846154 ,0.3902439024390244 ,41.0
Lawnmower (right)                  ,0.6595365418894831 ,0.7170542635658915 ,0.6105610561056105 ,303.0
Lunge (both legs)                  ,0.4249134948096885 ,0.4442836468885673 ,0.40716180371352784,754.0
Ball Slam                          ,0.6166666666666667 ,0.6959247648902821 ,0.5536159600997507 ,401.0
Triceps Extension (standing - both),0.8027750247770071 ,0.841995841995842  ,0.7670454545454546 ,528.0
Plank                              ,0.4992867332382311 ,0.554675118858954  ,0.4539559014267186 ,1542.0
Power Boat pose                    ,0.2892057026476578 ,0.4152046783625731 ,0.221875           ,320.0
Pushups                            ,0.6193078324225866 ,0.625              ,0.6137184115523465 ,554.0
Rowing machine                     ,0.8123852007347152 ,0.7633136094674556 ,0.8681996634885025 ,1783.0
Running                            ,0.8225844554689346 ,0.7989903625516291 ,0.8476144109055501 ,2054.0
Russian Twist                      ,0.7757009345794393 ,0.8283433133732535 ,0.7293497363796133 ,569.0
Seated Back Fly                    ,0.7100271002710027 ,0.8291139240506329 ,0.6208530805687204 ,422.0
Shoulder Press                     ,0.4503144654088051 ,0.5391566265060241 ,0.3866090712742981 ,463.0
Squat                              ,0.6329421286928368 ,0.6808881149325207 ,0.591304347826087  ,2645.0
Triceps Kickback                   ,0.600326264274062  ,0.7634854771784232 ,0.4946236559139785 ,744.0
Triceps extension (lying)          ,0.8302325581395349 ,0.85               ,0.8113636363636364 ,440.0
Dumbbell Curl                      ,0.847972972972973  ,0.8869257950530035 ,0.8122977346278317 ,618.0
V-up                               ,0.7556818181818183 ,0.8329853862212944 ,0.6915077989601387 ,577.0
Walk                               ,0.777114967462039  ,0.7348717948717949 ,0.8245109321058688 ,3476.0
Walking lunge                      ,0.46110056925996207,0.4959183673469388 ,0.4308510638297872 ,564.0
Wall Ball                          ,0.4222648752399232 ,0.5188679245283019 ,0.3559870550161812 ,309.0
Wall Squat                         ,0.16949152542372886,0.33195020746887965,0.11379800853485066,703.0
accuracy                           ,0.7973403725470665 ,0.7973403725470665 ,0.7973403725470665 ,0.7973403725470665
macro avg                          ,0.6274862858174881 ,0.664747915385567  ,0.6033540599501214 ,80312.0
weighted avg                       ,0.7909485728192154 ,0.7890159716077589 ,0.7973403725470665 ,80312.0
