Unnamed: 0                         ,f1-score           ,precision          ,recall              ,support
Noise                              ,0.8701350739998708 ,0.858801316561631  ,0.8817719794613853  ,38172.0
Band Pull-Down Row                 ,0.2970711297071129 ,0.33649289099526064,0.2659176029962547  ,267.0
Bicep Curl                         ,0.7801950487621906 ,0.7831325301204819 ,0.7772795216741405  ,669.0
Box Jump (on bench)                ,0.6835443037974683 ,0.675              ,0.6923076923076923  ,39.0
Burpee                             ,0.3751295336787565 ,0.4067415730337079 ,0.34807692307692306 ,520.0
Butterfly sit-up                   ,0.7918001281229978 ,0.7700934579439253 ,0.8147659854976929  ,1517.0
Chest Press                        ,0.5375626043405676 ,0.5313531353135313 ,0.5439189189189191  ,296.0
Crunch                             ,0.7391841779975278 ,0.8016085790884718 ,0.6857798165137615  ,436.0
Dip                                ,0.5948275862068966 ,0.5830985915492958 ,0.6070381231671554  ,341.0
Dumbbell Deadlift Row              ,0.4673629242819844 ,0.4917582417582417 ,0.4452736318407961  ,402.0
Dumbbell Row (both)                ,0.33               ,0.3870967741935484 ,0.2875816993464052  ,459.0
Dumbbell Row (right)               ,0.48               ,0.5185185185185185 ,0.44680851063829785 ,94.0
Dumbbell Squat (hands at side)     ,0.5160493827160494 ,0.5663956639566395 ,0.4739229024943311  ,441.0
Elliptical machine                 ,0.7941623593797507 ,0.7113289760348583 ,0.8988300068823124  ,1453.0
Punches                            ,0.7663280116110305 ,0.7478753541076487 ,0.7857142857142857  ,336.0
Jump Rope                          ,0.8327272727272726 ,0.8297101449275363 ,0.8357664233576643  ,822.0
Jumping Jacks                      ,0.9378881987577641 ,0.949685534591195  ,0.9263803680981596  ,163.0
Kettlebell Swing                   ,0.890625           ,0.8610271903323263 ,0.9223300970873788  ,309.0
Lateral Raise                      ,0.7824620573355817 ,0.8315412186379928 ,0.7388535031847133  ,314.0
Lawnmower (both)                   ,0.5098039215686274 ,0.7222222222222222 ,0.3939393939393939  ,33.0
Lawnmower (right)                  ,0.6470588235294118 ,0.6941747572815534 ,0.6059322033898306  ,236.0
Lunge (both legs)                  ,0.4772313296903461 ,0.5087378640776699 ,0.4493996569468268  ,583.0
Ball Slam                          ,0.6802030456852791 ,0.7256317689530686 ,0.6401273885350318  ,314.0
Triceps Extension (standing - both),0.7766233766233768 ,0.8305555555555556 ,0.7292682926829268  ,410.0
Plank                              ,0.4789254284390922 ,0.5374220374220374 ,0.4319131161236424  ,1197.0
Power Boat pose                    ,0.29411764705882354,0.37974683544303794,0.24                ,250.0
Pushups                            ,0.6019184652278178 ,0.6322418136020151 ,0.5743707093821511  ,437.0
Rowing machine                     ,0.8076279692204751 ,0.7529631940112289 ,0.8708513708513709  ,1386.0
Running                            ,0.8271716260895702 ,0.7953757225433526 ,0.8616155291170946  ,1597.0
Russian Twist                      ,0.7933094384707288 ,0.8469387755102041 ,0.7460674157303371  ,445.0
Seated Back Fly                    ,0.6713286713286714 ,0.7933884297520661 ,0.5818181818181818  ,330.0
Shoulder Press                     ,0.4690553745928338 ,0.555984555984556  ,0.4056338028169014  ,355.0
Squat                              ,0.6538065843621399 ,0.6960569550930996 ,0.6163918525703199  ,2062.0
Triceps Kickback                   ,0.6174636174636174 ,0.7774869109947644 ,0.5120689655172413  ,580.0
Triceps extension (lying)          ,0.8424242424242425 ,0.8797468354430379 ,0.8081395348837209  ,344.0
Dumbbell Curl                      ,0.8376068376068376 ,0.8540305010893247 ,0.8218029350104822  ,477.0
V-up                               ,0.7966507177033493 ,0.8604651162790697 ,0.7416481069042317  ,449.0
Walk                               ,0.7839860748476937 ,0.740302432610125  ,0.8331483536810951  ,2703.0
Walking lunge                      ,0.5418933623503809 ,0.5144628099173554 ,0.5724137931034483  ,435.0
Wall Ball                          ,0.44987775061124696,0.5443786982248521 ,0.38333333333333336 ,240.0
Wall Squat                         ,0.07965860597439545,0.18543046357615892,0.050724637681159424,552.0
accuracy                           ,0.8010405827263267 ,0.8010405827263267 ,0.8010405827263267  ,0.8010405827263267
macro avg                          ,0.6367023830315068 ,0.6699757060305163 ,0.6158274772262681  ,62465.0
weighted avg                       ,0.794621624628585  ,0.7922480395919252 ,0.8010405827263267  ,62465.0
