Unnamed: 0                         ,f1-score          ,precision          ,recall             ,support
Noise                              ,0.8717265747095196,0.8591288974606236 ,0.8846991973078091 ,36253.0
Band Pull-Down Row                 ,0.3164835164835165,0.35467980295566504,0.2857142857142857 ,252.0
Bicep Curl                         ,0.7745483110761979,0.7655279503105591 ,0.7837837837837838 ,629.0
Box Jump (on bench)                ,0.7466666666666666,0.7179487179487181 ,0.7777777777777778 ,36.0
Burpee                             ,0.4191096634093376,0.4426605504587156 ,0.3979381443298969 ,485.0
Butterfly sit-up                   ,0.7797858099062919,0.7579700715679896 ,0.8028945554789799 ,1451.0
Chest Press                        ,0.5132743362831859,0.5123674911660777 ,0.5141843971631206 ,282.0
Crunch                             ,0.7710526315789475,0.8419540229885057 ,0.7111650485436893 ,412.0
Dip                                ,0.5920245398773006,0.5778443113772455 ,0.6069182389937107 ,318.0
Dumbbell Deadlift Row              ,0.4804318488529015,0.4930747922437673 ,0.468421052631579  ,380.0
Dumbbell Row (both)                ,0.3529411764705882,0.4103343465045592 ,0.30963302752293576,436.0
Dumbbell Row (right)               ,0.4880952380952381,0.5189873417721519 ,0.4606741573033708 ,89.0
Dumbbell Squat (hands at side)     ,0.5913705583756345,0.6348773841961853 ,0.5534441805225653 ,421.0
Elliptical machine                 ,0.782002534854246 ,0.6959954878736605 ,0.8922631959508315 ,1383.0
Punches                            ,0.7912772585669782,0.7912772585669782 ,0.7912772585669782 ,321.0
Jump Rope                          ,0.8285895003162554,0.8177278401997503 ,0.8397435897435898 ,780.0
Jumping Jacks                      ,0.92              ,0.9078947368421052 ,0.9324324324324323 ,148.0
Kettlebell Swing                   ,0.8702791461412152,0.8576051779935275 ,0.8833333333333333 ,300.0
Lateral Raise                      ,0.7850799289520426,0.8185185185185185 ,0.7542662116040956 ,293.0
Lawnmower (both)                   ,0.4800000000000001,0.6666666666666666 ,0.375              ,32.0
Lawnmower (right)                  ,0.6587112171837709,0.7150259067357513 ,0.6106194690265486 ,226.0
Lunge (both legs)                  ,0.5027124773960217,0.5072992700729927 ,0.4982078853046595 ,558.0
Ball Slam                          ,0.6996336996336996,0.7609561752988048 ,0.6474576271186441 ,295.0
Triceps Extension (standing - both),0.7432432432432433,0.7947976878612717 ,0.6979695431472082 ,394.0
Plank                              ,0.4846347607052897,0.5692307692307692 ,0.4219298245614035 ,1140.0
Power Boat pose                    ,0.2596685082872928,0.376              ,0.19831223628691985,237.0
Pushups                            ,0.5832290362953693,0.5974358974358974 ,0.5696821515892421 ,409.0
Rowing machine                     ,0.8098939929328621,0.7559366754617414 ,0.8721461187214612 ,1314.0
Running                            ,0.8173414089894804,0.7918468190240889 ,0.8445322793148881 ,1518.0
Russian Twist                      ,0.7719745222929937,0.8440111420612814 ,0.7112676056338029 ,426.0
Seated Back Fly                    ,0.6917562724014337,0.7845528455284553 ,0.6185897435897436 ,312.0
Shoulder Press                     ,0.5008460236886633,0.5826771653543307 ,0.4391691394658754 ,337.0
Squat                              ,0.6601200218221495,0.704717530576587  ,0.6208311954848641 ,1949.0
Triceps Kickback                   ,0.6170921198668147,0.7765363128491619 ,0.5119705340699816 ,543.0
Triceps extension (lying)          ,0.8330632090761749,0.8771331058020477 ,0.7932098765432098 ,324.0
Dumbbell Curl                      ,0.8316384180790959,0.8578088578088578 ,0.8070175438596491 ,456.0
V-up                               ,0.7676767676767676,0.8444444444444444 ,0.7037037037037037 ,432.0
Walk                               ,0.7930713354442168,0.7598144182726624 ,0.8293728087261395 ,2567.0
Walking lunge                      ,0.5749086479902558,0.5812807881773399 ,0.5686746987951807 ,415.0
Wall Ball                          ,0.4416243654822335,0.5337423312883436 ,0.37662337662337664,231.0
Wall Squat                         ,0.1144578313253012,0.2602739726027397 ,0.07335907335907338,518.0
accuracy                           ,0.8033961755084146,0.8033961755084146 ,0.8033961755084146 ,0.8033961755084146
macro avg                          ,0.6417570029372973,0.6760625239877935 ,0.6204929342348864 ,59302.0
weighted avg                       ,0.7971561735371441,0.79533778284438   ,0.8033961755084146 ,59302.0
