Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.2932165506714398  ,0.8873735151781786  ,0.17562419730512202 ,45939.0
Band Pull-Down Row                 ,0.36553524804177545 ,0.25331724969843183 ,0.65625             ,320.0
Bicep Curl                         ,0.3890160183066362  ,0.35714285714285715 ,0.4271356783919598  ,796.0
Box Jump (on bench)                ,0.27184466019417475 ,0.17721518987341772 ,0.5833333333333334  ,48.0
Burpee                             ,0.38998835855646097 ,0.3051001821493625  ,0.5403225806451613  ,620.0
Butterfly sit-up                   ,0.491933598316577   ,0.4311475409836066  ,0.5726728361458899  ,1837.0
Chest Press                        ,0.4781341107871721  ,0.32315270935960594 ,0.9187675070028012  ,357.0
Crunch                             ,0.4458032240133408  ,0.31450980392156863 ,0.7652671755725191  ,524.0
Dip                                ,0.42346594740391097 ,0.2915506035283194  ,0.7733990147783252  ,406.0
Dumbbell Deadlift Row              ,0.3193916349809886  ,0.2937062937062937  ,0.35                ,480.0
Dumbbell Row (both)                ,0.07225806451612903 ,0.056224899598393566,0.10108303249097472 ,554.0
Dumbbell Row (right)               ,0.166394779771615   ,0.10159362549800798 ,0.4594594594594595  ,111.0
Dumbbell Squat (hands at side)     ,0.21923076923076926 ,0.1378809869375907  ,0.5347091932457786  ,533.0
Elliptical machine                 ,0.8445830969937608  ,0.8374578177727784  ,0.8518306636155606  ,1748.0
Punches                            ,0.7442922374429225  ,0.6995708154506438  ,0.7951219512195122  ,410.0
Jump Rope                          ,0.5387755102040815  ,0.4498977505112474  ,0.671414038657172   ,983.0
Jumping Jacks                      ,0.7329434697855749  ,0.5893416927899686  ,0.9690721649484536  ,194.0
Kettlebell Swing                   ,0.7146067415730338  ,0.6150870406189555  ,0.8525469168900804  ,373.0
Lateral Raise                      ,0.3309859154929577  ,0.21250941974378296 ,0.7480106100795756  ,377.0
Lawnmower (both)                   ,0.010638297872340429,0.006666666666666667,0.02631578947368421 ,38.0
Lawnmower (right)                  ,0.11661267931513188 ,0.0670926517571885  ,0.4452296819787986  ,283.0
Lunge (both legs)                  ,0.159369527145359   ,0.1153358681875792  ,0.2577903682719547  ,706.0
Ball Slam                          ,0.4020979020979021  ,0.30144167758846657 ,0.6036745406824147  ,381.0
Triceps Extension (standing - both),0.6678082191780822  ,0.5812220566318927  ,0.7847082494969819  ,497.0
Plank                              ,0.13463171601653173 ,0.07331360217042791 ,0.8228373702422145  ,1445.0
Power Boat pose                    ,0.20477290223248654 ,0.11570247933884298 ,0.8896321070234113  ,299.0
Pushups                            ,0.4047619047619048  ,0.3296969696969697  ,0.5240847784200385  ,519.0
Rowing machine                     ,0.7485444968117548  ,0.6944444444444444  ,0.8117859290438966  ,1663.0
Running                            ,0.7869762746087835  ,0.7649656526005888  ,0.8102910602910602  ,1924.0
Russian Twist                      ,0.2348411934552454  ,0.1582360570687419  ,0.4552238805970149  ,536.0
Seated Back Fly                    ,0.2995515695067265  ,0.23324022346368714 ,0.4185463659147869  ,399.0
Shoulder Press                     ,0.5736894164193868  ,0.5                 ,0.6728538283062645  ,431.0
Squat                              ,0.02178649237472767 ,0.10526315789473684 ,0.012150668286755772,2469.0
Triceps Kickback                   ,0.31356620633631194 ,0.3614232209737828  ,0.2769010043041607  ,697.0
Triceps extension (lying)          ,0.5633027522935781  ,0.4528023598820059  ,0.7451456310679612  ,412.0
Dumbbell Curl                      ,0.602026049204052   ,0.5154894671623296  ,0.7234782608695652  ,575.0
V-up                               ,0.5630538513974097  ,0.4489130434782609  ,0.7550274223034735  ,547.0
Walk                               ,0.5379884943463599  ,0.3971298872455704  ,0.8336919766369505  ,3253.0
Walking lunge                      ,0.3404932378679395  ,0.2152917505030181  ,0.8136882129277566  ,526.0
Wall Ball                          ,0.6831955922865014  ,0.5688073394495413  ,0.8551724137931035  ,290.0
Wall Squat                         ,0.16706443914081145 ,0.09909399773499432 ,0.5319148936170213  ,658.0
accuracy                           ,0.34942388035871097 ,0.34942388035871097 ,0.34942388035871097 ,0.34942388035871097
macro avg                          ,0.4090042231939671  ,0.3521793309366524  ,0.6052723118861206  ,75158.0
weighted avg                       ,0.3532430249075336  ,0.6932594703182451  ,0.34942388035871097 ,75158.0
