Unnamed: 0                         ,f1-score            ,precision          ,recall              ,support
Noise                              ,0.3055319600764493  ,0.8947450248756219 ,0.18421895006402048 ,31240.0
Band Pull-Down Row                 ,0.34400000000000003 ,0.2420262664165103 ,0.5944700460829493  ,217.0
Bicep Curl                         ,0.33192209991532595 ,0.3081761006289308 ,0.3596330275229358  ,545.0
Box Jump (on bench)                ,0.3750000000000001  ,0.2625             ,0.65625             ,32.0
Burpee                             ,0.4215091066782307  ,0.3306122448979592 ,0.5813397129186603  ,418.0
Butterfly sit-up                   ,0.5090301003344482  ,0.4371051120045951 ,0.6092874299439551  ,1249.0
Chest Press                        ,0.5097142857142857  ,0.35173501577287064,0.925311203319502   ,241.0
Crunch                             ,0.4576547231270359  ,0.3218785796105384 ,0.7915492957746478  ,355.0
Dip                                ,0.4180064308681672  ,0.2968036529680365 ,0.7065217391304348  ,276.0
Dumbbell Deadlift Row              ,0.252400548696845   ,0.22885572139303484,0.2813455657492355  ,327.0
Dumbbell Row (both)                ,0.08537549407114625 ,0.06053811659192825,0.1447721179624665  ,373.0
Dumbbell Row (right)               ,0.1206581352833638  ,0.07036247334754797,0.4230769230769231  ,78.0
Dumbbell Squat (hands at side)     ,0.3134872417982989  ,0.2006220839813375 ,0.7166666666666667  ,360.0
Elliptical machine                 ,0.8218272013228606  ,0.8107667210440457 ,0.8331936295054484  ,1193.0
Punches                            ,0.7384615384615385  ,0.6900958466453674 ,0.7941176470588235  ,272.0
Jump Rope                          ,0.54739336492891    ,0.4533856722276742 ,0.6905829596412556  ,669.0
Jumping Jacks                      ,0.7032967032967032  ,0.5493562231759657 ,0.9770992366412212  ,131.0
Kettlebell Swing                   ,0.7058823529411766  ,0.5967741935483871 ,0.8638132295719845  ,257.0
Lateral Raise                      ,0.33607907742998355 ,0.2127215849843587 ,0.8                 ,255.0
Lawnmower (both)                   ,0.0                 ,0.0                ,0.0                 ,25.0
Lawnmower (right)                  ,0.1006080707573245  ,0.05631188118811881,0.4715025906735752  ,193.0
Lunge (both legs)                  ,0.11944444444444445 ,0.08977035490605427,0.17842323651452285 ,482.0
Ball Slam                          ,0.4478371501272264  ,0.3333333333333333 ,0.6821705426356589  ,258.0
Triceps Extension (standing - both),0.6972477064220183  ,0.6229508196721312 ,0.7916666666666666  ,336.0
Plank                              ,0.13733829523303204 ,0.07519161734743378,0.7916241062308478  ,979.0
Power Boat pose                    ,0.19073569482288827 ,0.1072961373390558 ,0.8578431372549019  ,204.0
Pushups                            ,0.32432432432432434 ,0.2557377049180328 ,0.4431818181818182  ,352.0
Rowing machine                     ,0.7172306495527031  ,0.6425087108013937 ,0.8116197183098591  ,1136.0
Running                            ,0.7752606975907947  ,0.7303523035230353 ,0.8260536398467433  ,1305.0
Russian Twist                      ,0.2335164835164835  ,0.15582034830430794,0.4657534246575342  ,365.0
Seated Back Fly                    ,0.2581395348837209  ,0.1875             ,0.4141791044776119  ,268.0
Shoulder Press                     ,0.5872093023255813  ,0.5153061224489796 ,0.6824324324324325  ,296.0
Squat                              ,0.017094017094017096,0.08839779005524863,0.009461856889414548,1691.0
Triceps Kickback                   ,0.3060240963855422  ,0.35774647887323946,0.2673684210526316  ,475.0
Triceps extension (lying)          ,0.6666666666666667  ,0.5518867924528302 ,0.8417266187050358  ,278.0
Dumbbell Curl                      ,0.5565052231718898  ,0.4425981873111782 ,0.7493606138107417  ,391.0
V-up                               ,0.5456329735034348  ,0.4283513097072419 ,0.7513513513513513  ,370.0
Walk                               ,0.5652630001498576  ,0.4225857046829487 ,0.853393665158371   ,2210.0
Walking lunge                      ,0.3528728961114335  ,0.22271062271062272,0.8491620111731844  ,358.0
Wall Ball                          ,0.6666666666666666  ,0.5548172757475083 ,0.835               ,200.0
Wall Squat                         ,0.17751970136872666 ,0.1089613034623218 ,0.4787472035794184  ,447.0
accuracy                           ,0.3559981998552057  ,0.3559981998552057 ,0.3559981998552057  ,0.3559981998552057
macro avg                          ,0.4083016575625256  ,0.34802915689999325,0.6093968668349622  ,51107.0
weighted avg                       ,0.3601225672852951  ,0.6948969307607668 ,0.3559981998552057  ,51107.0
