Unnamed: 0                         ,f1-score           ,precision           ,recall              ,support
Noise                              ,0.3131113111311131 ,0.8999655053466713  ,0.1895249164608456  ,27532.0
Band Pull-Down Row                 ,0.3716535433070866 ,0.26636568848758463 ,0.6145833333333334  ,192.0
Bicep Curl                         ,0.3636363636363637 ,0.3196202531645569  ,0.42171189979123175 ,479.0
Box Jump (on bench)                ,0.4077669902912622 ,0.28                ,0.75                ,28.0
Burpee                             ,0.4300202839756592 ,0.3458401305057096  ,0.5683646112600537  ,373.0
Butterfly sit-up                   ,0.5251177394034539 ,0.4616977225672878  ,0.6087352138307552  ,1099.0
Chest Press                        ,0.5215889464594128 ,0.4136986301369863  ,0.705607476635514   ,214.0
Crunch                             ,0.4511970534069981 ,0.31776913099870296 ,0.7777777777777778  ,315.0
Dip                                ,0.3768996960486322 ,0.2503364737550471  ,0.7622950819672131  ,244.0
Dumbbell Deadlift Row              ,0.2016528925619835 ,0.19365079365079368 ,0.2103448275862069  ,290.0
Dumbbell Row (both)                ,0.10621062106210624,0.07554417413572344 ,0.1787878787878788  ,330.0
Dumbbell Row (right)               ,0.12015503875968993,0.06919642857142858 ,0.4558823529411765  ,68.0
Dumbbell Squat (hands at side)     ,0.2898761835396941 ,0.1886255924170616  ,0.6257861635220126  ,318.0
Elliptical machine                 ,0.8248482017748715 ,0.8071297989031079  ,0.8433619866284623  ,1047.0
Punches                            ,0.7150837988826816 ,0.6508474576271186  ,0.7933884297520661  ,242.0
Jump Rope                          ,0.5327342747111682 ,0.430944963655244   ,0.6974789915966386  ,595.0
Jumping Jacks                      ,0.6835443037974684 ,0.5320197044334976  ,0.9557522123893806  ,113.0
Kettlebell Swing                   ,0.6975088967971531 ,0.5833333333333334  ,0.8672566371681416  ,226.0
Lateral Raise                      ,0.3333333333333333 ,0.2117224880382775  ,0.7831858407079646  ,226.0
Lawnmower (both)                   ,0.0                ,0.0                 ,0.0                 ,23.0
Lawnmower (right)                  ,0.07959067652075043,0.044108380592312535,0.4069767441860465  ,172.0
Lunge (both legs)                  ,0.14665249734325184,0.1326923076923077  ,0.16389548693586695 ,421.0
Ball Slam                          ,0.4659606656580938 ,0.3548387096774194  ,0.6784140969162996  ,227.0
Triceps Extension (standing - both),0.6430678466076697 ,0.5706806282722513  ,0.7364864864864865  ,296.0
Plank                              ,0.13833715939714544,0.07570461000655451 ,0.8011560693641618  ,865.0
Power Boat pose                    ,0.21553533939818054,0.1232986389111289  ,0.8555555555555555  ,180.0
Pushups                            ,0.32085561497326204,0.24154589371980675 ,0.4777070063694268  ,314.0
Rowing machine                     ,0.7176991150442479 ,0.6436507936507937  ,0.8109999999999999  ,1000.0
Running                            ,0.7850390464447184 ,0.746677091477717   ,0.8275563258232236  ,1154.0
Russian Twist                      ,0.2176656151419558 ,0.14526315789473684 ,0.4339622641509434  ,318.0
Seated Back Fly                    ,0.19562715765247413,0.13513513513513514 ,0.3541666666666667  ,240.0
Shoulder Press                     ,0.5617685305591676 ,0.4177949709864604  ,0.8571428571428571  ,252.0
Squat                              ,0.02479851208927464,0.15873015873015872 ,0.013449899125756556,1487.0
Triceps Kickback                   ,0.3205479452054794 ,0.3726114649681528  ,0.28125             ,416.0
Triceps extension (lying)          ,0.6602254428341385 ,0.5466666666666666  ,0.8333333333333334  ,246.0
Dumbbell Curl                      ,0.5558035714285714 ,0.4527272727272727  ,0.7196531791907514  ,346.0
V-up                               ,0.5634743875278396 ,0.44153577661431065 ,0.7784615384615384  ,325.0
Walk                               ,0.5645404319437469 ,0.4186739508318848  ,0.8663926002055499  ,1946.0
Walking lunge                      ,0.3339540657976412 ,0.20756172839506173 ,0.8539682539682539  ,315.0
Wall Ball                          ,0.6547085201793722 ,0.5427509293680297  ,0.8248587570621468  ,177.0
Wall Squat                         ,0.17991432651118516,0.11078546307151232 ,0.4784810126582278  ,395.0
accuracy                           ,0.3594103804999334 ,0.3594103804999334  ,0.3594103804999334  ,0.3594103804999334
macro avg                          ,0.4051635595399585 ,0.3458961463199465  ,0.606431555261945   ,45046.0
weighted avg                       ,0.36472554759827297,0.6999930084448309  ,0.3594103804999334  ,45046.0
