Unnamed: 0                         ,f1-score            ,precision            ,recall              ,support
Noise                              ,0.06682802205190265 ,0.8954954954954955   ,0.03470912773238355 ,28638.0
Band Pull-Down Row                 ,0.03778501628664495 ,0.02172284644194757  ,0.145               ,200.0
Bicep Curl                         ,0.3317384370015949  ,0.27440633245382584  ,0.41935483870967744 ,496.0
Box Jump (on bench)                ,0.2441860465116279  ,0.14788732394366194  ,0.7                 ,30.0
Burpee                             ,0.10925819436457736 ,0.07021433850702144  ,0.2461139896373057  ,386.0
Butterfly sit-up                   ,0.2177419354838709  ,0.2589928057553957   ,0.18782608695652173 ,1150.0
Chest Press                        ,0.11480362537764348 ,0.0867579908675799   ,0.16964285714285715 ,224.0
Crunch                             ,0.2043935052531041  ,0.14840499306518726  ,0.3282208588957055  ,326.0
Dip                                ,0.17555938037865748 ,0.11233480176211454  ,0.4015748031496063  ,254.0
Dumbbell Deadlift Row              ,0.1309175920514319  ,0.07937632884479093  ,0.37333333333333335 ,300.0
Dumbbell Row (both)                ,0.012711864406779662,0.01                 ,0.017441860465116282,344.0
Dumbbell Row (right)               ,0.06818181818181819 ,0.038391224862888484 ,0.3043478260869565  ,69.0
Dumbbell Squat (hands at side)     ,0.17031831335262504 ,0.0987535953978907   ,0.6186186186186187  ,333.0
Elliptical machine                 ,0.3143093465674111  ,0.286144578313253    ,0.3486238532110092  ,1090.0
Punches                            ,0.3988603988603989  ,0.3125               ,0.5511811023622047  ,254.0
Jump Rope                          ,0.39226519337016574 ,0.3397129186602871   ,0.4640522875816994  ,612.0
Jumping Jacks                      ,0.4102564102564104  ,0.3130434782608696   ,0.5950413223140496  ,121.0
Kettlebell Swing                   ,0.31226053639846746 ,0.2014833127317676   ,0.6936170212765957  ,235.0
Lateral Raise                      ,0.18729641693811075 ,0.11569416498993965  ,0.4914529914529914  ,234.0
Lawnmower (both)                   ,0.001806684733514002,0.0009233610341643582,0.04166666666666666 ,24.0
Lawnmower (right)                  ,0.0382262996941896  ,0.02206531332744925  ,0.14285714285714285 ,175.0
Lunge (both legs)                  ,0.20071047957371224 ,0.16400580551523947  ,0.2585812356979405  ,437.0
Ball Slam                          ,0.27018633540372666 ,0.21375921375921372  ,0.3670886075949367  ,237.0
Triceps Extension (standing - both),0.3437037037037037  ,0.3160762942779292   ,0.37662337662337664 ,308.0
Plank                              ,0.12273524254821742 ,0.06726457399103139  ,0.7                 ,900.0
Power Boat pose                    ,0.0655966503838102  ,0.0350615441999254   ,0.5081081081081081  ,185.0
Pushups                            ,0.11036036036036036 ,0.08626760563380281  ,0.153125            ,320.0
Rowing machine                     ,0.3980625275209159  ,0.3677786818551668   ,0.43378119001919385 ,1042.0
Running                            ,0.3673318551367332  ,0.32935719019218024  ,0.4152046783625731  ,1197.0
Russian Twist                      ,0.1991967871485944  ,0.13611416026344675  ,0.3712574850299401  ,334.0
Seated Back Fly                    ,0.07702888583218707 ,0.05797101449275361  ,0.11475409836065575 ,244.0
Shoulder Press                     ,0.15017064846416384 ,0.097452934662237    ,0.3271375464684015  ,269.0
Squat                              ,0.024226110363391656,0.03941605839416058  ,0.017487046632124352,1544.0
Triceps Kickback                   ,0.0836940836940837  ,0.11284046692607005  ,0.06651376146788991 ,436.0
Triceps extension (lying)          ,0.3076923076923077  ,0.20170109356014584  ,0.6484375           ,256.0
Dumbbell Curl                      ,0.3400236127508855  ,0.29327902240325865  ,0.4044943820224719  ,356.0
V-up                               ,0.290846877673225   ,0.20481927710843373  ,0.5014749262536873  ,339.0
Walk                               ,0.4069672131147541  ,0.3480546792849632   ,0.4898865318204243  ,2027.0
Walking lunge                      ,0.14234363767074046 ,0.09339622641509432  ,0.2990936555891239  ,331.0
Wall Ball                          ,0.11753183153770813 ,0.0711743772241993   ,0.33707865168539325 ,178.0
Wall Squat                         ,0.05324459234608985 ,0.04055766793409379  ,0.0774818401937046  ,413.0
accuracy                           ,0.1565274931693989  ,0.1565274931693989   ,0.1565274931693989  ,0.1565274931693989
macro avg                          ,0.19539899464488436 ,0.1734305632392409   ,0.3449338100092777  ,46848.0
weighted avg                       ,0.1316676401987081  ,0.6247545107901592   ,0.1565274931693989  ,46848.0
