Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.0655229746070133  ,0.8919753086419753  ,0.03401067001412208 ,25492.0
Band Pull-Down Row                 ,0.0363872644574399  ,0.020542920029347028,0.1590909090909091  ,176.0
Bicep Curl                         ,0.34369287020109685 ,0.2901234567901235  ,0.4215246636771301  ,446.0
Box Jump (on bench)                ,0.2259887005649717  ,0.13245033112582782 ,0.7692307692307693  ,26.0
Burpee                             ,0.10347003154574133 ,0.06634304207119741 ,0.2349570200573066  ,349.0
Butterfly sit-up                   ,0.24563380281690145 ,0.2883597883597884  ,0.2139352306182532  ,1019.0
Chest Press                        ,0.14010507880910686 ,0.10723860589812333 ,0.202020202020202   ,198.0
Crunch                             ,0.22100656455142229 ,0.16211878009630815 ,0.3470790378006873  ,291.0
Dip                                ,0.16844143272023235 ,0.1070110701107011  ,0.3954545454545455  ,220.0
Dumbbell Deadlift Row              ,0.12915360501567402 ,0.07773584905660377 ,0.3814814814814815  ,270.0
Dumbbell Row (both)                ,0.012820512820512818,0.010526315789473684,0.016393442622950817,305.0
Dumbbell Row (right)               ,0.06666666666666668 ,0.03777777777777778 ,0.2833333333333333  ,60.0
Dumbbell Squat (hands at side)     ,0.17170731707317075 ,0.10011376564277588 ,0.6027397260273972  ,292.0
Elliptical machine                 ,0.32923617208077266 ,0.28669724770642196 ,0.3865979381443299  ,970.0
Punches                            ,0.4042879019908116  ,0.30985915492957744 ,0.5814977973568282  ,227.0
Jump Rope                          ,0.3993635640413684  ,0.35154061624649857 ,0.4622467771639042  ,543.0
Jumping Jacks                      ,0.4108761329305136  ,0.3076923076923077  ,0.6181818181818182  ,110.0
Kettlebell Swing                   ,0.3038251366120219  ,0.19688385269121814 ,0.6650717703349283  ,209.0
Lateral Raise                      ,0.19750889679715306 ,0.1207834602829162  ,0.5414634146341464  ,205.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                 ,21.0
Lawnmower (right)                  ,0.04996326230712711 ,0.028286189683860232,0.2138364779874214  ,159.0
Lunge (both legs)                  ,0.0963302752293578  ,0.08879492600422834 ,0.10526315789473684 ,399.0
Ball Slam                          ,0.2576271186440678  ,0.20105820105820105 ,0.3584905660377358  ,212.0
Triceps Extension (standing - both),0.3576982892690513  ,0.3108108108108108  ,0.4212454212454213  ,273.0
Plank                              ,0.1229780633724795  ,0.06746079980551843 ,0.6946182728410513  ,799.0
Power Boat pose                    ,0.07224025974025973 ,0.03872932985204525 ,0.536144578313253   ,166.0
Pushups                            ,0.10804020100502514 ,0.08514851485148515 ,0.147766323024055   ,291.0
Rowing machine                     ,0.4072484501669051  ,0.3655821917808219  ,0.4596340150699677  ,929.0
Running                            ,0.3698854337152209  ,0.3277737490935461  ,0.4244131455399061  ,1065.0
Russian Twist                      ,0.19646017699115045 ,0.13309352517985612 ,0.375               ,296.0
Seated Back Fly                    ,0.07931034482758623 ,0.06406685236768803 ,0.10407239819004524 ,221.0
Shoulder Press                     ,0.15090543259557346 ,0.0992063492063492  ,0.3151260504201681  ,238.0
Squat                              ,0.020263424518743668,0.03322259136212625 ,0.01457725947521866 ,1372.0
Triceps Kickback                   ,0.08261617900172118 ,0.12121212121212123 ,0.06266318537859007 ,383.0
Triceps extension (lying)          ,0.30366492146596863 ,0.2                 ,0.6304347826086957  ,230.0
Dumbbell Curl                      ,0.3359375           ,0.2879464285714285  ,0.403125            ,320.0
V-up                               ,0.292093023255814   ,0.2033678756476684  ,0.5181518151815182  ,303.0
Walk                               ,0.42186405045550107 ,0.36455389584174397 ,0.5005543237250555  ,1804.0
Walking lunge                      ,0.17330538085255065 ,0.10886742756804214 ,0.4246575342465753  ,292.0
Wall Ball                          ,0.1286031042128603  ,0.07795698924731183 ,0.3670886075949367  ,158.0
Wall Squat                         ,0.04174573055028463 ,0.03197674418604651 ,0.060109289617486336,366.0
accuracy                           ,0.1590217000359669  ,0.1590217000359669  ,0.1590217000359669  ,0.1590217000359669
macro avg                          ,0.19620671337755707 ,0.1732899796163381  ,0.3525190915033386  ,41705.0
weighted avg                       ,0.13231571484582166 ,0.6234749898055908  ,0.1590217000359669  ,41705.0
