Unnamed: 0                         ,f1-score           ,precision          ,recall              ,support
Noise                              ,0.8525053226248446 ,0.8263756921882344 ,0.880341322188119   ,45939.0
Band Pull-Down Row                 ,0.3383084577114428 ,0.3604240282685512 ,0.31875             ,320.0
Bicep Curl                         ,0.4153948241539483 ,0.4402250351617441 ,0.3932160804020101  ,796.0
Box Jump (on bench)                ,0.0                ,0.0                ,0.0                 ,48.0
Burpee                             ,0.4207119741100323 ,0.4220779220779221 ,0.41935483870967744 ,620.0
Butterfly sit-up                   ,0.5658829961727719 ,0.5683690280065898 ,0.5634186173108329  ,1837.0
Chest Press                        ,0.4321167883211679 ,0.451219512195122  ,0.41456582633053213 ,357.0
Crunch                             ,0.4202745512143611 ,0.4704491725768322 ,0.3797709923664122  ,524.0
Dip                                ,0.5174129353233832 ,0.5226130653266332 ,0.5123152709359606  ,406.0
Dumbbell Deadlift Row              ,0.3183856502242153 ,0.3446601941747573 ,0.2958333333333333  ,480.0
Dumbbell Row (both)                ,0.14487300094073374,0.1512770137524558 ,0.13898916967509026 ,554.0
Dumbbell Row (right)               ,0.025              ,0.02325581395348837,0.027027027027027032,111.0
Dumbbell Squat (hands at side)     ,0.5777331995987964 ,0.6206896551724138 ,0.5403377110694184  ,533.0
Elliptical machine                 ,0.5935740311361378 ,0.7049567269866247 ,0.5125858123569794  ,1748.0
Punches                            ,0.7450980392156863 ,0.8028169014084507 ,0.6951219512195121  ,410.0
Jump Rope                          ,0.5453580901856764 ,0.5698447893569845 ,0.5228891149542217  ,983.0
Jumping Jacks                      ,0.6910994764397906 ,0.7021276595744681 ,0.6804123711340206  ,194.0
Kettlebell Swing                   ,0.5860215053763441 ,0.5876010781671159 ,0.5844504021447721  ,373.0
Lateral Raise                      ,0.3095890410958904 ,0.3201133144475921 ,0.2997347480106101  ,377.0
Lawnmower (both)                   ,0.0                ,0.0                ,0.0                 ,38.0
Lawnmower (right)                  ,0.17562724014336914,0.1781818181818182 ,0.17314487632508835 ,283.0
Lunge (both legs)                  ,0.3                ,0.29045092838196285,0.3101983002832861  ,706.0
Ball Slam                          ,0.4522370012091898 ,0.4192825112107623 ,0.4908136482939632  ,381.0
Triceps Extension (standing - both),0.607883817427386  ,0.6274089935760171 ,0.5895372233400402  ,497.0
Plank                              ,0.6508108108108107 ,0.6789473684210526 ,0.6249134948096886  ,1445.0
Power Boat pose                    ,0.4042553191489362 ,0.43018867924528303,0.3812709030100335  ,299.0
Pushups                            ,0.5841584158415841 ,0.6008146639511202 ,0.5684007707129094  ,519.0
Rowing machine                     ,0.5707300034928396 ,0.6808333333333333 ,0.4912808177991582  ,1663.0
Running                            ,0.7127630500136649 ,0.7515850144092219 ,0.6777546777546778  ,1924.0
Russian Twist                      ,0.35135135135135137,0.3967136150234742 ,0.31529850746268656 ,536.0
Seated Back Fly                    ,0.28169014084507044,0.2879581151832461 ,0.2756892230576441  ,399.0
Shoulder Press                     ,0.6130434782608696 ,0.5766871165644172 ,0.6542923433874711  ,431.0
Squat                              ,0.5759427006530439 ,0.6000877963125548 ,0.553665451599838   ,2469.0
Triceps Kickback                   ,0.42380261248185774,0.4287812041116006 ,0.4189383070301291  ,697.0
Triceps extension (lying)          ,0.4559710494571774 ,0.4532374100719425 ,0.4587378640776699  ,412.0
Dumbbell Curl                      ,0.5068027210884354 ,0.4958402662229617 ,0.5182608695652174  ,575.0
V-up                               ,0.577570093457944  ,0.5908221797323135 ,0.5648994515539305  ,547.0
Walk                               ,0.5942817049640413 ,0.6919934640522876 ,0.5207500768521365  ,3253.0
Walking lunge                      ,0.32898696088264795,0.3481953290870488 ,0.311787072243346   ,526.0
Wall Ball                          ,0.6156351791530945 ,0.5833333333333334 ,0.6517241379310345  ,290.0
Wall Squat                         ,0.2515723270440252 ,0.26058631921824105,0.243161094224924   ,658.0
accuracy                           ,0.7288512200963304 ,0.7288512200963304 ,0.7288512200963304  ,0.7288512200963304
macro avg                          ,0.4520598990627455 ,0.4697811234736578 ,0.4383813097678879  ,75158.0
weighted avg                       ,0.7228521084791848 ,0.7209847451281131 ,0.7288512200963304  ,75158.0
