Unnamed: 0                         ,f1-score           ,precision          ,recall             ,support
Noise                              ,0.8522758643087964 ,0.8291835187057633 ,0.8766912771857147 ,29933.0
Band Pull-Down Row                 ,0.2651162790697675 ,0.25675675675675674,0.2740384615384616 ,208.0
Bicep Curl                         ,0.4641509433962264 ,0.4555555555555556 ,0.4730769230769231 ,520.0
Box Jump (on bench)                ,0.11320754716981132,0.13043478260869565,0.1                ,30.0
Burpee                             ,0.4643734643734644 ,0.4576271186440678 ,0.4713216957605985 ,401.0
Butterfly sit-up                   ,0.5825825825825826 ,0.6003536693191865 ,0.5658333333333333 ,1200.0
Chest Press                        ,0.4632034632034632 ,0.4692982456140351 ,0.4572649572649573 ,234.0
Crunch                             ,0.4006410256410257 ,0.4370629370629371 ,0.3698224852071006 ,338.0
Dip                                ,0.4816176470588235 ,0.4729241877256318 ,0.4906367041198502 ,267.0
Dumbbell Deadlift Row              ,0.3258232235701907 ,0.352059925093633  ,0.3032258064516129 ,310.0
Dumbbell Row (both)                ,0.19586206896551728,0.19505494505494506,0.19667590027700832,361.0
Dumbbell Row (right)               ,0.09815950920245398,0.08888888888888889,0.1095890410958904 ,73.0
Dumbbell Squat (hands at side)     ,0.5480769230769231 ,0.6173285198555957 ,0.4927953890489914 ,347.0
Elliptical machine                 ,0.6194952993567541 ,0.7089467723669309 ,0.5500878734622144 ,1138.0
Punches                            ,0.7290448343079923 ,0.757085020242915  ,0.7030075187969925 ,266.0
Jump Rope                          ,0.5989138867339022 ,0.5965996908809892 ,0.6012461059190031 ,642.0
Jumping Jacks                      ,0.6825396825396826 ,0.6935483870967742 ,0.671875           ,128.0
Kettlebell Swing                   ,0.6017699115044247 ,0.6476190476190476 ,0.5619834710743802 ,242.0
Lateral Raise                      ,0.24786324786324784,0.25892857142857145,0.2377049180327869 ,244.0
Lawnmower (both)                   ,0.0                ,0.0                ,0.0                ,25.0
Lawnmower (right)                  ,0.08695652173913045,0.08791208791208792,0.08602150537634409,186.0
Lunge (both legs)                  ,0.3777292576419213 ,0.3818984547461369 ,0.3736501079913607 ,463.0
Ball Slam                          ,0.4798464491362764 ,0.4562043795620438 ,0.5060728744939271 ,247.0
Triceps Extension (standing - both),0.608433734939759  ,0.5941176470588235 ,0.6234567901234568 ,324.0
Plank                              ,0.6392644672796106 ,0.6466083150984683 ,0.6320855614973262 ,935.0
Power Boat pose                    ,0.463611859838275  ,0.4858757062146893 ,0.4432989690721649 ,194.0
Pushups                            ,0.5507692307692308 ,0.5718849840255591 ,0.5311572700296736 ,337.0
Rowing machine                     ,0.662148070907195  ,0.7641395908543923 ,0.5841766329346826 ,1087.0
Running                            ,0.6333188342757721 ,0.6966507177033493 ,0.580542264752791  ,1254.0
Russian Twist                      ,0.3354838709677419 ,0.3866171003717472 ,0.2962962962962963 ,351.0
Seated Back Fly                    ,0.25               ,0.285              ,0.22265625         ,256.0
Shoulder Press                     ,0.557659208261618  ,0.5382059800664452 ,0.5785714285714286 ,280.0
Squat                              ,0.5454545454545454 ,0.5760495526496903 ,0.5179455445544554 ,1616.0
Triceps Kickback                   ,0.4076690211907165 ,0.3733826247689464 ,0.4488888888888889 ,450.0
Triceps extension (lying)          ,0.4847250509164969 ,0.5336322869955157 ,0.4440298507462687 ,268.0
Dumbbell Curl                      ,0.5193075898801598 ,0.5227882037533512 ,0.5158730158730159 ,378.0
V-up                               ,0.5750708215297451 ,0.5816618911174785 ,0.5686274509803921 ,357.0
Walk                               ,0.6276824034334764 ,0.7267080745341615 ,0.5524079320113314 ,2118.0
Walking lunge                      ,0.4119402985074627 ,0.4220183486238532 ,0.40233236151603496,343.0
Wall Ball                          ,0.6631853785900782 ,0.6512820512820513 ,0.6755319148936171 ,188.0
Wall Squat                         ,0.2347729789590255 ,0.2245762711864407 ,0.2459396751740139 ,431.0
accuracy                           ,0.7301817439248519 ,0.7301817439248519 ,0.7301817439248519 ,0.7301817439248519
macro avg                          ,0.4597499267839826 ,0.4764017270499061 ,0.4472302304249584 ,48970.0
weighted avg                       ,0.7257412364615391 ,0.7250533531464496 ,0.7301817439248519 ,48970.0
