Unnamed: 0                         ,f1-score            ,precision            ,recall              ,support
Noise                              ,0.8272515957643065  ,0.7808386153096051   ,0.8795308332025733  ,25492.0
Band Pull-Down Row                 ,0.006472491909385114,0.0075187969924812035,0.005681818181818182,176.0
Bicep Curl                         ,0.3790149892933619  ,0.3627049180327869   ,0.3968609865470852  ,446.0
Box Jump (on bench)                ,0.3111111111111111  ,0.3684210526315789   ,0.2692307692307692  ,26.0
Burpee                             ,0.19161676646706585 ,0.2006269592476489   ,0.1833810888252149  ,349.0
Butterfly sit-up                   ,0.4946120689655173  ,0.5483870967741935   ,0.450441609421001   ,1019.0
Chest Press                        ,0.11979166666666664 ,0.12365591397849462  ,0.11616161616161615 ,198.0
Crunch                             ,0.2533936651583711  ,0.3708609271523179   ,0.19243986254295534 ,291.0
Dip                                ,0.3348214285714286  ,0.32894736842105265  ,0.3409090909090909  ,220.0
Dumbbell Deadlift Row              ,0.11790393013100438 ,0.14361702127659576  ,0.1                 ,270.0
Dumbbell Row (both)                ,0.0903954802259887  ,0.10619469026548672  ,0.07868852459016394 ,305.0
Dumbbell Row (right)               ,0.12                ,0.15                 ,0.1                 ,60.0
Dumbbell Squat (hands at side)     ,0.2629310344827587  ,0.3546511627906977   ,0.2089041095890411  ,292.0
Elliptical machine                 ,0.5564909171466548  ,0.487956487956488    ,0.6474226804123712  ,970.0
Punches                            ,0.4505747126436782  ,0.4711538461538462   ,0.4317180616740088  ,227.0
Jump Rope                          ,0.5134865134865135  ,0.5611353711790393   ,0.4732965009208103  ,543.0
Jumping Jacks                      ,0.6262626262626263  ,0.7045454545454546   ,0.5636363636363636  ,110.0
Kettlebell Swing                   ,0.6330935251798561  ,0.6346153846153846   ,0.631578947368421   ,209.0
Lateral Raise                      ,0.2208955223880597  ,0.2846153846153846   ,0.1804878048780488  ,205.0
Lawnmower (both)                   ,0.0                 ,0.0                  ,0.0                 ,21.0
Lawnmower (right)                  ,0.09734513274336284 ,0.16417910447761194  ,0.06918238993710693 ,159.0
Lunge (both legs)                  ,0.2122448979591837  ,0.23214285714285715  ,0.19548872180451127 ,399.0
Ball Slam                          ,0.4010282776349615  ,0.4406779661016949   ,0.3679245283018868  ,212.0
Triceps Extension (standing - both),0.4609375           ,0.493723849372385    ,0.43223443223443225 ,273.0
Plank                              ,0.4265536723163842  ,0.4894651539708266   ,0.3779724655819775  ,799.0
Power Boat pose                    ,0.2153846153846154  ,0.2978723404255319   ,0.1686746987951807  ,166.0
Pushups                            ,0.2125813449023861  ,0.28823529411764703  ,0.16838487972508592 ,291.0
Rowing machine                     ,0.4627906976744186  ,0.5031605562579013   ,0.4284176533907427  ,929.0
Running                            ,0.5735586481113321  ,0.6092925026399155   ,0.5417840375586854  ,1065.0
Russian Twist                      ,0.3464566929133859  ,0.4150943396226415   ,0.2972972972972973  ,296.0
Seated Back Fly                    ,0.16666666666666669 ,0.3164556962025317   ,0.11312217194570134 ,221.0
Shoulder Press                     ,0.1293800539083558  ,0.18045112781954886  ,0.10084033613445377 ,238.0
Squat                              ,0.33462033462033464 ,0.4066736183524505   ,0.28425655976676384 ,1372.0
Triceps Kickback                   ,0.3820998278829604  ,0.5606060606060606   ,0.2898172323759791  ,383.0
Triceps extension (lying)          ,0.4433249370277079  ,0.5269461077844312   ,0.3826086956521739  ,230.0
Dumbbell Curl                      ,0.3310580204778157  ,0.3646616541353384   ,0.303125            ,320.0
V-up                               ,0.45825932504440503 ,0.4961538461538462   ,0.4257425742574257  ,303.0
Walk                               ,0.6043518234753293  ,0.6758053461274846   ,0.5465631929046563  ,1804.0
Walking lunge                      ,0.1601489757914339  ,0.17551020408163265  ,0.14726027397260275 ,292.0
Wall Ball                          ,0.1507936507936508  ,0.20212765957446807  ,0.12025316455696206 ,158.0
Wall Squat                         ,0.0970464135021097  ,0.21296296296296294  ,0.06284153005464481 ,366.0
accuracy                           ,0.6780242177196979  ,0.6780242177196979   ,0.6780242177196979  ,0.6780242177196979
macro avg                          ,0.3213841842606135  ,0.3668937731675197   ,0.29449176839852736 ,41705.0
weighted avg                       ,0.6576739711462054  ,0.6477204403025163   ,0.6780242177196979  ,41705.0
