Unnamed: 0                         ,f1-score           ,precision         ,recall             ,support
Noise                              ,0.8986465842753756 ,0.9001865508190363,0.8971118776346011 ,859001.0
Band Pull-Down Row                 ,0.7167639699749793 ,0.7150940256282243,0.7184417321518141 ,5981.0
Bicep Curl                         ,0.6774182821800286 ,0.6731430081945546,0.6817482096245231 ,14941.0
Box Jump (on bench)                ,0.2564971751412429 ,0.2533482142857143,0.2597254004576659 ,874.0
Burpee                             ,0.32499570225202   ,0.3241598079561043,0.32583591864874184,11604.0
Butterfly sit-up                   ,0.7279713486160048 ,0.7241180373265642,0.731865889212828  ,34300.0
Chest Press                        ,0.8475686946161293 ,0.8453654188948306,0.8497834851426012 ,6697.0
Crunch                             ,0.7868485342019544 ,0.7847715736040609,0.7889365176566646 ,9798.0
Dip                                ,0.7000065457877855 ,0.6957709824333116,0.7042939936775553 ,7592.0
Dumbbell Deadlift Row              ,0.4973039079437434 ,0.4976081877850706,0.49700000000000005,9000.0
Dumbbell Row (both)                ,0.5468398102448608 ,0.5415717539863326,0.5522113616568276 ,10333.0
Dumbbell Row (right)               ,0.32610744580584355,0.3258003766478343,0.3264150943396226 ,2120.0
Dumbbell Squat (hands at side)     ,0.7288501078180634 ,0.7278645833333334,0.7298383047102541 ,9957.0
Elliptical machine                 ,0.8330000763184005 ,0.8325807042167572,0.8334198711096179 ,32741.0
Punches                            ,0.6865172298427568 ,0.6972950931086039,0.6760674749604639 ,7588.0
Jump Rope                          ,0.8467423561763184 ,0.8488454609967793,0.8446496469310157 ,18410.0
Jumping Jacks                      ,0.7895981087470451 ,0.7934600335382895,0.7857735953501246 ,3613.0
Kettlebell Swing                   ,0.7003962637984716 ,0.6952795729137398,0.7055888223552894 ,7014.0
Lateral Raise                      ,0.5812014134275618 ,0.5760717287755673,0.5864232743867656 ,7012.0
Lawnmower (both)                   ,0.5027624309392265 ,0.5006877579092159,0.5048543689320388 ,721.0
Lawnmower (right)                  ,0.4494150678521292 ,0.447613721103654 ,0.4512309716218756 ,5321.0
Lunge (both legs)                  ,0.5617133195566409 ,0.5567555489349024,0.5667601789369929 ,13189.0
Ball Slam                          ,0.4102966343411295 ,0.4141355980998993,0.4065281899109792 ,7077.0
Triceps Extension (standing - both),0.8234726688102895 ,0.8178624654034491,0.8291603712497302 ,9266.0
Plank                              ,0.9128386989527344 ,0.9087933507410542,0.9169202226345085 ,26950.0
Power Boat pose                    ,0.8424068767908309 ,0.843010752688172 ,0.8418038654259127 ,5588.0
Pushups                            ,0.5933102182337344 ,0.5894033026035863,0.5972692742018273 ,9741.0
Rowing machine                     ,0.8696221742950716 ,0.8667834394904459,0.8724795640326976 ,31195.0
Running                            ,0.8702494185803613 ,0.8713536728205701,0.8691479596094467 ,35949.0
Russian Twist                      ,0.6137924171559358 ,0.6134871692858563,0.6140979689366786 ,10044.0
Seated Back Fly                    ,0.5857555212458884 ,0.5811134789557805,0.5904723237244552 ,7389.0
Shoulder Press                     ,0.7789799072642969 ,0.7770103601381352,0.7809594644849387 ,8067.0
Squat                              ,0.7322944189808573 ,0.7319707651510252,0.7326183591558414 ,46342.0
Triceps Kickback                   ,0.7169653705953828 ,0.7081989348135924,0.7259515570934256 ,13005.0
Triceps extension (lying)          ,0.8068424803991446 ,0.8036659352007228,0.8100442362737444 ,7686.0
Dumbbell Curl                      ,0.7331760788122659 ,0.7292970187707031,0.7370966241978982 ,10753.0
V-up                               ,0.760923937031043  ,0.7599921630094044,0.7618579986251596 ,10183.0
Walk                               ,0.8514019994587191 ,0.8493471217724253,0.8534668442427531 ,60819.0
Walking lunge                      ,0.5689069236621863 ,0.5672094669768383,0.5706145706145707 ,9828.0
Wall Ball                          ,0.503544776119403  ,0.5080948795180723,0.4990754437869823 ,5408.0
Wall Squat                         ,0.7624096385542168 ,0.7563346613545817,0.768582995951417  ,12350.0
accuracy                           ,0.8376843808411132 ,0.8376843808411132,0.8376843808411132 ,0.8376843808411132
macro avg                          ,0.6762037691414652 ,0.6744989433947999,0.6779542396012402 ,1405447.0
weighted avg                       ,0.8378666766252875 ,0.8380658952528669,0.8376843808411132 ,1405447.0
