Unnamed: 0                         ,f1-score           ,precision          ,recall             ,support
Noise                              ,0.907121223072744  ,0.908444003385774  ,0.9058022893449884 ,859023.0
Band Pull-Down Row                 ,0.7465930942228911 ,0.7466555183946488 ,0.7465306804882127 ,5981.0
Bicep Curl                         ,0.7020762276896585 ,0.6947830646218377 ,0.7095241282377351 ,14941.0
Box Jump (on bench)                ,0.2748603351955308 ,0.2685589519650655 ,0.2814645308924485 ,874.0
Burpee                             ,0.34787476852848714,0.34779987944544904,0.34794968986905583,11608.0
Butterfly sit-up                   ,0.7430727919297481 ,0.7401827540338904 ,0.7459854865502871 ,34313.0
Chest Press                        ,0.8573338284441143 ,0.852333136444182  ,0.8623935454952936 ,6693.0
Crunch                             ,0.7959090215234316 ,0.7932048681541582 ,0.7986316756867149 ,9793.0
Dip                                ,0.7216186324897536 ,0.712853470437018  ,0.7306020287182191 ,7591.0
Dumbbell Deadlift Row              ,0.5418615007793365 ,0.5426468948600736 ,0.5410783768760422 ,8995.0
Dumbbell Row (both)                ,0.6006708193579301 ,0.5951951381635172 ,0.6062481864783829 ,10339.0
Dumbbell Row (right)               ,0.3852864890356048 ,0.385014137606032  ,0.3855592260500236 ,2119.0
Dumbbell Squat (hands at side)     ,0.7571113782051282 ,0.7549940071913703 ,0.7592406588991563 ,9956.0
Elliptical machine                 ,0.8620789557951236 ,0.8608843951760263 ,0.8632768361581921 ,32745.0
Punches                            ,0.7333244218687341 ,0.7434611736007589 ,0.7234603718844784 ,7583.0
Jump Rope                          ,0.8719377304383449 ,0.8768951878707977 ,0.8670360110803325 ,18411.0
Jumping Jacks                      ,0.7962216974579803 ,0.7992191857222533 ,0.7932466094658179 ,3613.0
Kettlebell Swing                   ,0.7254386588051432 ,0.7236394557823129 ,0.7272468309357641 ,7021.0
Lateral Raise                      ,0.5994627456524814 ,0.5940871514642007 ,0.6049365102011699 ,7009.0
Lawnmower (both)                   ,0.4911323328785812 ,0.4832214765100672 ,0.4993065187239945 ,721.0
Lawnmower (right)                  ,0.4705005126293224 ,0.4668022933234696 ,0.4742577978203683 ,5322.0
Lunge (both legs)                  ,0.6054152722847581 ,0.6071237891846542 ,0.6037163443306788 ,13185.0
Ball Slam                          ,0.4591159440756956 ,0.4585978276202568 ,0.4596352325745794 ,7073.0
Triceps Extension (standing - both),0.8412851923490222 ,0.8377742108079187 ,0.8448257256933204 ,9267.0
Plank                              ,0.9106711198863324 ,0.9059402305602468 ,0.9154516787237992 ,26955.0
Power Boat pose                    ,0.8497326203208557 ,0.8461128860489883 ,0.8533834586466166 ,5586.0
Pushups                            ,0.6233252131546895 ,0.6160714285714286 ,0.6307518488085456 ,9736.0
Rowing machine                     ,0.8806352459016393 ,0.8795369511688146 ,0.8817362869874651 ,31193.0
Running                            ,0.8822579747258252 ,0.8828477522143613 ,0.8816689847009735 ,35950.0
Russian Twist                      ,0.6416654215847404 ,0.6417613070332736 ,0.641569564784384  ,10041.0
Seated Back Fly                    ,0.621923024615803  ,0.6252392671588733 ,0.6186417748917749 ,7392.0
Shoulder Press                     ,0.8143868803578085 ,0.8155013684996267 ,0.8132754342431762 ,8060.0
Squat                              ,0.7609958327035605 ,0.7612588288658012 ,0.7607330181959464 ,46329.0
Triceps Kickback                   ,0.729307513082006  ,0.7248500493508465 ,0.7338201383551115 ,13010.0
Triceps extension (lying)          ,0.8312597200622084 ,0.8277197057684863 ,0.8348301444748145 ,7683.0
Dumbbell Curl                      ,0.7479622082252686 ,0.7449261992619927 ,0.7510230654761905 ,10752.0
V-up                               ,0.7659200702678964 ,0.7608337372758119 ,0.7710748673609746 ,10178.0
Walk                               ,0.874614222864272  ,0.8732380515308464 ,0.8759947385728378 ,60820.0
Walking lunge                      ,0.6279116668347281 ,0.6225132460261922 ,0.6334045366697182 ,9831.0
Wall Ball                          ,0.5443720930232558 ,0.5475299401197605 ,0.5412504624491306 ,5406.0
Wall Squat                         ,0.7728974596400822 ,0.7682887786137346 ,0.7775617658971243 ,12345.0
accuracy                           ,0.8517371391084521 ,0.8517371391084521 ,0.8517371391084521 ,0.8517371391084521
macro avg                          ,0.7004180941941589 ,0.6985010170691419 ,0.7023933429681425 ,1405443.0
weighted avg                       ,0.8518946395472058 ,0.8520682360919641 ,0.8517371391084521 ,1405443.0
