Unnamed: 0                         ,f1-score          ,precision          ,recall            ,support
Noise                              ,0.915724651234336 ,0.9166716243976356 ,0.914779632604596 ,859020.0
Band Pull-Down Row                 ,0.7848314134364752,0.7894113667117727 ,0.7803042969403109,5981.0
Bicep Curl                         ,0.7188579017264276,0.7132222149021674 ,0.7245833612208018,14941.0
Box Jump (on bench)                ,0.3372093023255813,0.3431952662721893 ,0.3314285714285714,875.0
Burpee                             ,0.3931254857932464,0.39397611216894585,0.3922785246466736,11604.0
Butterfly sit-up                   ,0.7605515483328987,0.75593112979385   ,0.7652287962693093,34310.0
Chest Press                        ,0.8834519572953736,0.8766921718658034 ,0.8903167961745367,6692.0
Crunch                             ,0.8198257857470327,0.8182003050330452 ,0.8214577378521846,9796.0
Dip                                ,0.7506852891267459,0.7438882421420256 ,0.7576076933210381,7591.0
Dumbbell Deadlift Row              ,0.5978489854751081,0.596130458817026  ,0.5995774491270989,8993.0
Dumbbell Row (both)                ,0.6278679886956938,0.6215857359635811 ,0.6342785251137133,10333.0
Dumbbell Row (right)               ,0.4295143800094295,0.4289077212806026 ,0.4301227573182248,2118.0
Dumbbell Squat (hands at side)     ,0.7895900321543408,0.7896693799618129 ,0.7895107002913694,9953.0
Elliptical machine                 ,0.8874826550372822,0.8861719297177137 ,0.8887972634536679,32742.0
Punches                            ,0.7778150809104948,0.7922308849678567 ,0.7639145344236349,7582.0
Jump Rope                          ,0.9007192676547514,0.9038219694898572 ,0.8976377952755905,18415.0
Jumping Jacks                      ,0.8170495433158041,0.817049543315804  ,0.817049543315804 ,3613.0
Kettlebell Swing                   ,0.7210701394295421,0.7163549430459851 ,0.725847819891707 ,7018.0
Lateral Raise                      ,0.6377801494130202,0.6362862010221465 ,0.6392811296534018,7011.0
Lawnmower (both)                   ,0.5539112050739957,0.5630372492836676 ,0.5450762829403606,721.0
Lawnmower (right)                  ,0.4993409903972886,0.5004717871296471 ,0.498215292128499 ,5323.0
Lunge (both legs)                  ,0.6824780362731421,0.6786142771445711 ,0.6863860447478195,13185.0
Ball Slam                          ,0.4767766406641379,0.4829636073655213 ,0.4707461842849067,7076.0
Triceps Extension (standing - both),0.8391412234329486,0.8393223265350167 ,0.8389601984683421,9271.0
Plank                              ,0.9119914228145738,0.9088162693880558 ,0.9151888402463456,26954.0
Power Boat pose                    ,0.8386179944932942,0.8332156724320509 ,0.8440908278204899,5593.0
Pushups                            ,0.6633638081618061,0.6594902000609323 ,0.6672831894780107,9732.0
Rowing machine                     ,0.9143413575122916,0.9106779445433733 ,0.9180343633799204,31196.0
Running                            ,0.9028043384190176,0.9059785958424384 ,0.8996522464876895,35945.0
Russian Twist                      ,0.6792094070552915,0.683484390735146  ,0.6749875683739434,10055.0
Seated Back Fly                    ,0.6397183289322229,0.6396750169262018 ,0.6397616468039004,7384.0
Shoulder Press                     ,0.8368899610317312,0.8345669874167283 ,0.8392259024934872,8061.0
Squat                              ,0.7921814692627811,0.7913283218816637 ,0.7930364582209078,46327.0
Triceps Kickback                   ,0.7413977672426977,0.7377311116183519 ,0.7451010527933605,13013.0
Triceps extension (lying)          ,0.8426448640581403,0.8407354654926842 ,0.8445629552549427,7688.0
Dumbbell Curl                      ,0.7602040816326531,0.7580943570767807 ,0.7623255813953488,10750.0
V-up                               ,0.7973824050383782,0.7988760721679976 ,0.7958943129358609,10181.0
Walk                               ,0.8951634072712955,0.8932436193376225 ,0.8970914651189557,60821.0
Walking lunge                      ,0.7074249123341972,0.7068142581496902 ,0.7080366225839267,9830.0
Wall Ball                          ,0.5954055321143928,0.6029244208127611 ,0.5880718651602148,5399.0
Wall Squat                         ,0.7848974842514945,0.7776276037525839 ,0.7923045767517214,12345.0
accuracy                           ,0.8672527710222719,0.8672527710222719 ,0.8672527710222719,0.8672527710222719
macro avg                          ,0.7294216632824722,0.7289533355113003 ,0.7299521074680777,1405438.0
weighted avg                       ,0.8673042389655666,0.8673722884935476 ,0.8672527710222719,1405438.0
