Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.7679907586186788  ,0.6758184009045274  ,0.889275773312891   ,858999.0
Band Pull-Down Row                 ,0.05594262295081967 ,0.07222222222222223 ,0.04565217391304348 ,5980.0
Bicep Curl                         ,0.2380952380952381  ,0.24495575221238935 ,0.23160854140170026 ,14939.0
Box Jump (on bench)                ,0.010989010989010988,0.013769363166953529,0.009142857142857144,875.0
Burpee                             ,0.028134692069118297,0.0393981696913293  ,0.02187957619088638 ,11609.0
Butterfly sit-up                   ,0.2258803917482809  ,0.27935744351859804 ,0.18958782720223868 ,34306.0
Chest Press                        ,0.2054510811034712  ,0.2307406029028657  ,0.1851575332238316  ,6697.0
Crunch                             ,0.1592425220572412  ,0.2677925211097708  ,0.11331155573703552 ,9796.0
Dip                                ,0.04887085391672548 ,0.07400480897675661 ,0.0364809693138417  ,7593.0
Dumbbell Deadlift Row              ,0.030616092300731475,0.047619047619047616,0.02256056901533674 ,8998.0
Dumbbell Row (both)                ,0.07591377694470479 ,0.12323407954792436 ,0.05485150430492406 ,10337.0
Dumbbell Row (right)               ,0.005809731299927378,0.012558869701726844,0.003778932451582428,2117.0
Dumbbell Squat (hands at side)     ,0.05109052883178966 ,0.09973753280839896 ,0.034340797268802084,9959.0
Elliptical machine                 ,0.2407802273190811  ,0.3063892034730087  ,0.1983140404996793  ,32741.0
Punches                            ,0.017851450430347464,0.045977011494252866,0.011075949367088608,7584.0
Jump Rope                          ,0.08109146810146041 ,0.13872452333990795 ,0.05729025251153951 ,18415.0
Jumping Jacks                      ,0.056251283104085406,0.10881652104845116 ,0.037929125138427465,3612.0
Kettlebell Swing                   ,0.2815325010761946  ,0.35543478260869565 ,0.23307198859586603 ,7015.0
Lateral Raise                      ,0.1001103420603872  ,0.16880920162381596 ,0.07115357193782974 ,7013.0
Lawnmower (both)                   ,0.018223234624145792,0.05128205128205128 ,0.0110803324099723  ,722.0
Lawnmower (right)                  ,0.042052639317747394,0.09655638082376773 ,0.026879699248120302,5320.0
Lunge (both legs)                  ,0.044718408517792095,0.0856774747691647  ,0.030254777070063694,13188.0
Ball Slam                          ,0.09124986612402272 ,0.1883289124668435  ,0.06021201413427563 ,7075.0
Triceps Extension (standing - both),0.20027247956403268 ,0.3352762290927522  ,0.14278005611914527 ,9266.0
Plank                              ,0.7943432777993026  ,0.8311172369061132  ,0.7606856634016028  ,26952.0
Power Boat pose                    ,0.4760981912144703  ,0.5975675675675676  ,0.3956692913385827  ,5588.0
Pushups                            ,0.04830609804703069 ,0.1080984659293614  ,0.031102443030178607,9742.0
Rowing machine                     ,0.2199610494759185  ,0.3465250965250965  ,0.16111556339156916 ,31195.0
Running                            ,0.21635664553673487 ,0.4277964987260623  ,0.14479247802381218 ,35948.0
Russian Twist                      ,0.2398557258791704  ,0.3960146587265232  ,0.1720226843100189  ,10051.0
Seated Back Fly                    ,0.0528862383256442  ,0.15677118078719146 ,0.031808337845154314,7388.0
Shoulder Press                     ,0.08314451778149938 ,0.2022041207474844  ,0.052331349206349215,8064.0
Squat                              ,0.19758901732312747 ,0.3503489202703445  ,0.13759468266471006 ,46339.0
Triceps Kickback                   ,0.10562964711436328 ,0.2272150291952272  ,0.06880910279080495 ,13007.0
Triceps extension (lying)          ,0.14908210611256809 ,0.33198562443845464 ,0.09612382934443288 ,7688.0
Dumbbell Curl                      ,0.20959285390640173 ,0.34468809878645945 ,0.15057663690476192 ,10752.0
V-up                               ,0.18681077923026365 ,0.3643874643874644  ,0.1256014926838849  ,10183.0
Walk                               ,0.2841955424601081  ,0.360125129291859   ,0.2347089773100953  ,60820.0
Walking lunge                      ,0.042115653532943984,0.10982410982410984 ,0.026053327905556686,9826.0
Wall Ball                          ,0.061086346376093774,0.28771384136858474 ,0.03417066863686738 ,5414.0
Wall Squat                         ,0.4589676203699112  ,0.5918158567774936  ,0.37482789341540457 ,12347.0
accuracy                           ,0.6092097960809983  ,0.6092097960809983  ,0.6092097960809983  ,0.6092097960809983
macro avg                          ,0.16839469540611188 ,0.2462604879673322  ,0.13940645950523814 ,1405460.0
weighted avg                       ,0.5510424257888421  ,0.5307906930789341  ,0.6092097960809983  ,1405460.0
