Unnamed: 0                         ,f1-score             ,precision           ,recall              ,support
Noise                              ,0.7996381439355141   ,0.7255053134489149  ,0.890645118478557   ,858974.0
Band Pull-Down Row                 ,0.2036967182195398   ,0.23371564596407704 ,0.18051144910579975 ,5983.0
Bicep Curl                         ,0.16827344434706396  ,0.19543281996813594 ,0.14774171963867513 ,14945.0
Box Jump (on bench)                ,0.0034843205574912896,0.007326007326007327,0.002285714285714286,875.0
Burpee                             ,0.037188889530519145 ,0.05642193797091291 ,0.02773471145564169 ,11610.0
Butterfly sit-up                   ,0.28583396163190083  ,0.3359458075696113  ,0.2487315565405027  ,34294.0
Chest Press                        ,0.4991443630638648   ,0.4606443461781428  ,0.5446668658500149  ,6694.0
Crunch                             ,0.3597481287869788   ,0.4302970015631661  ,0.3090742063897111  ,9797.0
Dip                                ,0.16720102596986214  ,0.2135544635544636  ,0.13738145416227607 ,7592.0
Dumbbell Deadlift Row              ,0.1364009860312243   ,0.15804892339241247 ,0.11996886813431175 ,8994.0
Dumbbell Row (both)                ,0.22102045614860094  ,0.28156357645649244 ,0.1819061441702951  ,10335.0
Dumbbell Row (right)               ,0.008673653776653415 ,0.018604651162790697,0.005655042412818096,2122.0
Dumbbell Squat (hands at side)     ,0.2646778800380831   ,0.359792924935289   ,0.2093373493975904  ,9960.0
Elliptical machine                 ,0.4645759248234026   ,0.4909202203631912  ,0.440915060627348   ,32741.0
Punches                            ,0.06760623079368443  ,0.17196765498652292 ,0.04207333157478238 ,7582.0
Jump Rope                          ,0.41163556531284295  ,0.5075232863625507  ,0.3462227773855428  ,18413.0
Jumping Jacks                      ,0.06322393822393822  ,0.24763705103969755 ,0.036237897648686034,3615.0
Kettlebell Swing                   ,0.1143276693937487   ,0.21687226422602468 ,0.07762427004700186 ,7021.0
Lateral Raise                      ,0.08308157099697884  ,0.17080745341614906 ,0.05489021956087824 ,7014.0
Lawnmower (both)                   ,0.2695035460992908   ,0.5                 ,0.18446601941747573 ,721.0
Lawnmower (right)                  ,0.022933588150979446 ,0.07515657620041752 ,0.01353129111069348 ,5321.0
Lunge (both legs)                  ,0.114288653430717    ,0.177731562949928   ,0.08422409218406489 ,13191.0
Ball Slam                          ,0.032250525823790614 ,0.09336941813261164 ,0.01949152542372881 ,7080.0
Triceps Extension (standing - both),0.4659538548114801   ,0.5543817884243416  ,0.4018550474547024  ,9272.0
Plank                              ,0.8677196632932941   ,0.8851497375733249  ,0.8509627870737951  ,26953.0
Power Boat pose                    ,0.6529770092356062   ,0.7241229025931576  ,0.5945607443191985  ,5589.0
Pushups                            ,0.08505946286524375  ,0.18249408583981075 ,0.05545286506469501 ,9738.0
Rowing machine                     ,0.4806370016744451   ,0.5407647907647908  ,0.4325424815646041  ,31190.0
Running                            ,0.3635569896554997   ,0.5722736779205259  ,0.2663977746870654  ,35950.0
Russian Twist                      ,0.11819198211148378  ,0.29995946493717063 ,0.07359522625559423 ,10055.0
Seated Back Fly                    ,0.10722559293987866  ,0.2884272997032641  ,0.06585365853658537 ,7380.0
Shoulder Press                     ,0.3837252155966685   ,0.4735310169183191  ,0.32255266418835193 ,8070.0
Squat                              ,0.35589049095535386  ,0.5002931863492436  ,0.276176089771256   ,46340.0
Triceps Kickback                   ,0.20810903676554804  ,0.4078563411896745  ,0.13969401091719846 ,13007.0
Triceps extension (lying)          ,0.4240837696335079   ,0.5716806352007058  ,0.3370611183355007  ,7690.0
Dumbbell Curl                      ,0.1333711691259932   ,0.2812687013764213  ,0.08740933606100056 ,10754.0
V-up                               ,0.2258861127251598   ,0.4331476323119777  ,0.15278050697583026 ,10178.0
Walk                               ,0.6083754403369681   ,0.6224902362231819  ,0.5948865504768168  ,60820.0
Walking lunge                      ,0.14424141749723146  ,0.2258344169917642  ,0.10595891803945497 ,9834.0
Wall Ball                          ,0.053991769547325104 ,0.24514200298953664 ,0.030336662967073626,5406.0
Wall Squat                         ,0.6142173993010852   ,0.7108343976160069  ,0.5407221502590673  ,12352.0
accuracy                           ,0.6651176987901402   ,0.6651176987901402  ,0.6651176987901402  ,0.6651176987901402
macro avg                          ,0.2705273795892303   ,0.3572802737095299  ,0.2349784214134123  ,1405452.0
weighted avg                       ,0.6260789478072832   ,0.6136122396908694  ,0.6651176987901402  ,1405452.0
