Unnamed: 0                         ,f1-score           ,precision           ,recall              ,support
Noise                              ,0.8262709989213618 ,0.7622434032740891  ,0.9020414768110306  ,858986.0
Band Pull-Down Row                 ,0.3435709589555743 ,0.39190057853010496 ,0.3058528428093645  ,5980.0
Bicep Curl                         ,0.2161520190023753 ,0.2645605194301773  ,0.1827186935278763  ,14941.0
Box Jump (on bench)                ,0.01218450826805918,0.025547445255474453,0.008               ,875.0
Burpee                             ,0.06339898207568045,0.08860368022266893 ,0.049358256525109834,11609.0
Butterfly sit-up                   ,0.34082096536970186,0.3994358693097234  ,0.2972074855710372  ,34306.0
Chest Press                        ,0.5840646329572364 ,0.5473175825610234  ,0.6261012393609079  ,6697.0
Crunch                             ,0.5025251092322532 ,0.5657339977002683  ,0.4520212331563904  ,9796.0
Dip                                ,0.3046597688996299 ,0.35711756373937675 ,0.26563940471486897 ,7593.0
Dumbbell Deadlift Row              ,0.1917989417989418 ,0.20893371757925072 ,0.17726161369193155 ,8998.0
Dumbbell Row (both)                ,0.31287674378552155,0.3847783112115222  ,0.263616136209732   ,10337.0
Dumbbell Row (right)               ,0.03943661971830986,0.07745504840940526 ,0.026452527161076995,2117.0
Dumbbell Squat (hands at side)     ,0.4327857473391948 ,0.5104379860826852  ,0.375640124510493   ,9959.0
Elliptical machine                 ,0.6091389264218154 ,0.6124679655417297  ,0.6058458813108946  ,32741.0
Punches                            ,0.18319226118500606,0.3884615384615385  ,0.11985759493670885 ,7584.0
Jump Rope                          ,0.5682493481292826 ,0.643303356902588   ,0.5088786315503665  ,18415.0
Jumping Jacks                      ,0.12681073379244834,0.4457429048414023  ,0.0739202657807309  ,3612.0
Kettlebell Swing                   ,0.144960362400906  ,0.2609340252038547  ,0.10035637918745544 ,7015.0
Lateral Raise                      ,0.1364262260353776 ,0.2652388797364086  ,0.09182945957507486 ,7013.0
Lawnmower (both)                   ,0.3195146612740142 ,0.5917602996254682  ,0.2188365650969529  ,722.0
Lawnmower (right)                  ,0.02828217901333762,0.097452934662237   ,0.016541353383458645,5320.0
Lunge (both legs)                  ,0.20498130795746952,0.28492374139559995 ,0.16006976038823173 ,13188.0
Ball Slam                          ,0.05000589692180681,0.150997150997151   ,0.029964664310954063,7075.0
Triceps Extension (standing - both),0.5714454416627303 ,0.6308996088657106  ,0.5222318152385064  ,9266.0
Plank                              ,0.8949626689348833 ,0.9121874157130196  ,0.8783763728109231  ,26952.0
Power Boat pose                    ,0.7550341769813412 ,0.7802596410843834  ,0.7313886900501074  ,5588.0
Pushups                            ,0.12782301428790904,0.25396825396825395 ,0.08540340792445084 ,9742.0
Rowing machine                     ,0.6216252563628416 ,0.653529390972394   ,0.5926911364000641  ,31195.0
Running                            ,0.5416780915821223 ,0.7054097482592394  ,0.4396350283743185  ,35948.0
Russian Twist                      ,0.1715939308618802 ,0.4010968921389397  ,0.10914336881902298 ,10051.0
Seated Back Fly                    ,0.16144867459365114,0.415964024732996   ,0.10016242555495397 ,7388.0
Shoulder Press                     ,0.5447802966694655 ,0.6250802825947335  ,0.4827628968253968  ,8064.0
Squat                              ,0.484395776300352  ,0.6117348786671496  ,0.40093657610220335 ,46339.0
Triceps Kickback                   ,0.3620295279683926 ,0.5589982340664633  ,0.2677020066118244  ,13007.0
Triceps extension (lying)          ,0.5234290981717622 ,0.6392120075046904  ,0.4431581685744017  ,7688.0
Dumbbell Curl                      ,0.22304244661218034,0.38280542986425337 ,0.15736607142857142 ,10752.0
V-up                               ,0.3202889825406382 ,0.502308015107008   ,0.2350977118727291  ,10183.0
Walk                               ,0.7158986326584276 ,0.7155693540968526  ,0.7162282144031569  ,60820.0
Walking lunge                      ,0.2574118844636722 ,0.3434051943642845  ,0.2058614022590821  ,9827.0
Wall Ball                          ,0.09537344070740564,0.32508073196986004 ,0.05588452997779423 ,5404.0
Wall Squat                         ,0.6927580893682589 ,0.7588734567901234  ,0.6372398153397586  ,12347.0
accuracy                           ,0.7115166780510018 ,0.7115166780510018  ,0.7115166780510018  ,0.7115166780510018
macro avg                          ,0.35627139829715165,0.4522373429618074  ,0.3151044201984857  ,1405440.0
weighted avg                       ,0.682120944456011  ,0.6743005862265548  ,0.7115166780510018  ,1405440.0
