Unnamed: 0                         ,f1-score             ,precision           ,recall               ,support
Noise                              ,0.524767303845938    ,0.6368526945550665  ,0.44623110781018815  ,859019.0
Band Pull-Down Row                 ,0.11508810572687228  ,0.3265625           ,0.06985294117647059  ,5984.0
Bicep Curl                         ,0.022001643800973632 ,0.19795221843003413 ,0.011648145668764223 ,14938.0
Box Jump (on bench)                ,0.002171552660152009 ,0.021739130434782608,0.001142857142857143 ,875.0
Burpee                             ,0.07236557589736198  ,0.2216335540838852  ,0.04324231199931088  ,11609.0
Butterfly sit-up                   ,0.2517616281522947   ,0.2432924674477397  ,0.26084168803917     ,34312.0
Chest Press                        ,0.4312199264081517   ,0.2825351198479299  ,0.9102315160567588   ,6695.0
Crunch                             ,0.045718485850790164 ,0.08160587772238258 ,0.031754135184807034 ,9794.0
Dip                                ,0.2727577910815196   ,0.17316094199552445 ,0.6420387198735678   ,7593.0
Dumbbell Deadlift Row              ,0.2348711803475135   ,0.2302434856898761  ,0.2396887159533074   ,8995.0
Dumbbell Row (both)                ,0.0249707854111569   ,0.034273172378862064,0.019640092879256967 ,10336.0
Dumbbell Row (right)               ,0.0                  ,0.0                 ,0.0                  ,2117.0
Dumbbell Squat (hands at side)     ,0.14893837389953393  ,0.08992558314051655 ,0.4332630310334438   ,9957.0
Elliptical machine                 ,0.347615434542147    ,0.24804310389813705 ,0.5807446776016372   ,32739.0
Punches                            ,0.1527927927927928   ,0.8582995951417004  ,0.08386075949367089  ,7584.0
Jump Rope                          ,0.2342643247912468   ,0.24932581515077226 ,0.2209188660801564   ,18414.0
Jumping Jacks                      ,0.2883606051250386   ,0.3258897418004187  ,0.2585825027685493   ,3612.0
Kettlebell Swing                   ,0.017776632745072782 ,0.09261744966442953 ,0.009831860929039612 ,7018.0
Lateral Raise                      ,0.007948471974784158 ,0.10175438596491228 ,0.004135767256132346 ,7012.0
Lawnmower (both)                   ,0.0                  ,0.0                 ,0.0                  ,721.0
Lawnmower (right)                  ,0.0014986886474334955,0.2352941176470588  ,0.0007517383950385267,5321.0
Lunge (both legs)                  ,0.1955680352128709   ,0.1304017811962352  ,0.3909283980582524   ,13184.0
Ball Slam                          ,0.03808585734219815  ,0.045436741088915   ,0.0327822523668221   ,7077.0
Triceps Extension (standing - both),0.3921238032155116   ,0.2719338539274231  ,0.7027085356641848   ,9267.0
Plank                              ,0.23156802738731266  ,0.1346012373521147  ,0.8282131196200653   ,26952.0
Power Boat pose                    ,0.15321414486657028  ,0.0843556617088264  ,0.8339892665474061   ,5590.0
Pushups                            ,0.054592447834583634 ,0.03937616514345474 ,0.0889756498510223   ,9733.0
Rowing machine                     ,0.4055802950180907   ,0.44337111128014    ,0.3737257164839392   ,31194.0
Running                            ,0.1081207826381471   ,0.852506162695152   ,0.05772065982363905  ,35949.0
Russian Twist                      ,0.14094493886115333  ,0.2583554376657825  ,0.09690578051935132  ,10051.0
Seated Back Fly                    ,0.0                  ,0.0                 ,0.0                  ,7390.0
Shoulder Press                     ,0.26537721624291577  ,0.22844866171336495 ,0.31654676258992803  ,8062.0
Squat                              ,0.014534280137868028 ,0.19104803493449785 ,0.0075545003237643   ,46330.0
Triceps Kickback                   ,0.07507890672218118  ,0.2974986695050559  ,0.04296034429757147  ,13012.0
Triceps extension (lying)          ,0.17600487210718635  ,0.40083217753120665 ,0.11275848614904407  ,7689.0
Dumbbell Curl                      ,0.17425373134328356  ,0.26280247608328644 ,0.13033770583310075  ,10749.0
V-up                               ,0.2259650137342779   ,0.4279846659364732  ,0.1535061873895109   ,10182.0
Walk                               ,0.5042200329397855   ,0.3982332088129908  ,0.6870817645221223   ,60821.0
Walking lunge                      ,0.16118875190738002  ,0.09148143566057708 ,0.6772158339269361   ,9827.0
Wall Ball                          ,0.0                  ,0.0                 ,0.0                  ,5408.0
Wall Squat                         ,0.0                  ,0.0                 ,0.0                  ,12342.0
accuracy                           ,0.38867369547491415  ,0.38867369547491415 ,0.38867369547491415  ,0.38867369547491415
macro avg                          ,0.15886123027346566  ,0.22462605944462252 ,0.23908079022704365  ,1405454.0
weighted avg                       ,0.4000554561697151   ,0.4975797907810976  ,0.38867369547491415  ,1405454.0
