Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.7147333171628875  ,0.7230339139715272  ,0.7066211427693367  ,859036.0
Band Pull-Down Row                 ,0.09284897751809984 ,0.07485919098822325 ,0.12222036448754388 ,5981.0
Bicep Curl                         ,0.205893536121673   ,0.19548736462093866 ,0.21746987951807228 ,14940.0
Box Jump (on bench)                ,0.015281757402101243,0.013114754098360656,0.01830663615560641 ,874.0
Burpee                             ,0.08749307223351192 ,0.07659959888723555 ,0.1019986216402481  ,11608.0
Butterfly sit-up                   ,0.3140918304397638  ,0.3166217536794101  ,0.3116020167283537  ,34313.0
Chest Press                        ,0.2819231714309116  ,0.3120014503263234  ,0.257134319438219   ,6693.0
Crunch                             ,0.14736631484167878 ,0.14444008629142968 ,0.15041356070662718 ,9793.0
Dip                                ,0.1428933367114264  ,0.13761132121507869 ,0.14859702279014622 ,7591.0
Dumbbell Deadlift Row              ,0.10659000442282177 ,0.10601561640822613 ,0.10717065036131183 ,8995.0
Dumbbell Row (both)                ,0.06659563132658497 ,0.061551087402544113,0.07254086468710708 ,10339.0
Dumbbell Row (right)               ,0.033221099887766566,0.031678082191780824,0.034922133081642284,2119.0
Dumbbell Squat (hands at side)     ,0.15294486871011612 ,0.15957214581969004 ,0.14684612294094013 ,9956.0
Elliptical machine                 ,0.37730345561236733 ,0.43055174844343497 ,0.33577645442052223 ,32745.0
Punches                            ,0.2715811141129552  ,0.2651010925530579  ,0.2783858631148622  ,7583.0
Jump Rope                          ,0.28125             ,0.2864950138035945  ,0.2761935799250448  ,18411.0
Jumping Jacks                      ,0.4703714204706549  ,0.4821272885789015  ,0.4591752006642679  ,3613.0
Kettlebell Swing                   ,0.38581477989701934 ,0.3930260047281324  ,0.378863409770688   ,7021.0
Lateral Raise                      ,0.12174393698611205 ,0.11803322615219722 ,0.1256955343130261  ,7009.0
Lawnmower (both)                   ,0.004376367614879649,0.004615384615384616,0.004160887656033287,721.0
Lawnmower (right)                  ,0.08176218032480867 ,0.08123145400593472 ,0.08229988726042843 ,5322.0
Lunge (both legs)                  ,0.11542629426364175 ,0.10705485669822333 ,0.12521805081532045 ,13185.0
Ball Slam                          ,0.15794099183929694 ,0.1420345489443378  ,0.17785946557330695 ,7073.0
Triceps Extension (standing - both),0.4511928270267385  ,0.4463569165786695  ,0.4561346714146973  ,9267.0
Plank                              ,0.3336677998592245  ,0.2797729669998493  ,0.413281394917455   ,26955.0
Power Boat pose                    ,0.229875786417164   ,0.20918966529653552 ,0.2551020408163265  ,5586.0
Pushups                            ,0.1375182177805538  ,0.13940481215702827 ,0.1356820049301561  ,9736.0
Rowing machine                     ,0.23898392949714875 ,0.2592120553285602  ,0.22168435225851954 ,31193.0
Running                            ,0.3527259650713738  ,0.4027276946695705  ,0.313769123783032   ,35950.0
Russian Twist                      ,0.1844885100074129  ,0.1724854890409772  ,0.19828702320486008 ,10041.0
Seated Back Fly                    ,0.13260584294495475 ,0.13545929166078735 ,0.12987012987012986 ,7392.0
Shoulder Press                     ,0.2839957035445757  ,0.2503787878787879  ,0.32803970223325063 ,8060.0
Squat                              ,0.2560417788896092  ,0.22186708860759494 ,0.3026613999870492  ,46329.0
Triceps Kickback                   ,0.20699802619773908 ,0.19414338606529788 ,0.22167563412759414 ,13010.0
Triceps extension (lying)          ,0.27416643317455874 ,0.2968299711815562  ,0.25471820903292985 ,7683.0
Dumbbell Curl                      ,0.2279672115244701  ,0.2382159148504815  ,0.21856398809523808 ,10752.0
V-up                               ,0.22011241793018752 ,0.2119530610388429  ,0.2289251326390253  ,10178.0
Walk                               ,0.29886225480411555 ,0.33341430827159    ,0.27079907925024665 ,60820.0
Walking lunge                      ,0.11503550768941355 ,0.10696169319573202 ,0.12442771390782377 ,9829.0
Wall Ball                          ,0.1501227045781501  ,0.13857209810967036 ,0.16377400295420974 ,5416.0
Wall Squat                         ,0.038507718696397936,0.04091116173120729 ,0.036371000405022266,12345.0
accuracy                           ,0.5277072395360105  ,0.5277072395360105  ,0.5277072395360105  ,0.5277072395360105
macro avg                          ,0.2137150267064602  ,0.2131881304167489  ,0.21739605543039564 ,1405463.0
weighted avg                       ,0.5322158903808585  ,0.5389751225294886  ,0.5277072395360105  ,1405463.0
