Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.7350495388042836  ,0.6792312735487642  ,0.8008633565897879  ,858973.0
Band Pull-Down Row                 ,0.1421039824803309  ,0.1379527559055118  ,0.14651279478173607 ,5979.0
Bicep Curl                         ,0.10943646064571404 ,0.130965697240865   ,0.09398621981403438 ,14949.0
Box Jump (on bench)                ,0.0                 ,0.0                 ,0.0                 ,875.0
Burpee                             ,0.03581800580832527 ,0.04766676209561981 ,0.028687112336319782,11608.0
Butterfly sit-up                   ,0.17177067282999486 ,0.1910798457363234  ,0.15600583090379008 ,34300.0
Chest Press                        ,0.3534499705130725  ,0.3148126532041555  ,0.4028981177173589  ,6694.0
Crunch                             ,0.14300548879988131 ,0.13871834228702992 ,0.14756607817124195 ,9799.0
Dip                                ,0.13848047153313034 ,0.13628250892401836 ,0.14075049374588544 ,7595.0
Dumbbell Deadlift Row              ,0.08875358585562906 ,0.0937190900098912  ,0.08428777938396531 ,8993.0
Dumbbell Row (both)                ,0.09739754711337124 ,0.12758620689655173 ,0.0787614900822448  ,10335.0
Dumbbell Row (right)               ,0.014169323414806943,0.028490028490028487,0.00942951438000943 ,2121.0
Dumbbell Squat (hands at side)     ,0.16955948903018844 ,0.1973859695918912  ,0.14860929812230145 ,9959.0
Elliptical machine                 ,0.32416127133608    ,0.3127750802169407  ,0.33640778181596065 ,32743.0
Punches                            ,0.02573025413898555 ,0.06421052631578948 ,0.01608861927996835 ,7583.0
Jump Rope                          ,0.2813236416741345  ,0.3616966800375523  ,0.23017597219204866 ,18412.0
Jumping Jacks                      ,0.013823747222907927,0.06407322654462243 ,0.00774764803541782 ,3614.0
Kettlebell Swing                   ,0.024733114892717473,0.04793117574764441 ,0.016666666666666666,7020.0
Lateral Raise                      ,0.019763275057009446,0.04151459854014598 ,0.012968505059142084,7017.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                 ,721.0
Lawnmower (right)                  ,0.004434589800443459,0.014084507042253518,0.002631578947368421,5320.0
Lunge (both legs)                  ,0.1101360678367186  ,0.1574570059204962  ,0.08468536770280516 ,13190.0
Ball Slam                          ,0.010809540594524734,0.03212290502793296 ,0.006498092950981777,7079.0
Triceps Extension (standing - both),0.3830193179108037  ,0.4284380418834201  ,0.3463072776280323  ,9275.0
Plank                              ,0.4664901859504132  ,0.4128571428571429  ,0.5361383199762539  ,26952.0
Power Boat pose                    ,0.4648699763593381  ,0.4928814918788851  ,0.4398711524695776  ,5588.0
Pushups                            ,0.03565915405989503 ,0.07182835820895522 ,0.023716632443531827,9740.0
Rowing machine                     ,0.3086605163412715  ,0.34885224700937606 ,0.27677311786584585 ,31188.0
Running                            ,0.2136158180840684  ,0.37589348283111423 ,0.14920308197268506 ,35951.0
Russian Twist                      ,0.02299037991195173 ,0.06359945872801083 ,0.014031246890237834,10049.0
Seated Back Fly                    ,0.022584692597239647,0.07168718320057929 ,0.013403736799350122,7386.0
Shoulder Press                     ,0.2959486938839356  ,0.2553995680345572  ,0.3518036444775009  ,8067.0
Squat                              ,0.2273953707848855  ,0.2587849746640229  ,0.20279690096467187 ,46337.0
Triceps Kickback                   ,0.1192352137829604  ,0.18819432929862376 ,0.0872607057738141  ,13007.0
Triceps extension (lying)          ,0.19104529314973587 ,0.2858994297563505  ,0.14345168422421642 ,7689.0
Dumbbell Curl                      ,0.07507987220447285 ,0.09712177121771218 ,0.06119222542546266 ,10753.0
V-up                               ,0.13027792624265094 ,0.20363408521303256 ,0.09577603143418467 ,10180.0
Walk                               ,0.541811037685301   ,0.5929632525410476  ,0.4987832949687603  ,60820.0
Walking lunge                      ,0.16982214572576018 ,0.2276144907723855  ,0.13543467208947635 ,9835.0
Wall Ball                          ,0.031119666345845363,0.11630695443645085 ,0.017962962962962962,5400.0
Wall Squat                         ,0.18666118167326576 ,0.2557058326289096  ,0.1469754636002915  ,12349.0
accuracy                           ,0.5729359740153475  ,0.5729359740153475  ,0.5729359740153475  ,0.5729359740153475
macro avg                          ,0.16829747517258647 ,0.19676631547523424 ,0.15836854806453393 ,1405445.0
weighted avg                       ,0.5395982034298978  ,0.5198834358285195  ,0.5729359740153475  ,1405445.0
