Unnamed: 0                         ,f1-score              ,precision           ,recall                ,support
Noise                              ,0.4827395750825564    ,0.5888578649576317  ,0.4090284156326142    ,858999.0
Band Pull-Down Row                 ,0.0                   ,0.0                 ,0.0                   ,5980.0
Bicep Curl                         ,0.3075388526014351    ,0.29609665427509296 ,0.3199009304504987    ,14939.0
Box Jump (on bench)                ,0.0                   ,0.0                 ,0.0                   ,875.0
Burpee                             ,0.011417950079660115  ,0.02489146164978292 ,0.007408045481953656  ,11609.0
Butterfly sit-up                   ,0.24327664182432004   ,0.21607187309058812 ,0.278318661458637     ,34306.0
Chest Press                        ,0.3956887230109177    ,0.2581467322046241  ,0.8469463939077199    ,6697.0
Crunch                             ,0.013587954461990452  ,0.06751824817518247 ,0.007554103715802369  ,9796.0
Dip                                ,0.2617259102181649    ,0.1799802273850717  ,0.479520611089161     ,7593.0
Dumbbell Deadlift Row              ,0.00021915406530791145,0.0078125           ,0.00011113580795732383,8998.0
Dumbbell Row (both)                ,0.0071428571428571435 ,0.046349942062572425,0.003869594659959369  ,10337.0
Dumbbell Row (right)               ,0.0                   ,0.0                 ,0.0                   ,2117.0
Dumbbell Squat (hands at side)     ,0.07850405595825981   ,0.04493271717964368 ,0.3104729390501054    ,9959.0
Elliptical machine                 ,0.17204409153348746   ,0.19051682558527808 ,0.15683699337222445   ,32741.0
Punches                            ,0.014573845152895254  ,0.5544554455445545  ,0.0073839662447257376 ,7584.0
Jump Rope                          ,0.08063627057248603   ,0.14664184447945008 ,0.05560684224816725   ,18415.0
Jumping Jacks                      ,0.3002967359050446    ,0.2628298358612092  ,0.3502214839424142    ,3612.0
Kettlebell Swing                   ,0.2914647782333209    ,0.2582847076956953  ,0.3344262295081967    ,7015.0
Lateral Raise                      ,0.02735600451750533   ,0.11401673640167365 ,0.01554256381006702   ,7013.0
Lawnmower (both)                   ,0.0                   ,0.0                 ,0.0                   ,722.0
Lawnmower (right)                  ,0.0                   ,0.0                 ,0.0                   ,5320.0
Lunge (both legs)                  ,0.14693723519220542   ,0.0949477931233235  ,0.3247649378222627    ,13188.0
Ball Slam                          ,0.019040063466878226  ,0.031904287138584245,0.013568904593639576  ,7075.0
Triceps Extension (standing - both),0.4622706990580069    ,0.4275495231107849  ,0.5031297215627023    ,9266.0
Plank                              ,0.17258082517950818   ,0.09590717753206693 ,0.8605669338082517    ,26952.0
Power Boat pose                    ,0.14671422909235035   ,0.08048776245064101 ,0.8280243378668576    ,5588.0
Pushups                            ,0.14781966001478195   ,0.1847859562673237  ,0.12317799219872715   ,9742.0
Rowing machine                     ,0.0                   ,0.0                 ,0.0                   ,31195.0
Running                            ,0.18726037532790746   ,0.4826071882584075  ,0.11616779793034385   ,35948.0
Russian Twist                      ,0.2015065913370998    ,0.2730056131995237  ,0.159685603422545     ,10051.0
Seated Back Fly                    ,0.0                   ,0.0                 ,0.0                   ,7388.0
Shoulder Press                     ,0.3044226387015765    ,0.2435449066150755  ,0.40587797619047616   ,8064.0
Squat                              ,0.02630410275680661   ,0.06307856148111739 ,0.01661667278102678   ,46339.0
Triceps Kickback                   ,0.2820527107594584    ,0.5123481781376519  ,0.19458752979165064   ,13007.0
Triceps extension (lying)          ,0.06871361716699008   ,0.2805219012115564  ,0.039151925078043714  ,7688.0
Dumbbell Curl                      ,0.09120427159246698   ,0.20341165111039589 ,0.0587797619047619    ,10752.0
V-up                               ,0.14991155660377356   ,0.3004431314623338  ,0.09987233624668564   ,10183.0
Walk                               ,0.39018419062512016   ,0.3197113869809062  ,0.5005097007563302    ,60820.0
Walking lunge                      ,0.0817350961477519    ,0.046682014971837306,0.3281090983106045    ,9826.0
Wall Ball                          ,0.09462296140804133   ,0.3761232349165597  ,0.054118950868119686  ,5414.0
Wall Squat                         ,0.0                   ,0.0                 ,0.0                   ,12347.0
accuracy                           ,0.33764603759623185   ,0.33764603759623185 ,0.33764603759623185   ,0.33764603759623185
macro avg                          ,0.13808522499490086   ,0.17742594840283268 ,0.20024046564666426   ,1405460.0
weighted avg                       ,0.35673121942230324   ,0.4344998001272489  ,0.33764603759623185   ,1405460.0
