Unnamed: 0                         ,f1-score            ,precision           ,recall               ,support
Noise                              ,0.5492515845071589  ,0.638563082652367   ,0.4818574438610991   ,859030.0
Band Pull-Down Row                 ,0.008010253123998721,0.09615384615384616 ,0.004179204279505183 ,5982.0
Bicep Curl                         ,0.006370644072115692,0.06622516556291391 ,0.0033462722527104805,14942.0
Box Jump (on bench)                ,0.0                 ,0.0                 ,0.0                  ,876.0
Burpee                             ,0.0396585333064462  ,0.09021406727828746 ,0.025415697423968292 ,11607.0
Butterfly sit-up                   ,0.09956245027844074 ,0.15677063760491045 ,0.07294398787666842  ,34314.0
Chest Press                        ,0.45410238557660604 ,0.30083511361429405 ,0.9257433139100552   ,6693.0
Crunch                             ,0.03997620464009518 ,0.04788371098760154 ,0.034310221586847746 ,9793.0
Dip                                ,0.26700357970098965 ,0.17300120843566055 ,0.5847167325428195   ,7590.0
Dumbbell Deadlift Row              ,0.194234377665321   ,0.19876643779820785 ,0.18990438069824328  ,8994.0
Dumbbell Row (both)                ,0.030892700087950743,0.035777947542653434,0.027181272973495842 ,10338.0
Dumbbell Row (right)               ,0.0                 ,0.0                 ,0.0                  ,2121.0
Dumbbell Squat (hands at side)     ,0.14822464329357501 ,0.0894362979271383  ,0.4325464590657961   ,9955.0
Elliptical machine                 ,0.32548453715144865 ,0.22694847447823785 ,0.5752420512507254   ,32741.0
Punches                            ,0.21363732320033774 ,0.5343189017951425  ,0.13350923482849605  ,7580.0
Jump Rope                          ,0.2531820424272324  ,0.2319233550253073  ,0.2787312622202911   ,18412.0
Jumping Jacks                      ,0.31447688564476883 ,0.34908845374746794 ,0.28610957387935804  ,3614.0
Kettlebell Swing                   ,0.17879970117041588 ,0.2143283582089552  ,0.15337510680717745  ,7022.0
Lateral Raise                      ,0.0                 ,0.0                 ,0.0                  ,7009.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                  ,720.0
Lawnmower (right)                  ,0.0                 ,0.0                 ,0.0                  ,5320.0
Lunge (both legs)                  ,0.17905168674296776 ,0.11476847396000428 ,0.407039368884169    ,13183.0
Ball Slam                          ,0.021305786457913   ,0.024830699774266364,0.01865724381625442  ,7075.0
Triceps Extension (standing - both),0.3790492456589809  ,0.2574831773532369  ,0.7180759275237274   ,9272.0
Plank                              ,0.252731232757369   ,0.14981992962450336 ,0.8071900274541812   ,26954.0
Power Boat pose                    ,0.16184393620437434 ,0.08988229699203425 ,0.8117394416607016   ,5588.0
Pushups                            ,0.045763929267708725,0.03430417393087888 ,0.0687211093990755   ,9735.0
Rowing machine                     ,0.2191129775683704  ,0.3034670600919253  ,0.17145421903052066  ,31192.0
Running                            ,0.11265129827733415 ,0.5794368380263498  ,0.06239047592556536  ,35951.0
Russian Twist                      ,0.12292099792099792 ,0.1769216383018515  ,0.09417620706819313  ,10045.0
Seated Back Fly                    ,0.0                 ,0.0                 ,0.0                  ,7388.0
Shoulder Press                     ,0.2995704156099581  ,0.2570159857904085  ,0.3590125294628458   ,8061.0
Squat                              ,0.011674843196919828,0.14235234729934376 ,0.0060870316007598   ,46328.0
Triceps Kickback                   ,0.0993146256304151  ,0.3123220821472143  ,0.05904512954562927  ,13007.0
Triceps extension (lying)          ,0.12267441860465116 ,0.24031890660592256 ,0.0823575331772053   ,7686.0
Dumbbell Curl                      ,0.022898821134763804,0.12980769230769232 ,0.01255697144451679  ,10751.0
V-up                               ,0.0895625812039844  ,0.3776479181884587  ,0.050805817610062885 ,10176.0
Walk                               ,0.5172042290813252  ,0.41060780315257417 ,0.6985531075304177   ,60820.0
Walking lunge                      ,0.1650923789183998  ,0.09608903126772783 ,0.5856808705379843   ,9833.0
Wall Ball                          ,0.0                 ,0.0                 ,0.0                  ,5406.0
Wall Squat                         ,0.0                 ,0.0                 ,0.0                  ,12345.0
accuracy                           ,0.4000757053439862  ,0.4000757053439862  ,0.4000757053439862   ,0.4000757053439862
macro avg                          ,0.14500710366056913 ,0.17432466130798496 ,0.22494281041778214  ,1405449.0
weighted avg                       ,0.40549815174630455 ,0.4757585888144578  ,0.4000757053439862   ,1405449.0
