Unnamed: 0                         ,f1-score             ,precision           ,recall               ,support
Noise                              ,0.5545664807035794   ,0.6403987371392943  ,0.489023020284625    ,859025.0
Band Pull-Down Row                 ,0.0038350910834132313,0.04332129963898917 ,0.0020063534525999   ,5981.0
Bicep Curl                         ,0.008299269168834384 ,0.055601659751037334,0.004484304932735426 ,14941.0
Box Jump (on bench)                ,0.0                  ,0.0                 ,0.0                  ,875.0
Burpee                             ,0.044394824981939966 ,0.09329285122826388 ,0.029127886935539467 ,11604.0
Butterfly sit-up                   ,0.08971249714984557  ,0.1553147204478576  ,0.0630719906732731   ,34310.0
Chest Press                        ,0.4553369641732429   ,0.3027242721316321  ,0.9182606096832038   ,6692.0
Crunch                             ,0.04865489701555276  ,0.05012992637505414 ,0.047264189465087786 ,9796.0
Dip                                ,0.2652304222677231   ,0.17117358664011031 ,0.5887234883414569   ,7591.0
Dumbbell Deadlift Row              ,0.22662423178226515  ,0.22370274076481425 ,0.2296230401423329   ,8993.0
Dumbbell Row (both)                ,0.031776808315829165 ,0.03582705853777022 ,0.028549308042194913 ,10333.0
Dumbbell Row (right)               ,0.0                  ,0.0                 ,0.0                  ,2118.0
Dumbbell Squat (hands at side)     ,0.15723843216925287  ,0.09521688408102663 ,0.451019793027228    ,9953.0
Elliptical machine                 ,0.3326233308526018   ,0.2310151023657601  ,0.5937939038543767   ,32742.0
Punches                            ,0.22736149655668625  ,0.5151374010246856  ,0.14587180163545238  ,7582.0
Jump Rope                          ,0.2620847763523731   ,0.2378801965732501  ,0.29177301113222914  ,18415.0
Jumping Jacks                      ,0.3736138754620415   ,0.38409821689564455 ,0.3636866869637421   ,3613.0
Kettlebell Swing                   ,0.1748145785150331   ,0.19851476181851116 ,0.1561698489598176   ,7018.0
Lateral Raise                      ,0.0                  ,0.0                 ,0.0                  ,7011.0
Lawnmower (both)                   ,0.0                  ,0.0                 ,0.0                  ,721.0
Lawnmower (right)                  ,0.0                  ,0.0                 ,0.0                  ,5323.0
Lunge (both legs)                  ,0.18530516204934808  ,0.11765307793058286 ,0.4360257868790292   ,13185.0
Ball Slam                          ,0.020234010732823084 ,0.026800279655092053,0.016252119841718485 ,7076.0
Triceps Extension (standing - both),0.43613478955780505  ,0.31544723279225473 ,0.7063962895049077   ,9271.0
Plank                              ,0.2610890254186243   ,0.15584686407892656 ,0.8040736068858054   ,26954.0
Power Boat pose                    ,0.1647528524073769   ,0.09177718832891246 ,0.8042195601644914   ,5593.0
Pushups                            ,0.046686542891990784 ,0.034826122118883945,0.0707973695026716   ,9732.0
Rowing machine                     ,0.2412883858666991   ,0.3285098862255606  ,0.19066546993204256  ,31196.0
Running                            ,0.07188662813712296  ,0.6991786447638604  ,0.037891222701349286 ,35945.0
Russian Twist                      ,0.1153976540782426   ,0.18129527055815936 ,0.08463451019393338  ,10055.0
Seated Back Fly                    ,0.0                  ,0.0                 ,0.0                  ,7384.0
Shoulder Press                     ,0.31657720891824936  ,0.2710561201944321  ,0.380473886614564    ,8061.0
Squat                              ,0.012292208060058577 ,0.1380268642890227  ,0.0064325339434886785,46327.0
Triceps Kickback                   ,0.09722490502865236  ,0.2998411437648928  ,0.058018904172750324 ,13013.0
Triceps extension (lying)          ,0.12036913200481478  ,0.12386457473162675 ,0.11706555671175857  ,7688.0
Dumbbell Curl                      ,0.04148293320267843  ,0.1697860962566845  ,0.023627906976744183 ,10750.0
V-up                               ,0.13909030982201714  ,0.43171355498721226 ,0.08289951871132502  ,10181.0
Walk                               ,0.5268877919649309   ,0.4176854507999461  ,0.713404909488499    ,60821.0
Walking lunge                      ,0.16403067890133874  ,0.09661240969745252 ,0.5428280773143438   ,9830.0
Wall Ball                          ,0.0                  ,0.0                 ,0.0                  ,5404.0
Wall Squat                         ,0.0                  ,0.0                 ,0.0                  ,12345.0
accuracy                           ,0.4064177401084921   ,0.4064177401084921  ,0.4064177401084921   ,0.4064177401084921
macro avg                          ,0.15163166330714606  ,0.17886024869724887 ,0.2311745479772029   ,1405448.0
weighted avg                       ,0.4103741400310972   ,0.4812173762682643  ,0.4064177401084921   ,1405448.0
