Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.6162612327553474  ,0.675105929853362   ,0.5668523158022185  ,858968.0
Band Pull-Down Row                 ,0.05502392344497608 ,0.25952045133991536 ,0.030774376986118082,5979.0
Bicep Curl                         ,0.0                 ,0.0                 ,0.0                 ,14949.0
Box Jump (on bench)                ,0.0                 ,0.0                 ,0.0                 ,875.0
Burpee                             ,0.04571861581207375 ,0.08561967833491012 ,0.031185389386629913,11608.0
Butterfly sit-up                   ,0.06955953409117434 ,0.17445264020606485 ,0.043440233236151614,34300.0
Chest Press                        ,0.4882440416381977  ,0.3339748171771045  ,0.9073797430534808  ,6694.0
Crunch                             ,0.052005873158717374,0.048523952625066286,0.05602612511480763 ,9799.0
Dip                                ,0.2635259275509365  ,0.16642421723469106 ,0.6326530612244898  ,7595.0
Dumbbell Deadlift Row              ,0.2726502963590178  ,0.21387904858299595 ,0.37595907928388733 ,8993.0
Dumbbell Row (both)                ,0.0912069423536704  ,0.08407476940657906 ,0.0996613449443638  ,10335.0
Dumbbell Row (right)               ,0.0                 ,0.0                 ,0.0                 ,2121.0
Dumbbell Squat (hands at side)     ,0.19080614078773567 ,0.1216320671378092  ,0.4424138969776082  ,9959.0
Elliptical machine                 ,0.3459502003434459  ,0.24460886612281035 ,0.5906605992120453  ,32743.0
Punches                            ,0.32107364308162745 ,0.4510739856801909  ,0.2492417249109851  ,7583.0
Jump Rope                          ,0.37733873537579105 ,0.3247786223650184  ,0.4501955246578319  ,18412.0
Jumping Jacks                      ,0.4128352490421456  ,0.4879245283018868  ,0.3577753182069729  ,3614.0
Kettlebell Swing                   ,0.018623775547224573,0.06164931945556445 ,0.010968660968660969,7020.0
Lateral Raise                      ,0.0                 ,0.0                 ,0.0                 ,7017.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                 ,721.0
Lawnmower (right)                  ,0.0                 ,0.0                 ,0.0                 ,5320.0
Lunge (both legs)                  ,0.1835965425359069  ,0.1168369246039952  ,0.4283548142532221  ,13190.0
Ball Slam                          ,0.02250562640660165 ,0.03347280334728033 ,0.016951546828648113,7079.0
Triceps Extension (standing - both),0.4472006166351342  ,0.3312399439456065  ,0.6880862533692722  ,9275.0
Plank                              ,0.3102312764340597  ,0.1955770626663441  ,0.7497773820124666  ,26952.0
Power Boat pose                    ,0.19718309859154928 ,0.11271794871794873 ,0.7866857551896922  ,5588.0
Pushups                            ,0.05650811209439529 ,0.051271328203412514,0.06293634496919917 ,9740.0
Rowing machine                     ,0.3636847976291561  ,0.3782510822510822  ,0.3501987944081057  ,31188.0
Running                            ,0.10176612464016184 ,0.7523006134969326  ,0.0545742816611499  ,35951.0
Russian Twist                      ,0.040688310587437486,0.13729977116704806 ,0.023882973430192057,10049.0
Seated Back Fly                    ,0.0                 ,0.0                 ,0.0                 ,7386.0
Shoulder Press                     ,0.4033400809716599  ,0.340802189344052   ,0.4939878517416635  ,8067.0
Squat                              ,0.01686569247024581 ,0.11061715481171548 ,0.0091287739819151  ,46337.0
Triceps Kickback                   ,0.11175220163984208 ,0.26604973973395024 ,0.07073114476820172 ,13007.0
Triceps extension (lying)          ,0.23559419082817135 ,0.1964068738066308  ,0.2943165561191312  ,7689.0
Dumbbell Curl                      ,0.022803606151670496,0.22994652406417115 ,0.011996652097089184,10753.0
V-up                               ,0.21197066477407145 ,0.5373850459816074  ,0.13202357563850686 ,10180.0
Walk                               ,0.5932894712410332  ,0.4757263243570528  ,0.7880302532061821  ,60820.0
Walking lunge                      ,0.18773946360153254 ,0.1156615130414257  ,0.498220640569395   ,9835.0
Wall Ball                          ,0.0                 ,0.0                 ,0.0                 ,5395.0
Wall Squat                         ,0.0                 ,0.0                 ,0.0                 ,12349.0
accuracy                           ,0.4642427433499237  ,0.4642427433499237  ,0.4642427433499237  ,0.4642427433499237
macro avg                          ,0.17384253679450515 ,0.197922091155225   ,0.25134319483439715 ,1405435.0
weighted avg                       ,0.4594925798390775  ,0.5111167852273469  ,0.4642427433499237  ,1405435.0
