Unnamed: 0                         ,f1-score             ,precision             ,recall               ,support
Noise                              ,0.01218989329798557  ,0.8327806726669825    ,0.0061398831629362475,858974.0
Band Pull-Down Row                 ,0.0056657223796034   ,0.048517520215633415  ,0.0030085241517633296,5983.0
Bicep Curl                         ,0.0069415161049661035,0.006736338453789978  ,0.007159585145533624 ,14945.0
Box Jump (on bench)                ,0.0008144980655670943,0.0004154741021143016 ,0.02057142857142857  ,875.0
Burpee                             ,0.0050579721422457395,0.004612546125461255  ,0.005598621877691646 ,11610.0
Butterfly sit-up                   ,0.008875306815780491 ,0.010027548209366393  ,0.00796057619408643  ,34294.0
Chest Press                        ,0.0321491287315953   ,0.16784203102961914   ,0.017777113833283537 ,6694.0
Crunch                             ,0.008250305890578569 ,0.006273925988940876  ,0.012044503419414106 ,9797.0
Dip                                ,0.014003967790874079 ,0.01257071024512885   ,0.015806111696522657 ,7592.0
Dumbbell Deadlift Row              ,0.03990683051644808  ,0.02224951701019716   ,0.19335112297086948  ,8994.0
Dumbbell Row (both)                ,0.005093975057087651 ,0.027592768791627018  ,0.002805999032414127 ,10335.0
Dumbbell Row (right)               ,0.008179959100204498 ,0.006754682222904513  ,0.010367577756833177 ,2122.0
Dumbbell Squat (hands at side)     ,0.040623916811091856 ,0.06562150055991041   ,0.029417670682730924 ,9960.0
Elliptical machine                 ,0.0195822454308094   ,0.0893965731313633    ,0.010995388045569777 ,32741.0
Punches                            ,0.02407910628019324  ,0.01404976877339793   ,0.08414666314956476  ,7582.0
Jump Rope                          ,0.1630915456859628   ,0.09707512824755916   ,0.5097485472220714   ,18413.0
Jumping Jacks                      ,0.027942221169784516 ,0.01448786027809325   ,0.39170124481327795  ,3615.0
Kettlebell Swing                   ,0.008153281695882593 ,0.00522760173717227   ,0.018515880928642644 ,7021.0
Lateral Raise                      ,0.005087293328708521 ,0.004278490859587709  ,0.006273167949814656 ,7014.0
Lawnmower (both)                   ,0.009603283703459892 ,0.00486961985548225   ,0.3439667128987517   ,721.0
Lawnmower (right)                  ,0.005046111014442317 ,0.0032829569253410317 ,0.010900206728058637 ,5321.0
Lunge (both legs)                  ,0.002787967718268525 ,0.04328018223234624   ,0.0014403760139489045,13191.0
Ball Slam                          ,0.017582417582417582 ,0.00935545281479467   ,0.1457627118644068   ,7080.0
Triceps Extension (standing - both),0.032589621459012286 ,0.07235621521335807   ,0.021031061259706645 ,9272.0
Plank                              ,0.158663081060315    ,0.16449595730274424   ,0.15322969613772122  ,26953.0
Power Boat pose                    ,0.1763361166590466   ,0.10186832740213524   ,0.6555734478439792   ,5589.0
Pushups                            ,0.028360251847796333 ,0.030374105781634807  ,0.026596837132881496 ,9738.0
Rowing machine                     ,0.07856978167178051  ,0.08792124796570476   ,0.07101635139467778  ,31190.0
Running                            ,0.05146437316463197  ,0.03747033968201601   ,0.08214186369958275  ,35950.0
Russian Twist                      ,0.0004761904761904762,0.00036185060739209104,0.00069617105917454  ,10055.0
Seated Back Fly                    ,0.006946454413892908 ,0.005393258426966292  ,0.00975609756097561  ,7380.0
Shoulder Press                     ,0.027102090645505873 ,0.01797934804616319   ,0.0550185873605948   ,8070.0
Squat                              ,0.0224849363130196   ,0.03835545147020557   ,0.015904186447993098 ,46340.0
Triceps Kickback                   ,0.00615904236825113  ,0.008700533258490038  ,0.00476666410394403  ,13007.0
Triceps extension (lying)          ,0.011289108697989464 ,0.009622434017595308  ,0.01365409622886866  ,7690.0
Dumbbell Curl                      ,0.013508442776735458 ,0.008705932932072226  ,0.030128324344429983 ,10754.0
V-up                               ,0.0327041306130753   ,0.01748339689078315   ,0.25270190607191984  ,10178.0
Walk                               ,0.3490639736091154   ,0.23153005611190164   ,0.7089608681354818   ,60820.0
Walking lunge                      ,0.061317783782685535 ,0.03831407896407262   ,0.15344722391702256  ,9834.0
Wall Ball                          ,0.011272098896716735 ,0.006582011239094663  ,0.0392156862745098   ,5406.0
Wall Squat                         ,0.09366891541255838  ,0.10053843297437802   ,0.08767810880829016  ,12352.0
accuracy                           ,0.06061252892307955  ,0.06061252892307955   ,0.06061252892307955  ,0.06061252892307955
macro avg                          ,0.039821581955665285 ,0.06037443533569565   ,0.10334089746076508  ,1405452.0
weighted avg                       ,0.03669828138362589  ,0.5353274132333942    ,0.06061252892307955  ,1405452.0
